第2層,第3層,第4層,第4層(技術参与清書),UID,H28対応項目,H28表記,修正提案(20220302),査読コメント(20220302),"チームからの返信
（原案どおりなら１、修正案に賛成なら２）",チームからのコメント（あれば）,メモ,#VALUE!,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,査読への返答,A,B,C,D,E,F,G,H,Unnamed: 33,Unnamed: 34
社会の構造や変化から捉える医療,歴史と医学・医療,削除：医学・医療の歴史的変遷を概説できる。,,JkxoNwE,"A-01-01-na-01,A-01-01-na-01",,,,,,,,,,,,,,,,,,,,下の項目と統合,,,,,,,,,
社会の構造や変化から捉える医療,歴史と医学・医療,削除：現代の医学的問題を過去の歴史を用いて相対化できる。,,JkxoNwI,"A-01-01-na-01,A-01-01-na-01",,,,,,,,,,,,,,,,,,,,上の項目と統合,,,,,,,,,
社会の構造や変化から捉える医療,医療経済,,,,,,経済が医療に与える影響について理解している,連絡調整委員会から指摘のあった医療と経済の関係性について新設を提案します,,,,,,,,,,,,,,,,,,,,,,,,,,
国内外の視点から捉える医療,国内の医療職の役割や医療体制,医師法が定める医師の職権と義務を説明できる。,医師法が定める医師の職権と義務を説明できる。,JkxoNwM,"B-01-08-na-07,B-01-08-na-06",,医師法が定める医師の職権と義務を理解している。,理解しているに変更,,,,,,,,,,,,,,,,,,,,,,,,,,
国内外の視点から捉える医療,国内の医療職の役割や医療体制,医療職を規定する法律・制度を概説できる。,医療職を規定する法律・制度を概説できる。,JkxoNwQ,"B-01-08-na-06,新規",,医療職を規定する法律・制度を説明できる。,説明できる、に変更,,,「概説」「説明」どちらが適切か要確認（20220220　中山）,,,,,,,,,,,,,,,,,,,,,,,
国内外の視点から捉える医療,国内の医療職の役割や医療体制,医療法が定める医療施設を概説できる。,医療法が定める医療施設を概説できる。,JkxoNwU,"B-01-07-na-02,B-01-08-na-06,B-01-08-na-06",,医療法が定める医療施設の種類と機能について理解している。,日本語の修正,,,「概説」「説明」どちらが適切か要確認（20220220　中山）,,,,,,,,,,,,,,,,,,,,,,,【宮地】医療計画についてのアウトカムを達成するためには、どのようなものがあるかだけでなく、その機能についての知識も必要では。「〜医療施設の種類と機能について理解している」
国内外の視点から捉える医療,国内の医療職の役割や医療体制,医療計画を説明できる。,医療計画を説明できる。,JkxoNwY,"B-01-07-na-02,B-01-08-na-06,A-07-01-na-02,A-07-01-na-02,B-01-07-na-02",,医療計画について理解している。,医療計画に関する注釈が必要,,,,,,,,,,,,,,,,医療計画に変更しました。,,,,,,,「地域医療計画」という用語はなく（ローカルにそのような名称の都道府県はあるかもしれませんが）、全国的には「医療計画」です,,,
国内外の視点から捉える医療,国内の医療職の役割や医療体制,地域医療提供体制に関する諸課題の相互関連性を構造的に説明できる。,地域医療提供体制に関する諸課題の相互関連性を構造的に説明できる。,Jk31tVk,,,地域医療提供体制に関する諸課題の相互関連性を理解している。,理解しているに変更,,,,,,,,,,,,,,,,,,,,,,,,,,
国内外の視点から捉える医療,国内の医療職の役割や医療体制,医療提供体制と医師の働き方について考え方を述べることができる。,医療提供体制と医師の働き方について考え方を述べることができる。,Jk31tVo,,,医療提供体制と医師の働き方について自身の考えを述べることができる。,日本語の修正,,,,,,,,,,,,,,,,「医師の働き方改革」に関して・現行法・制度だけでなく将来的なことを見据えてこの文言にしました。,,,,,,,,,,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,国際的に取り組む必要のある医療・健康課題を歴史・社会的背景を踏まえて、説明できる。,国際的に取り組む必要のある医療・健康課題を歴史・社会的背景を踏まえて、説明できる。,JkxoNwc,,,国際的に取り組む必要のある医療・健康課題について、歴史・社会的背景を踏まえて、理解している。,理解しているに変更,,,新設,,,,,,,,,,,,,70、71を69に統合しました。,"新設する意義はなんでしょうか？
下の項目と統合可能かと思います",,アウトカムとしての表現を意識するなら、「〜医療・健康課題について、歴史・社会的背景を踏まえて分析できる」,,,,,,,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,削除：グローバルヘルス領域での母子に関わる医療・健康問題を挙げることができる。,,JkxoNwg,"B-01-09-na-01, D-10-03-na-07,B-01-09-na-01,D-10-03-na-07",,,,,,,,,,,,,,,,,,,,"詳細は別表とすることも可能かと思います
その際、どれを削除するのかを専門家以外が考えるべきです",,,,,,,,,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,削除：国際的に問題となっている感染症・非感染性疾患とその対策を概説できる。,,JkxoNwk,"B-01-09-na-01,B-01-09-na-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,UHC(Universal health coverage)とは何かを概説し、各国の医療制度が抱える問題を例示できる。,ユニバーサル・ヘルス・カバレッジ（UHC）とは何かを概説し、各国の医療制度が抱える問題を例示できる。,JkxoNwo,"B-01-09-na-01,B-01-09-na-01",,ユニバーサル・ヘルス・カバレッジ（UHC）の意義を理解し、世界各国の医療制度が抱える問題を例示できる。,日本語の修正,,,,,,,,,,,,,,,,６９の中に含まれているもの以外を取り上げました。,"H２８版からUHCだけをことさら選んだ理由が知りたいです
他の項目はどのように扱うのでしょうか",,日本語（英語<略語>」に統一するなら「ユニバーサル・ヘルス・カバレッジ(Universal Health Coverage :<UHC>)　https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000158223_00002.html,UHC〈Universal health coverage〉と記載,,,,,,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,保健関連の国連開発目標や国際機関・国際協力に関わる組織・団体について概説できる。,保健関連の国連開発目標や国際機関・国際協力に関わる組織・団体について概説できる。,JkxoNws,"B-01-09-na-01,B-01-09-na-01",,保健関連の国連開発目標や国際機関・国際協力に関わる組織・団体について概説できる。,ママ,,,,,,,,,,,,,,,,６９の中に含まれているもの以外を取り上げました。SDGを保健関連の国連開発目標に（次の改訂を見越した）、国際援助組織を国際機関・国際協力に関わる組織・団体に変更しました。,"H２８版からSDGsだけをことさら選んだ理由が知りたいです
他の項目はどのように扱うのでしょうか",,保健関連の持続可能な開発目標（Sustainable Development Goals <SDGs>）」,,,,SDGsは2030年で終了（一方、このコアカリは2036年まで使われる）。「国際援助組織」も何を指すかわかりづらい。もしWHO等国連機関を指すなら、まとめて、「保健関連の国連開発目標や国際機関を概説できる」としたほうがいいと思います。,67と合わせて、SDGｓの言葉は少しぼやかしてはいかがでしょうか,,
社会科学の視点から捉える医療,社会科学と医療との関係,日常生活や外来診療・在宅療養・入院・施設入所等において、健康・病気・死の捉え方を探索できる。,日常生活や外来診療・在宅療養・入院・施設入所等において、健康・病気・死の捉え方を探索できる。,JkxoNxQ,"B-04-01-na-01,",,日常生活や外来診療・在宅療養・入院・施設入所等において、健康・病気・死の捉え方を探索できる。,ママ,,,部会からの提案を一部修正した案を採用（春田）,,,,,,,,,,,,,査読コメントに対応して表現を見直しました。,,,具体的に何にどう実践できることを求めるか、総合82-84に記載されている内容以外なら明確に記載したほうがよいし、重複するなら削除でよいのでは？,,問が漠然としているので削除で良いのでは？,,,,,
社会科学の視点から捉える医療,社会科学と医療との関係,時代の流れ、社会の状況や諸制度との関わりのなかで医療に関する諸事象を捉え、構造的に説明できる。,時代の流れ、社会の状況や諸制度との関わりのなかで医療に関する諸事象を捉え、構造的に説明できる。,JkxoNxU,"B-04-01-na-08,",,時代の流れ、社会の状況や諸制度との関わりのなかで医療に関する諸事象を捉え、構造的に説明できる。,ママ,,,部会からの提案を一部修正した案を採用（春田）,,,,,,,,,,,,,査読コメントに対応して表現を見直しました。,"システム論という文言の使用について吟味をお願いします
医学の領域ですと、System biologyなど最近の流れのほうを想定する人がおおいと思います",,,,,,,,,
社会科学の視点から捉える医療,社会科学と医療との関係,削除：人びとの生活の場において健康・病気・死とそれらをめぐる医療がどのようにとらえられているかを探索することを通じて、予防医学や健康維持増進、在宅療養・入院・施設入所等の関係を総合的に考察できる。,,JkxoNw4,"B-04-01-na-02,",,,,,,部会からの提案を一部修正した案を採用（春田）,,,,,,,,,,,,,削除しました。,総合と同様の内容について検討をお願いします,,かなり大きな統合された能力。「人びとの生活の場において健康・病気・死とそれらをめぐる医療がどのようにとらえられているかを探索することを通じて」の部分は、71、72にも関連するように思えるので、第2層の説明に移動しては。後半部分は71と統合し、「社会科学（主に医療人類学や医療社会学）の基本的な視点・方法・理論を用いて、予防医学や健康維持増進、在宅療養・入院・施設入所等の関係を総合的に考察できる。」,,問が漠然としているので割愛で良いのでは？,削除考慮です。,,,,
社会科学の視点から捉える医療,社会科学と医療との関係,個や集団に及ぼす文化・慣習による影響（コミュニケーションのあり方等）を説明できる。,個や集団に及ぼす文化・慣習による影響（コミュニケーションのあり方等）を説明できる。,JkxoNxc,"C-05-07-na-07,C-05-07-na-08",,個や集団に及ぼす文化・慣習による影響（コミュニケーションのあり方等）を理解している。,理解している、に変更,,,修正,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
