"タブ名","第1層イニシャル","第1層","第1層説明","編集用シート","第2層","第2層説明","第2層メモ","第3層","UID","第4層","メモ","H28対応項目","H28の記述","査読への返答","A","B","C","D","E","F","G","H","I","情報チーム"
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuH0","核とリボソーム、小胞体、ゴルジ体、リソソーム等の細胞内膜系、ミトコンドリア、葉緑体、細胞骨格の種類とその構造と機能を説明できる。","修正済み・ワードファイルでは「外」細胞骨格の外を消しているように見えます（KY）","C-01-01-01-03,C-01-01-01-04,C-01-01-01-05,C-01-01-01-06","","「外」は削除","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuH4","細胞膜の構造と機能、細胞同士の接着と結合様式を説明できる。","","C-01-01-01-07","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuH8","原核細胞と真核細胞の特徴を説明できる。","","C-01-01-01-08","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuIA","Mendelの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝を説明できる。","","C-01-01-02-01","","","","","","","","","メンデルはアルファベットでいいのでしょうか。","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuIE","遺伝型と表現型の関係を説明できる。","","C-01-01-02-02","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuII","染色体の構造を概説し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動を説明できる。","","C-01-01-02-03","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuIM","デオキシリボ核酸(deoxyribonucleic acid <DNA>)の複製と修復、デオキシリボ核酸<DNA>からリボ核酸(ribonucleic acid <RNA>)への転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）を説明できる。","","C-01-01-02-04,C-01-01-02-05,C-03-01-01-03","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuIQ","染色体分析・DNA配列決定を含むゲノム解析技術を説明できる。","修正済み・ワードファイルでは「説明できる」になっています。(KY)","C-01-01-02-06","","深度を深めた","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuIU","ゲノム編集技術 (CRISPR-Cas 9)とその応用について説明できる。","新設","","","","","","","","","","","CRISPR-CAS-9に言及しなくてもいい気がしました","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuIY","進化の基本的な考え方を説明できる。","","C-01-02-01-01","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuIc","生物種とその系統関係を概説できる。","","C-01-02-01-02","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","生命現象の科学","JkxnuIg","アミノ酸配列や塩基配列の比較による分子系統樹を説明できる。","修正済み・ワードファイルでは「説明できる」になっています。(KY)","C-01-02-01-03","","深度を深めた","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuIk","細胞内液・外液のイオン組成、および浸透圧と（静止）膜電位の形成機構を説明できる。","","C-02-01-01-01","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuIo","細胞膜のイオンチャネル、ポンプ、および膜を介する物質の能動・受動輸送過程を説明できる。","修正済み・ワードファイルでは「説明できる」になっています。(KY)","C-02-01-01-02,C-02-01-01-03,C-02-01-01-04","","深度を深めた","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuIs","活動電位の発生機構と伝導、シナプス（神経筋接合部を含む）の形態とシナプス伝達の機能（興奮性、抑制性）と可塑性を説明できる。","","C-02-03-02-01,C-02-03-02-02","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuIw","情報伝達の種類と機能を説明できる。","","C-02-03-01-01","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuI0","受容体の種類・細胞内局在・機能、受容体による細胞内シグナル伝達過程を説明できる。","","C-02-03-01-02,C-02-03-01-03","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuI4","液性因子による細胞間情報伝達（自己分泌、傍分泌、内分泌）を説明できる。","新設","","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuI8","細胞骨格を構成するタンパク質とその機能、アクチンフィラメント系による細胞運動を説明できる。","","C-02-01-02-01,C-02-01-02-02","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJA","細胞膜を介する分泌と吸収の過程と細胞内輸送システム、微小管の役割や機能を説明できる。","新設","","","新設でない
 C-02-01-02-03, C-02-01-02-04, C-02-01-02-05","","","","","","","","専門的でわからないのですが17と合わせられないでしょうか","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJE","軸索輸送、軸索の変性と再生を説明できる。","","C-02-03-02-03","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJI","上皮組織と腺の構造と機能を説明できる。","","C-02-02-01-01","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJM","支持組織を構成する細胞と細胞間質（線維成分と基質）を説明できる。","","C-02-02-01-02","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJQ","血管とリンパ管の微細構造と機能を説明できる。","","C-02-02-01-03","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJU","神経組織の微細構造を説明できる。","","C-02-02-01-04","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJY","筋組織について、骨格筋、心筋、平滑筋の構造と機能を対比して説明できる。","","C-02-02-01-05","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJc","組織の再生の機序を説明できる。","","C-02-02-01-06","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJg","位置関係を方向用語（上下、前後、内・外側、浅深、頭・尾側、背・腹側、近位・遠位、内転・外転）で説明できる。","編集あり","C-02-02-02-01","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJk","刺激に対する感覚受容の種類と機序を説明できる。","「個体の」と謳っているが、細胞の話からスタートして違和感があるので、冒頭の項目をC-2-1）に移動しました。(大場)","C-02-03-02-04","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJo","反射を説明できる。","","C-02-03-02-05","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJs","生体の恒常性維持と適応、恒常性維持のための調節機構（フィードバック調節）を説明できる。","","C-02-03-04-01,C-02-03-04-02","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJw","生体機能や体内環境のリズム性変化を説明できる。","","C-02-03-04-03","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJ0","生体の恒常性維持における常在菌・腸内細菌と宿主との相互作用の重要性を説明できる。","","C-02-03-04-04","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJ4","運動生理学など、身体活動時の神経・骨格筋、循環器、呼吸器、代謝系の変化を説明できる。","これらは生理学等でも学修します。しかし特に運動整理学は、Dで各系の機能を理解して初めて理解できる『全身に及ぶ生理的変化』すなわちEに適した項目と考えます。(大場)","C-02-03-04-05","","Eに統合で削除","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuJ8","配偶子の形成から出生に至る一連の経過と胚形成の全体像、胚内体腔の形成過程を説明できる。","","C-02-04-na-01,C-02-04-na-07","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKA","体節の形成と分化、鰓弓・鰓嚢の分化と頭・頸部と顔面・口腔の形成過程を説明できる。","","C-02-04-na-02,C-02-04-na-08","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKE","体幹と四肢の骨格と筋、心血管系、泌尿生殖器系各器官の形成過程を説明できる。","","C-02-04-na-03,C-02-04-na-05,C-02-04-na-06","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKI","消化・呼吸器系各器官の形成過程を説明できる。","修正済み・ワードファイルでは「説明できる」になっています。（KY）","C-02-04-na-04","","深度を深めた","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKM","神経管の分化と脳、脊髄、視覚器、平衡聴覚器と自律神経系、皮膚の形成過程を説明できる。","追記(MY)、修正済み・ワードファイルでは「説明できる」になっています。（KY）","C-02-04-na-09","","深度を深めた","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKQ","酵素の機能と調節を説明できる。","新設","","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKU","糖質の構造、代謝と調節、生理的意義を説明できる。（解糖、クエン酸回路、電子伝達系と酸化的リン酸化、グリコーゲン代謝、糖新生、五炭糖リン酸回路）","","C-02-05-na-01,C-02-05-na-02,C-02-05-na-03,C-02-05-na-04,C-02-05-na-05,C-02-05-na-06,C-02-05-na-07","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKY","タンパク質の構造、代謝と調節、生理的意義、ならびに主要なアミノ酸の代謝と尿素回路を説明できる。","","C-02-05-na-10,C-02-05-na-11","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKc","脂質の構造、代謝と調節、生理的意義、ならびに脂質の輸送を説明できる（リポタンパク質）。","","C-02-05-na-08,C-02-05-na-09","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKg","ヘム・ポルフィリンの代謝を説明できる。","","C-02-05-na-12","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKk","ヌクレオチドの合成・異化・再利用経路を説明できる。","","C-02-05-na-13","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKo","酸化ストレス（フリーラジカル、活性酸素）を説明できる。","編集あり","C-02-05-na-14","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKs","ビタミン、微量元素の種類と作用を説明できる。","","C-02-05-na-15","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuKw","栄養素の相互変換とエネルギー代謝（エネルギーの定義、食品中のエネルギー値、エネルギー消費量、推定エネルギー必要量）を説明できる。","編集あり","C-02-05-na-16","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuK0","空腹（飢餓）時、食後（過食時）と運動時における代謝を説明できる。","新設","","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の構成と機能","JkxnuK4","複合糖質、複合脂質について概説できる。","新設","","","","","","","","すべての医師が知っておく必要がある知識とは言えないのでは？","","","新設された理由がありますでしょうか","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の反応","JkxnuK8","原核生物としての細菌の構造と機能の違いについて真核生物と比較して説明できる。","新設","","","","","","","","すべての医師が知っておく必要がある知識とは言えないのでは？","","","6に含まれませんでしょうか","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の反応","JkxnuLA","細菌の感染経路を分類し、細菌が疾病を引き起こす機序を説明できる。","","C-03-01-04-02,C-03-01-04-03","","","","","","","","","","","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の反応","JkxnuLE","細菌の産生するタンパク質性毒素、非タンパク質性毒素の作用機序を説明できる。","新設","","","","","","","","すべての医師が知っておく必要がある知識とは言えないのでは？","","","新設された理由がありますでしょうか","",""
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing","基礎医学","","","個体の反応","JkxnuLI","主なGram陽性球菌、Gram陽性桿菌、Gram陰性球菌、Gram陰性桿菌の細菌学的特徴、リスク因子、感染経路と病態を説明し、それが引き起こす疾患を列挙できる。","","C-03-01-04-04,C-03-01-04-06","","","","","","","","","","","",""
