診療科,H28対応項目,メモ,H28の記載,項目,検査項目,UID,Unnamed: 3,修正提案(20220302),査読コメント(20220302),チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,臓器,分類,項目名,H28表記,項目名(202004113)作業用,項目名(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),チームからの修正提案(20220317),チームからのコメント(20220317),医学教育課修正案(20220317),医学教育課からのコメント(20220317),項目名(20220302査読直前),削除項目,追加項目,査読への返答,A,B,C,D,E,F,G,H,I,カテゴリ,サブカテゴリ,疾患,修正案(20220318),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス,基本的臨床手技,目標レベル,診察項目,医学教育課修正案(20220327),医学教育課からのコメント(20220327),Unnamed: 7,検査項目(20220302査読直前),Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,主要症候,検討すべき鑑別疾患,錦織
,D-10-01-na-03,,,[別表]知識,,JlAKpqs,,,,,,,,,,,,,,,,,妊娠と分娩,検査方法,分娩の検査（超音波検査・胎児心拍数陣痛図）,胎児・胎盤検査法（超音波検査、分娩監視装置による）の意義を説明できる。,分娩の検査（超音波検査・胎児心拍数陣痛図）,分娩の検査（超音波検査・胎児心拍数陣痛図）,,,,,,,分娩の検査（超音波検査・胎児心拍数陣痛図）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKpqw,,,,,,,,,,,,,,,,,妊娠と分娩,特異的治療法,妊娠時の薬物療法の注意点,,妊娠時の薬物療法の注意点,妊娠時の薬物療法の注意点,,,,,,,妊娠時の薬物療法の注意点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-03-na-08,,,[別表]知識,,JlAKpq0,,,,,,,,,,,,,,,,,妊娠と分娩,特異的治療法,人工妊娠中絶、鉗子・吸引分娩、帝王切開術の適応,妊娠時の薬物療法の注意点を説明できる。,人工妊娠中絶、鉗子・吸引分娩、帝王切開術の適応,人工妊娠中絶、鉗子・吸引分娩、帝王切開術の適応,,,,,,,人工妊娠中絶、鉗子・吸引分娩、帝王切開術の適応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-01-na-01,F-01-01-na-02,F-01-01-na-03,G-02-01-na-01,G-02-01-na-02,G-02-01-na-03,G-02-01-na-04,G-02-01-na-05,G-02-01-na-06,G-02-01-na-07,G-02-01-na-08",小児に頻度の多い症候,,[別表]知識,,Jli6Jl0,,,,,,,,,,,,,,,,,小児,症候,発熱,"発熱の原因と病態生理を説明できる。,発熱をきたす疾患(群)を列挙し、診断の要点を説明できる。,発熱がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：肺炎,感染症：結核,感染症：尿路感染症,腫瘍：悪性リンパ腫,腫瘍：腎細胞癌,自己免疫：全身性エリテマトーデス<SLE>,自己免疫：炎症性腸疾患,環境：熱中症",発熱,発熱,,,,,,,発熱,E-07-01-na-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09",小児に頻度の多い症候,,[別表]知識,,Jli6Jl4,,,,,,,,,,,,,,,,,小児,症候,意識障害,"意識障害・失神の原因と病態生理を説明できる。,意識障害・失神をきたす疾患(群)を列挙し、診断の要点を説明できる。,意識障害・失神がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脳原発性：くも膜下出血,脳原発性：頭蓋内血腫,脳原発性：脳炎,全身性：心筋梗塞,全身性：不整脈,全身性：肺塞栓症,全身性：てんかん,全身性：急性消化管出血,全身性：肝不全",意識障害,意識障害,,,,,,,意識障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-08-na-01,F-01-08-na-02,F-01-08-na-03,G-02-08-na-01,G-02-08-na-02,G-02-08-na-03,G-02-08-na-04,G-02-08-na-05,G-02-08-na-06",小児に頻度の多い症候,,[別表]知識,,Jli6Jl8,,,,,,,,,,,,,,,,,小児,症候,けいれん,"けいれんの原因と病態生理を説明できる。,けいれんをきたす疾患(群)を列挙し、診断の要点を説明できる。,けいれんがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脳血管障害：脳梗塞,中毒：薬物依存症,中毒：アルコール依存症,感染症：脳炎,感染症：脳症,感染症：熱性けいれん",けいれん,けいれん,,,,,,,けいれん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-11-na-01,F-01-11-na-02,F-01-11-na-03,G-02-11-na-01,G-02-11-na-02,G-02-11-na-03,G-02-11-na-04,G-02-11-na-05,G-02-11-na-06",小児に頻度の多い症候,,[別表]知識,,Jli6JmE,,,,,,,,,,,,,,,,,小児,症候,浮腫,"浮腫の原因と病態生理を説明できる。,浮腫をきたす疾患(群)を列挙し、診断の要点を説明できる。,浮腫がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,局所性：深部静脈血栓症,全身性：心不全,全身性：ネフローゼ症候群,全身性：慢性腎臓病,全身性：肝硬変,全身性：甲状腺機能低下症",浮腫,浮腫,,,,,,,浮腫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-12-na-01,F-01-12-na-02,F-01-12-na-03,G-02-12-na-01,G-02-12-na-02,G-02-12-na-03,G-02-12-na-04,G-02-12-na-05,G-02-12-na-06,G-02-12-na-07",小児に頻度の多い症候,,[別表]知識,,Jli6JmI,,,,,,,,,,,,,,,,,小児,症候,発疹,"発疹の原因と病態生理を説明できる。,発疹をきたす疾患(群)を列挙し、診断の要点を説明できる。,発疹がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：ウイルス性発疹症（麻疹）,感染症：ウイルス性発疹症（風疹）,感染症：ウイルス性発疹症（水痘）,感染症：ウイルス性発疹症（ヘルペス）,アレルギー、自己免疫：蕁麻疹,アレルギー、自己免疫：薬疹,アレルギー、自己免疫：全身性エリテマトーデス<SLE>",発疹,発疹,,,,,,,発疹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-13-na-01,F-01-13-na-02,F-01-13-na-03,G-02-13-na-01,G-02-13-na-02,G-02-13-na-03,G-02-13-na-04,G-02-13-na-05,G-02-13-na-06,G-02-13-na-07",小児に頻度の多い症候,,[別表]知識,,Jli6JmQ,,,,,,,,,,,,,,,,,小児,症候,咳・痰,"咳・痰の原因と病態生理を説明できる。,咳・痰をきたす疾患(群)を列挙し、診断の要点を説明できる。,咳・痰がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：気管支炎,感染症：肺炎,感染症：副鼻腔炎,腫瘍：肺癌,特発性：間質性肺疾患,自己免疫：気管支喘息,消化器：胃食道逆流症<GERD>",咳・痰,咳・痰,,,,,,,咳・痰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-15-na-01,F-01-15-na-02,F-01-15-na-03,G-02-15-na-01,G-02-15-na-02,G-02-15-na-03,G-02-15-na-04,G-02-15-na-05,G-02-15-na-06,G-02-15-na-07,G-02-15-na-08",小児に頻度の多い症候,,[別表]知識,,Jli6JmY,,,,,,,,,,,,,,,,,小児,症候,呼吸困難,"呼吸困難の原因と病態生理を説明できる。,呼吸困難をきたす疾患(群)を列挙し、診断の要点を説明できる。,呼吸困難がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,呼吸器：肺塞栓症,呼吸器：急性呼吸促(窮)迫症候群<ARDS>,呼吸器：気管支喘息,呼吸器：慢性閉塞性肺疾患<COPD>,呼吸器：緊張性気胸,循環器：心不全,心因性：パニック障害,心因性：過換気症候群",呼吸困難,呼吸困難,,,,,,,呼吸困難,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-19-na-01,F-01-19-na-02,F-01-19-na-03,G-02-19-na-01,G-02-19-na-02,G-02-19-na-03,G-02-19-na-04,G-02-19-na-05,G-02-19-na-06,G-02-19-na-07",小児に頻度の多い症候,,[別表]知識,,Jli6Jmc,,,,,,,,,,,,,,,,,小児,症候,嚥下困難,"嚥下困難・障害の原因と病態生理を説明できる。,嚥下困難・障害をきたす疾患(群)を列挙し、診断の要点を説明できる。,嚥下困難・障害がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,神経：脳出血,神経：脳梗塞,呼吸器：扁桃炎,呼吸器：肺癌,消化器：胃食道逆流症<GERD>,消化器：食道癌,心因性：身体症状症",嚥下困難,嚥下困難,,,,,,,嚥下困難,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-20-na-01,F-01-20-na-02,F-01-20-na-03,G-02-20-na-01,G-02-20-na-02,G-02-20-na-03,G-02-20-na-04,G-02-20-na-05,G-02-20-na-06,G-02-20-na-07,G-02-20-na-08,G-02-20-na-09,G-02-20-na-10,G-02-20-na-11,G-02-20-na-12,G-02-20-na-13",小児に頻度の多い症候,,[別表]知識,,Jli6Jmk,,,,,,,,,,,,,,,,,小児,症候,腹痛,"腹痛の原因と病態生理を説明できる。,腹痛をきたす疾患(群)を列挙し、診断の要点を説明できる。,腹痛がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,消化器：機能性ディスペプシア<FD>,消化器：過敏性腸症候群,消化器：炎症性腸疾患,消化器：消化性潰瘍,消化器：急性虫垂炎,消化器：胆石症,消化器：急性膵炎,消化器：腸閉塞,消化器：鼠径ヘルニア,泌尿・生殖器：尿路結石,泌尿・生殖器：流・早産,循環器：急性冠症候群,心因性：身体症状症",腹痛,腹痛,,,,,,,腹痛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-21-na-01,F-01-21-na-02,F-01-21-na-03,G-02-21-na-01,G-02-21-na-02,G-02-21-na-03,G-02-21-na-04,G-02-21-na-05,G-02-21-na-06,G-02-21-na-07,G-02-21-na-08,G-02-21-na-09",小児に頻度の多い症候,,[別表]知識,,Jli6Jmo,,,,,,,,,,,,,,,,,小児,症候,悪心・嘔吐,"悪心・嘔吐の原因と病態生理を説明できる。,悪心・嘔吐をきたす疾患(群)を列挙し、診断の要点を説明できる。,悪心・嘔吐がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,消化管：機能性ディスペプシア<FD>,消化管：腸閉塞,消化管：食中毒,循環器：急性心筋梗塞,神経：片頭痛,神経：脳出血,神経：くも膜下出血,神経：頭蓋内血腫,精神：うつ病",悪心・嘔吐,悪心・嘔吐,,,,,,,悪心・嘔吐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-22-na-01,F-01-22-na-02,F-01-22-na-03,G-02-22-na-01,G-02-22-na-02,G-02-22-na-03,G-02-22-na-04,G-02-22-na-05,G-02-22-na-06,G-02-22-na-07,G-02-22-na-08",小児に頻度の多い症候,,[別表]知識,,Jli6Jmw,,,,,,,,,,,,,,,,,小児,症候,下血,"吐血・下血の原因と病態生理を説明できる。,吐血・下血をきたす疾患(群)を列挙し、診断の要点を説明できる。,吐血・下血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（吐血）食道：食道静脈瘤,（吐血）食道：食道癌,（吐血）胃：消化性潰瘍,（吐血）胃：胃癌,（下血）上部消化管：食道静脈瘤,（下血）上部消化管：消化性潰瘍,（下血）下部消化管：炎症性腸疾患,（下血）下部消化管：大腸癌",下血,下血,,,,,,,下血,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09",小児に頻度の多い症候,,[別表]知識,,Jli6Jm0,,,,,,,,,,,,,,,,,小児,症候,便秘,"便秘・下痢の原因と病態生理を説明できる。,便秘・下痢をきたす疾患(群)を列挙し、診断の要点を説明できる。,便秘・下痢がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（便秘）機能性：過敏性腸症候群,（便秘）機能性：甲状腺機能低下症,（便秘）器質性：腸閉塞,（便秘）器質性：大腸癌,（下痢）炎症性：急性胃腸炎,（下痢）炎症性：炎症性腸疾患,（下痢）腸管運動異常：過敏性腸症候群,（下痢）腸管運動異常：甲状腺機能亢進症,（下痢）浸透圧性：慢性膵炎",便秘,便秘,,,,,,,便秘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09",小児に頻度の多い症候,,[別表]知識,,Jli6Jm8,,,,,,,,,,,,,,,,,小児,症候,下痢,"便秘・下痢の原因と病態生理を説明できる。,便秘・下痢をきたす疾患(群)を列挙し、診断の要点を説明できる。,便秘・下痢がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（便秘）機能性：過敏性腸症候群,（便秘）機能性：甲状腺機能低下症,（便秘）器質性：腸閉塞,（便秘）器質性：大腸癌,（下痢）炎症性：急性胃腸炎,（下痢）炎症性：炎症性腸疾患,（下痢）腸管運動異常：過敏性腸症候群,（下痢）腸管運動異常：甲状腺機能亢進症,（下痢）浸透圧性：慢性膵炎",下痢,下痢,,,,,,,下痢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-24-na-01,F-01-24-na-02,F-01-24-na-03,G-02-24-na-01,G-02-24-na-02,G-02-24-na-03,G-02-24-na-04,G-02-24-na-05,G-02-24-na-06",小児に頻度の多い症候,,[別表]知識,,Jli6JnA,,,,,,,,,,,,,,,,,小児,症候,黄疸,"黄疸の原因と病態生理を説明できる。,黄疸をきたす疾患(群)を列挙し、診断の要点を説明できる。,黄疸がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,抱合型：急性肝炎,抱合型：慢性肝炎,抱合型：肝硬変,抱合型：胆管炎,抱合型：膵癌,非抱合型：溶血性貧血",黄疸,黄疸,,,,,,,黄疸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-25-na-01,F-01-25-na-02,F-01-25-na-03,G-02-25-na-01,G-02-25-na-02,G-02-25-na-03,G-02-25-na-04,G-02-25-na-05,G-02-25-na-06,G-02-25-na-07",小児に頻度の多い症候,,[別表]知識,,Jli6JnI,,,,,,,,,,,,,,,,,小児,症候,腹部膨隆・腫瘤,"腹部膨隆（腹水を含む）・腫瘤の原因と病態生理を説明できる。,腹部膨隆（腹水を含む）・腫瘤をきたす疾患(群)を列挙し、診断の要点を説明できる。,腹部膨隆（腹水を含む）・腫瘤がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,消化管：腸閉塞,消化管：大腸癌,腹水：肝硬変,腹水：ネフローゼ症候群,腹水：心不全,腫瘤：肝癌,腫瘤：卵巣嚢腫",腹部膨隆・腫瘤,腹部膨隆・腫瘤,,,,,,,腹部膨隆・腫瘤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-27-na-01,F-01-27-na-02,F-01-27-na-03,G-02-27-na-01,G-02-27-na-02,G-02-27-na-03,G-02-27-na-04,G-02-27-na-05,G-02-27-na-06",小児に頻度の多い症候,,[別表]知識,,Jli6JnQ,,,,,,,,,,,,,,,,,小児,症候,リンパ節腫脹,"リンパ節腫脹の原因と病態生理を説明できる。,リンパ節腫脹をきたす疾患(群)を列挙し、診断の要点を説明できる。,リンパ節腫脹がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：ウイルス性発疹症（風疹）,感染症：ウイルス性発疹症（麻疹）,感染症：結核,自己免疫：全身性エリテマトーデス<SLE>,腫瘍：悪性リンパ腫,腫瘍：その他の悪性腫瘍全般",リンパ節腫脹,リンパ節腫脹,,,,,,,リンパ節腫脹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-01-28-na-01,F-01-28-na-02,F-01-28-na-03,G-02-28-na-01,G-02-28-na-02,G-02-28-na-03,G-02-28-na-04,G-02-28-na-05,G-02-28-na-06,G-02-28-na-07",小児に頻度の多い症候,,[別表]知識,,Jli6JnU,,,,,,,,,,,,,,,,,小児,症候,尿量・排尿の異常,"尿量・排尿の異常の原因と病態生理を説明できる。,尿量・排尿の異常をきたす疾患(群)を列挙し、診断の要点を説明できる。,尿量・排尿の異常がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（多尿）：浸透圧利尿：糖尿病,（多尿）：中毒：薬剤性,（頻尿）畜尿障害：尿路感染症,（頻尿）畜尿障害：脊髄損傷,（頻尿）排出困難（排出障害）：前立腺肥大症,（頻尿）排出困難（排出障害）：尿路感染症,（頻尿）排出困難（排出障害）：前立腺癌",尿量・排尿の異常,尿量・排尿の異常,,,,,,,尿量・排尿の異常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新設,"医師国家試験出題基準（平成30年版）のp18の必修部分に記載, 成人症候の食思(欲)不振に該当",,[別表]知識,,Jli6Jnc,,,,,,,,,,,,,,,,,小児,症候,哺乳力低下,{not found: 新設},哺乳力低下,哺乳力低下,,,,,,,哺乳力低下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新設,"医師国家試験出題基準（平成30年版）のp18の必修部分の徴候, 成人症候の体重減少に該当",,[別表]知識,,Jli6Jng,,,,,,,,,,,,,,,,,小児,症候,体重増加不良,{not found: 新設},体重増加不良,体重増加不良,,,,,,,体重増加不良,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新設,"医師国家試験出題基準（平成30年版）のp18の必修部分の徴候, 成人症候の全身倦怠感に該当",,[別表]知識,,Jli6Jno,,,,,,,,,,,,,,,,,小児,症候,活動性低下,{not found: 新設},活動性低下,活動性低下,,,,,,,活動性低下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E-07-01-na-06,,,[別表]知識,,Jli6Jns,,,,,,,,,,,,,,,,,小児,検査方法,新生児マススクリーニング,新生児マススクリーニングを説明できる。,新生児マススクリーニング,新生児マススクリーニング,,,,,,,新生児マススクリーニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新設,,,[別表]知識,,Jli6Jn0,,,,,,,,,,,,,,,,,小児,検査方法,新生児聴覚スクリーニング,{not found: 新設},新生児聴覚スクリーニング,新生児聴覚スクリーニング,,,,,,,新生児聴覚スクリーニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新設,,,[別表]知識,,Jli6Jn8,,,,,,,,,,,,,,,,,小児,検査方法,乳幼児健康診査,{not found: 新設},乳幼児健康診査,乳幼児健康診査,,,,,,,乳幼児健康診査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-02-11-na-05, D-08-01-na-01",,,[別表]知識,,Jli6JoA,,,,,,,,,,,,,,,,,小児,特異的治療法,小児輸液療法,"乳幼児と小児の輸液療法を説明できる。,体液の量と組成・浸透圧を小児と成人を区別して説明できる。",小児輸液療法,小児輸液療法,,,,,,,小児輸液療法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E-07-03-na-04,,,[別表]知識,,Jli6JoI,,,,,,,,,,,,,,,,,小児,特異的治療法,予防接種,小児保健における予防接種の意義と内容を説明できる。,予防接種,予防接種,,,,,,,予防接種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-11-01-na-01,,,[別表]知識,,JlAKprM,,,,,,,,,,,,,,,,,乳房,構造と機能,乳房の構造と機能,乳房の構造と機能を説明できる。,乳房の構造と機能,乳房の構造と機能,,,,,,,乳房の構造と機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-11-01-na-02,,,[別表]知識,,JlAKprQ,,,,,,,,,,,,,,,,,乳房,構造と機能,成長発達に伴う乳房の変化,成長発達に伴う乳房の変化を説明できる。,成長発達に伴う乳房の変化,成長発達に伴う乳房の変化,,,,,,,成長発達に伴う乳房の変化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-11-01-na-03,,,[別表]知識,,JlAKprU,,,,,,,,,,,,,,,,,乳房,構造と機能,乳汁分泌に関するホルモンの作用を説明できる。,乳汁分泌に関するホルモンの作用を説明できる。,乳汁分泌に関するホルモンの作用を説明できる。,乳汁分泌に関するホルモンの作用を説明できる。,,,,,,,乳汁分泌に関するホルモンの作用を説明できる。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-11-03-na-01,D-11-04-01-02",,,[別表]知識,,JlAKprY,,,,,,,,,,,,,,,,,乳房,症候,乳房腫瘤,"乳房腫瘤、異常乳汁分泌（血性乳頭分泌）と乳房の腫脹・疼痛・変形をきたす主な病因を列挙できる。,女性化乳房を概説できる。",乳房腫瘤,乳房腫瘤,,,,,,,乳房腫瘤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-11-03-na-01,D-11-04-01-02",,,[別表]知識,,JlAKprc,,,,,,,,,,,,,,,,,乳房,症候,異常乳汁分泌（血性乳頭分泌）,"乳房腫瘤、異常乳汁分泌（血性乳頭分泌）と乳房の腫脹・疼痛・変形をきたす主な病因を列挙できる。,女性化乳房を概説できる。",異常乳汁分泌（血性乳頭分泌）,異常乳汁分泌（血性乳頭分泌）,,,,,,,異常乳汁分泌（血性乳頭分泌）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-11-03-na-01,D-11-04-01-02",,,[別表]知識,,JlAKprg,,,,,,,,,,,,,,,,,乳房,症候,乳房の腫脹・疼痛・変形,"乳房腫瘤、異常乳汁分泌（血性乳頭分泌）と乳房の腫脹・疼痛・変形をきたす主な病因を列挙できる。,女性化乳房を概説できる。",乳房の腫脹・疼痛・変形,乳房の腫脹・疼痛・変形,,,,,,,乳房の腫脹・疼痛・変形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-11-03-na-01,D-11-04-01-02",,,[別表]知識,,JlAKprk,,,,,,,,,,,,,,,,,乳房,症候,女性化乳房,"乳房腫瘤、異常乳汁分泌（血性乳頭分泌）と乳房の腫脹・疼痛・変形をきたす主な病因を列挙できる。,女性化乳房を概説できる。",女性化乳房,女性化乳房,,,,,,,女性化乳房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-11-02-na-01,,,[別表]知識,,JlAKpro,,乳房腫瘤に対する画像診断（超音波検査・マンモグラフィ・MRI）,査読者D,2.0,,,,,,,,,,,,,乳房,検査方法,乳房腫瘤に対する画像診断（超音波検査・マンモグラフィ・MRI）,乳房腫瘤の画像診断（乳房撮影、超音波検査、磁気共鳴画像法<MRI>）を概説できる。,乳房腫瘤に対する画像診断（超音波検査・マンモグラフィ・MRI）,乳房腫瘤に対する画像診断（超音波検査・マンモグラフィ・MRI）,,,,,,,乳房腫瘤に対する画像診断（超音波検査・マンモグラフィ・MRI）,,マンモグラフィー,,,,,マンモグラフィーはマンモグラフィと記載,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-11-02-na-02,,,[別表]知識,,JlAKprs,,,,,,,,,,,,,,,,,乳房,検査方法,乳房腫瘤に対する細胞・組織診断法,乳房腫瘤に対する細胞・組織診断法を概説できる。,乳房腫瘤に対する細胞・組織診断法,乳房腫瘤に対する細胞・組織診断法,,,,,,,乳房腫瘤に対する細胞・組織診断法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKprw,,なし,,,,,,,,,,,,,,,乳房,特異的治療法,※現時点で該当項目なし,,※現時点で該当項目なし,※現時点で該当項目なし,,,,,,,※現時点で該当項目なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-12-01-na-01,,,[別表]知識,,JlAKpr8,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,構造と機能,ホルモンの構造的分類、作用機序および分泌調節機能,ホルモンを構造から分類し作用機序と分泌調節機能を説明できる。,ホルモンの構造的分類、作用機序および分泌調節機能,ホルモンの構造的分類、作用機序および分泌調節機能,,,,,,,ホルモンの構造的分類、作用機序および分泌調節機能,D-12-01-na-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-12-01-na-03,,,[別表]知識,,JlAKpsA,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,構造と機能,視床下部ホルモン・下垂体ホルモンの名称、作用と相互関係,視床下部ホルモン・下垂体ホルモンの名称、作用と相互関係を説明できる。,視床下部ホルモン・下垂体ホルモンの名称、作用と相互関係,視床下部ホルモン・下垂体ホルモンの名称、作用と相互関係,,,,,,,視床下部ホルモン・下垂体ホルモンの名称、作用と相互関係,D-12-02-na-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-12-01-na-04,,,[別表]知識,,JlAKpsE,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,構造と機能,甲状腺と副甲状腺(上皮小体)から分泌されるホルモンの作用と分泌調節機構,甲状腺と副甲状腺（上皮小体）から分泌されるホルモンの作用と分泌調節機構を説明できる。,甲状腺と副甲状腺(上皮小体)から分泌されるホルモンの作用と分泌調節機構,甲状腺と副甲状腺(上皮小体)から分泌されるホルモンの作用と分泌調節機構,,,,,,,甲状腺と副甲状腺(上皮小体)から分泌されるホルモンの作用と分泌調節機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-12-01-na-05,,,[別表]知識,,JlAKpsI,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,構造と機能,副腎の構造と分泌されるホルモンの作用と分泌調節機構,副腎の構造と分泌されるホルモンの作用と分泌調節機構を説明できる。,副腎の構造と分泌されるホルモンの作用と分泌調節機構,副腎の構造と分泌されるホルモンの作用と分泌調節機構,,,,,,,副腎の構造と分泌されるホルモンの作用と分泌調節機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-12-01-na-06,,,[別表]知識,,JlAKpsM,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,構造と機能,膵島から分泌されるホルモンの作用,膵島から分泌されるホルモンの作用を説明できる。,膵島から分泌されるホルモンの作用,膵島から分泌されるホルモンの作用,,,,,,,膵島から分泌されるホルモンの作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
