"","第1層","第2層","第3層","第4層"
210,"専門知識に基づいた問題解決能力","医学一般","個体の反応","寄生虫の生活史、リスク因子、感染経路と病態、感染疫学的意義、寄生虫感染宿主の生体防御の特徴を説明できる。"
211,"専門知識に基づいた問題解決能力","医学一般","個体の反応","生体防御機構における免疫系の特徴（特異性、多様性、寛容、記憶）を説明できる。"
212,"専門知識に基づいた問題解決能力","医学一般","個体の反応","免疫反応に関わる組織と細胞を説明できる。"
213,"専門知識に基づいた問題解決能力","医学一般","個体の反応","免疫学的自己の確立と破綻、自然免疫と獲得免疫の違いを説明できる。"
214,"専門知識に基づいた問題解決能力","医学一般","個体の反応","主要組織適合遺伝子複合体(major histocompatibility complex <MHC>)クラスIとクラスIIの基本構造、抗原提示経路の違いを説明できる。"
215,"専門知識に基づいた問題解決能力","医学一般","個体の反応","免疫グロブリンとT細胞抗原レセプターの構造と反応様式、免疫グロブリンとT細胞抗原レセプター遺伝子の構造と遺伝子再構成に基づき、多様性獲得の機構を説明できる。"
216,"専門知識に基づいた問題解決能力","医学一般","個体の反応","抗原レセプターからのシグナルを増強あるいは減弱する調節機構を概説できる。"
217,"専門知識に基づいた問題解決能力","医学一般","個体の反応","代表的なサイトカイン・ケモカインの特徴を説明できる。"
218,"専門知識に基づいた問題解決能力","医学一般","個体の反応","ヘルパーT細胞(Th1 cell、Th2 cell、Th17 cell)、細胞傷害性T細胞(cytotoxic T lymphocyte <CTL>)、制御性T細胞(regulatory T cell <Treg>)それぞれが担当する生体防御反応を説明できる。"
219,"専門知識に基づいた問題解決能力","医学一般","個体の反応","ウイルス、細菌、真菌と寄生虫に対する免疫応答の特徴を説明できる。"
220,"専門知識に基づいた問題解決能力","医学一般","個体の反応","原発性免疫不全症と後天性免疫不全症候群<AIDS>を概説できる。"
221,"専門知識に基づいた問題解決能力","医学一般","個体の反応","免疫寛容の維持機構とその破綻による自己免疫疾患の発症を概説できる。"
222,"専門知識に基づいた問題解決能力","医学一般","個体の反応","アレルギー発症の機序（Coombs分類）を概説できる。"
223,"専門知識に基づいた問題解決能力","医学一般","個体の反応","癌免疫に関わる細胞性機序を概説できる。"
224,"専門知識に基づいた問題解決能力","医学一般","個体の反応","薬物・毒物の濃度反応曲線を描き、その決定因子を説明できる。"
225,"専門知識に基づいた問題解決能力","医学一般","個体の反応","薬物の受容体結合と薬理作用との定量的関連性及び活性薬・拮抗薬と分子標的薬を説明できる。"
226,"専門知識に基づいた問題解決能力","医学一般","個体の反応","薬物・毒物の用量反応曲線を描き、有効量・中毒量・致死量の関係を説明できる。"
227,"専門知識に基づいた問題解決能力","医学一般","個体の反応","薬物・毒物の吸収、分布、代謝と排泄を説明できる。"
228,"専門知識に基づいた問題解決能力","医学一般","個体の反応","薬物の生体膜通過に影響する因子を説明できる。"
229,"専門知識に基づいた問題解決能力","医学一般","個体の反応","薬物投与方法（経口、舌下、皮膚、粘膜、直腸、注射、吸入、点眼、点鼻等）を列挙し、それぞれの薬物動態を説明できる。"
230,"専門知識に基づいた問題解決能力","医学一般","個体の反応","薬物の評価におけるプラセボ効果の意義を説明できる。"
231,"専門知識に基づいた問題解決能力","医学一般","病因と病態","ゲノムの多様性に基づく個体の多様性を説明できる。"
232,"専門知識に基づいた問題解決能力","医学一般","病因と病態","単一遺伝子疾患、染色体異常による疾患、ミトコンドリア遺伝子の変異による疾患を挙げ、遺伝様式を含め説明できる"
233,"専門知識に基づいた問題解決能力","医学一般","病因と病態","エピゲノムの機序及び関連する疾患、多因子疾患における遺伝要因と環境要因の関係を説明できる。"
234,"専門知識に基づいた問題解決能力","医学一般","病因と病態","薬剤の有効性や安全性とゲノムの多様性との関係を概説できる。"
235,"専門知識に基づいた問題解決能力","医学一般","病因と病態","ネクローシスとアポトーシスの違いを含め、細胞傷害・変性と細胞死の多様性、病因と意義を説明できる"
236,"専門知識に基づいた問題解決能力","医学一般","病因と病態","細胞傷害・変性と細胞死の細胞と組織の形態的変化の特徴を説明できる。"
237,"専門知識に基づいた問題解決能力","医学一般","病因と病態","糖代謝異常の病態を説明できる。"
238,"専門知識に基づいた問題解決能力","医学一般","病因と病態","タンパク質・アミノ酸代謝異常の病態を説明できる。"
239,"専門知識に基づいた問題解決能力","医学一般","病因と病態","脂質代謝異常の病態を説明できる。"
240,"専門知識に基づいた問題解決能力","医学一般","病因と病態","核酸・ヌクレオチド代謝異常の病態を説明できる。"
241,"専門知識に基づいた問題解決能力","医学一般","病因と病態","ビタミン、微量元素の代謝異常の病態を説明できる。"
242,"専門知識に基づいた問題解決能力","医学一般","病因と病態","肥満に起因する代謝障害の病態を説明できる。"
243,"専門知識に基づいた問題解決能力","医学一般","病因と病態","血行障害（阻血、虚血、充血、うっ血、出血）の違いとそれぞれの病因と病態、梗塞（血栓、塞栓）の種類と病態を説明できる"
244,"専門知識に基づいた問題解決能力","医学一般","病因と病態","ショック（血流分布異常性ショック（アナフィラキシー、感染性（敗血症性）、神経原性）、循環血液量減少性ショック（出血性、体液喪失）、心原性ショック（心筋性、機械性、不整脈）、閉塞性ショック（心タンポナーデ、肺塞栓症、緊張性気胸））を説明できる。"
245,"専門知識に基づいた問題解決能力","医学一般","病因と病態","血圧異常（高血圧、低血圧）を説明できる。"
246,"専門知識に基づいた問題解決能力","医学一般","病因と病態","臓器不全（多臓器不全、多臓器障害(multiple organ dysfunction syndrome <MODS>)）を説明できる。"
247,"専門知識に基づいた問題解決能力","医学一般","病因と病態","炎症の定義を説明できる。"
248,"専門知識に基づいた問題解決能力","医学一般","病因と病態","炎症の分類、組織形態学的変化と経時的変化（局所的変化と全身的変化）を説明できる。"
249,"専門知識に基づいた問題解決能力","医学一般","病因と病態","感染症による炎症性変化を説明できる。"
250,"専門知識に基づいた問題解決能力","医学一般","病因と病態","創傷の治癒過程を概説できる。"
251,"専門知識に基づいた問題解決能力","医学一般","病因と病態","自律性の増殖と、良性腫瘍と悪性腫瘍の違いを説明できる。"
252,"専門知識に基づいた問題解決能力","医学一般","病因と病態","癌の原因や遺伝子変化を説明できる。"
253,"専門知識に基づいた問題解決能力","医学一般","病因と病態","腫瘍の分類、分化度、グレード、ステージを概説できる。"
254,"専門知識に基づいた問題解決能力","医学一般","病因と病態","用語（異形成、上皮内癌、進行癌、早期癌、異型性、多形性等）を説明できる。"
255,"専門知識に基づいた問題解決能力","医学一般","病因と病態","癌の診断と治療を概説できる。"
256,"専門知識に基づいた問題解決能力","医学一般","病因と病態","癌の転移を説明できる。"
257,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","骨髄の構造を説明できる。"
258,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","造血幹細胞から各血球への分化と成熟の過程、主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子(granulocyte-colony stimulating factor <G-CSF>)、トロンボポエチン）を説明できる"
259,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","脾臓、胸腺、リンパ節、扁桃とPeyer板の構造と機能を説明できる。"
260,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","血漿タンパク質の種類と機能を説明できる。"
261,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","赤血球とヘモグロビン、白血球、血小板の構造と機能、止血や凝固・線溶の機序を説明できる"
262,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","末梢血の血球数の基準値とその変化の意義を説明できる。"
263,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","骨髄検査（骨髄穿刺、骨髄生検）を説明できる。"
264,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","血漿タンパク質の基準値とその変化の意義を説明できる。"
265,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","発熱、全身倦怠感、黄疸、貧血、出血傾向、リンパ節腫脹、腹部膨隆（腹水を含む）・腫瘤"
266,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","貧血を分類し、鑑別に有用な検査を列挙できる。"
267,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","鉄欠乏性貧血、二次性貧血、再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)、溶血性貧血、巨赤芽球性貧血の病因、病態、診断と治療を説明できる。"
268,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","出血傾向の病因、病態、症候と診断を説明できる。"
269,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)、血友病、播種性血管内凝固(disseminated intravascular coagulation <DIC>)、 溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)、IgA血管炎(Schönlein-Henoch紫斑病)、血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)の病因、病態、診断と治療を説明できる"
270,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","脾腫をきたす疾患を列挙し、鑑別の要点を説明できる。"
271,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","急性白血病の病態、症候、病理所見、French-American-British <FAB>分類、WHO分類、治療と予後を説明できる"
272,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。"
273,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。"
274,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。"
275,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","小児白血病と成人白血病の違いを説明できる。"
276,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。"
277,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。"
278,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。"
279,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","中枢神経系と末梢神経系の構成を概説できる。"
280,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","脳の血管支配と血液脳関門を説明できる。"
281,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","脳のエネルギー代謝の特徴を説明できる。"
282,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","主な脳内神経伝達物質（アセチルコリン、ドパミン、ノルアドレナリン）とその作用を説明できる。"
283,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","髄膜・脳室系の構造と脳脊髄液の産生と循環を説明できる。"
284,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","脊髄の構造、機能局在と伝導路、脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配、脊髄神経と神経叢（頸神経叢、腕神経叢、腰神経叢、仙骨神経叢）の構成及び主な骨格筋支配と皮膚分布（デルマトーム）を説明できる"
285,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","脳幹の構造と伝導路、脳神経の名称、核の局在、走行・分布、脳幹の機能を説明できる"
286,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","大脳の構造、大脳皮質の機能局在（運動野・感覚野・言語野）、記憶、学習の機序を辺縁系の構成と関連させて説明できる"
287,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","随意運動の発現機構を錐体路、小脳の構造、大脳基底核（線条体、淡蒼球、黒質）の線維結合と機能を説明できる"
288,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","痛覚、温度覚、触覚と深部感覚、視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路を説明できる"
289,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質、視床下部の構造と機能を内分泌及び自律機能、ストレス反応と本能・情動行動の発現機序を説明できる"
290,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","脳・脊髄のコンピュータ断層撮影(computed tomography <CT>)・磁気共鳴画像法(magnetic resonance imaging <MRI>)検査の適応と異常所見を説明し、結果を解釈できる。"
291,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","神経系の電気生理学的検査（脳波検査、筋電図、末梢神経伝導検査）で得られる情報を説明できる。"
292,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","けいれん、意識障害・失神、めまい、頭痛、運動麻痺・筋力低下、運動失調、振戦、不随意運動（ミオクローヌス、舞踏運動、ジストニア、固定姿勢保持困難(asterixis)、アテトーシス、チック）、歩行障害、失語症と構音障害の違いを説明できる"
293,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","脳血管障害（脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作）の病態、症候と診断を説明できる。"
294,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","脳血管障害の治療と急性期・回復期・維持期（生活期）のリハビリテーション医療を概説できる。"
295,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","認知症の病因を列挙でき、認知症をきたす主な病態（Alzheimer型認知症、Lewy小体型認知症、血管性認知症）の症候と診断を説明できる"
296,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","Parkinson病、多系統萎縮症の病態、症候と診断を説明できる"
297,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","筋萎縮性側索硬化症を概説できる。"
298,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","脳炎・髄膜炎、脳症の病因、症候と診断を説明できる。"
299,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","多発性硬化症の病態、症候と診断を説明できる。"
300,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","頭部外傷、急性硬膜外・硬膜下血腫及び慢性硬膜下血腫の症候と診断を説明でき、頭部外傷後の高次脳機能障害を説明できる"
301,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","ニューロパチーの病因（栄養障害、中毒、遺伝性）、Guillain-Barré症候群、Bell麻痺、主な神経障害性疼痛（三叉・坐骨神経痛）の病態、症候、診断を説明できる"
302,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","重症筋無力症の病態、進行性筋ジストロフィー、周期性四肢麻痺の病因、分類、症候と診断を説明できる"
303,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","てんかんの分類、診断と治療を説明できる。"
304,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","頭痛（偏頭痛、緊張型頭痛等）の分類、診断と治療を説明できる。"
305,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","脳性麻痺の病因、病型、症候とリハビリテーションを説明できる。"
306,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","脳浮腫の病態、急性・慢性頭蓋内圧亢進、脳ヘルニアの種類と症候を説明できる"
307,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","水頭症の症候と治療を説明できる。"
308,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","神経系","主な脳・脊髄腫瘍の分類と好発部位を説明し、病態を概説できる。"
309,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","皮膚の組織構造を図示して説明できる。"
310,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","皮膚の細胞動態と角化の機構を説明できる。"
311,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","皮膚の免疫防御能を説明できる。"
312,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","皮膚検査法（硝子圧法、皮膚描記法（Darier徴候）、Nikolsky現象、Tzanck試験、光線テスト）を概説できる。"
313,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","皮膚アレルギー検査法（プリックテスト、皮内テスト、パッチテスト）を説明できる。"
314,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","微生物検査法（検体採取法、苛性カリ<KOH>直接検鏡法）を概説できる。"
315,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","発疹、皮疹"
316,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","湿疹反応を説明でき、湿疹・皮膚炎の疾患（接触皮膚炎、アトピー性皮膚炎、脂漏性皮膚炎、貨幣状湿疹、皮脂欠乏性湿疹、自家感作性皮膚炎）を列挙し、説明できる"
317,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","蕁麻疹、多形滲出性紅斑、環状紅斑、紅皮症、皮膚そう痒症の病因と病態、診断と治療を説明できる"
318,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","皮膚血流障害と血管炎の病因、症候と病態を説明できる。"
319,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","薬疹や薬物障害の発生機序、症候と治療を説明でき、薬疹を起こしやすい主な薬物を列挙できる"
320,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","自己免疫性水疱症、膿疱症の病因、病態と分類を説明し鑑別できる"
321,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","尋常性乾癬、扁平苔癬とGibert薔薇色粃糠疹、魚鱗癬の病態、症候と治療を説明できる"
322,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）、皮膚軟部組織感染、壊死性筋膜炎）のリスク因子、感染経路、病態生理、原因微生物、症候、診断、治療について説明できる。皮膚真菌症（表在性、深在性）、皮膚結核病、梅毒の症候、病期と合併症、皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）、後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）、リスク因子、感染経路、病態生理、原因微生物、症候、診断、治療についてを列挙し、説明できる"
323,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","母斑・母斑症の種類を列挙でき、皮膚良性腫瘍、前癌状態と悪性腫瘍の種類と見分け方を説明できる"
324,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","皮膚悪性リンパ腫、血管肉腫、、基底細胞上皮腫(癌)、有棘細胞癌、悪性黒色腫の定義と病態、症候、皮疹とダーモスコピー像の所見、病理所見や診断、治療法を説明できる"
325,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","皮膚系","毛の疾患、爪の疾患の病態、症状と治療を説明できる"
326,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","骨・軟骨・関節・靱帯の構成と機能を説明できる。"
327,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","頭頸部、脊柱の構成と機能を説明できる"
328,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","四肢の骨格、主要筋群の運動と神経支配を説明できる。"
329,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","骨盤の構成と性差を説明できる。"
330,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","骨の成長と骨形成・吸収の機序を説明できる。"
331,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","姿勢と体幹の運動にかかわる筋群、抗重力筋を説明できる"
332,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","筋骨格系の病態に即した徒手検査（四肢・脊柱の可動域検査、神経学的検査等）を説明できる。"
333,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","筋骨格系画像診断（エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、超音波検査、骨塩定量）の適応を概説できる。"
334,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","四肢・脊椎外傷、関節の脱臼、靱帯損傷、骨折の分類、症候、診断、治療と合併症を説明できる"
335,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","コンパートメント症候群の病態、症候、診断と治療を説明できる。"
336,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","骨粗鬆症の病因と病態を説明し、骨折の好発部位を列挙できる。"
337,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","関節炎、腱鞘炎のリスク因子、感染経路、病態生理、原因微生物、症候、診断、治療について説明できる。変形性関節症の症候、診断と治療を説明できる"
338,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","絞扼性末梢神経障害（手根管症候群、肘部管症候群等）を列挙し、その症候を説明できる。"
339,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","頸椎症性脊髄症（脊柱靭帯骨化症を含む）・頸椎症性神経根症、脊髄損傷の神経症候、診断、治療を説明できる"
340,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","腰椎椎間板ヘルニア、腰部脊柱管狭窄症、腰椎分離・すべり症の症候、診断と治療を説明できる"
341,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","運動器慢性疼痛（腰背部痛、頸部痛、肩こり）の病態、診断と治療を説明できる。"
342,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","運動器疾患のリハビリテーションを概説できる。"
343,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系","化膿性関節炎、椎間板炎、化膿性脊椎炎、脊椎カリエスのリスク因子、感染経路、病態生理、原因微生物、症候、診断と治療を説明できる"
344,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","心臓の構造と分布する血管・神経、冠動脈の特長とその分布域を説明できる。"
345,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","心筋細胞の微細構造と機能、電気現象と心臓の興奮（刺激）伝導系、興奮収縮連関を説明できる"
346,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","体循環、肺循環と胎児・胎盤循環を説明できる。"
347,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","大動脈と主な分枝（頭頸部、上肢、胸部、腹部、下肢）、主な静脈（門脈系と上・下大静脈系も含む）を図示し、分布域を説明できる"
348,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","毛細血管における物質・水分交換を説明できる。"
349,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","胸管を経由するリンパの流れを概説できる。"
350,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","心周期にともなう血行動態、心機能曲線と心拍出量の調節機序、主な臓器（脳、心臓、肺、腎臓）の循環調節、血圧調節の機序、体位や運動に伴う循環反応とその機序を説明できる"
351,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","胸部単純エックス線撮影写真、心電図の主な所見を説明できる。"
352,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","心臓超音波検査の主な所見を説明できる"
353,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","運動負荷心電図、ホルタ―心電図を説明できる。"
354,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","心臓シンチグラフィ－を説明できる。"
355,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","冠動脈造影、冠動脈コンピュータ断層撮影<CT>及び心臓磁気共鳴画像法<MRI>の主な所見を説明できる。"
356,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","心カテーテル検査（心内圧、心機能、シャント率の測定）と結果の解釈を説明できる。"
357,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","発熱、全身倦怠感、食思(欲)不振、体重減少・体重増加、ショック、意識障害・失神、けいれん、めまい、浮腫、咳・痰、呼吸困難、胸痛、動悸、胸水、嚥下困難・障害、腹痛、悪心・嘔吐、頭痛、腰背部痛、心停止"
358,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","心不全の定義、病態生理（収縮不全、拡張不全）、左心不全と右心不全、急性心不全と慢性心不全の診断と薬物療法、非薬物療法（心臓リハビリテーションを含む）、心不全診療における多職種連携（チーム医療）による疾病管理プログラムを説明できる"
359,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","高齢者における心不全の特徴を説明できる。"
360,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","安定労作性狭心症の病態、冠攣縮性狭心症、急性冠症候群（不安定狭心症、非ST上昇型心筋梗塞及びST上昇型心筋梗塞）の病態、症候、診断、治療を説明できる"
361,"専門知識に基づいた問題解決能力","人体各器官の正常構造と機能、病態、診断、治療","循環器系","虚血性心疾患の発症予防、再発予防、陳旧性心筋梗塞の病態、症候、診断を説明でき、虚血性心疾患の薬物治療、非薬物療法（血行再建術（経皮的冠動脈形成術、ステント留置術、冠動脈バイパス術））、心臓リハビリテーションを説明できる"
