                                                                                                                                                                                                ,第3層,第4層仮番号,第4層,H28対応項目,メモ,参考,校正者コメント
全身に及ぶ生理的変化、病態、診断、治療,感染症,11,胸水,E-02-03-na-11,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,12,胸痛・胸部圧迫感,E-02-03-na-12,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,13,呼吸困難・息切れ,E-02-03-na-13,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,14,咳・痰,E-02-03-na-14,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,15,血痰・喀血,E-02-03-na-15,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,16,頭痛・頭重感,E-02-03-na-16,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,17,腹痛,E-02-03-na-17,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,18,悪心・嘔吐,E-02-03-na-18,編集あり,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,19,便秘・下痢・血便,E-02-03-na-19,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,20,吐血・下血,E-02-03-na-20,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,21,血尿・タンパク尿,E-02-03-na-21,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,22,関節痛・関節腫脹,E-02-03-na-22,編集あり,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,23,腰背部痛,E-02-03-na-23,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,24,咽頭痛,,新設,症候,
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,1,腫瘍の定義とその特性について、ゲノム異常や分子機構とともに説明できる,E-03-01-na-01,,定義・病態,編集あり　講義で現状でも教えられている内容です
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,2,我が国及び世界における各腫瘍の頻度などについて説明できる,,新設,,編集あり
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,3,腫瘍性疾患発症の遺伝的素因・基礎疾患・感染症・環境生活習慣などのリスク因子や、腫瘍の予防・健診について説明できる,,新設,,編集あり
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,4,腫瘍マーカー、バイオマーカー、がん遺伝子パネル検査など腫瘍に特化した検査とその所見を説明できる,E-03-02-na-01,編集あり,診断,編集あり
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,5,腫瘍の内視鏡検査・画像検査（単純X線、CT、MRI、PET・核医学、超音波など）とその診断を説明できる,E-03-02-na-02,編集あり,診断,編集あり
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,6,腫瘍の生検・細胞診や病理検査とその所見を説明できる,E-03-02-na-03,編集あり,診断,編集あり
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,7,腫瘍のTNM分類、ステージを説明できる,E-03-01-na-03,編集あり,定義・病態,編集あり　グレードを削除
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,8,発熱・食欲低下・体重減少・貧血・リンパ節腫脹・サルコペニアを含むがん患者の症候について説明できる,,"新設
症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）",,まとめました。サルコペニアを加えました。悪液質は他を包含するので加えませんでした。
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,,体重減少,,新設,,8へ
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,,食欲低下,,新設,,８へ
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,,発熱,,新設,,８へ
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,,リンパ節腫脹,,新設,,８へ
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,9,急性白血病、慢性骨髄性白血病、骨髄異形成症候群、成人T細胞白血病、真性赤血球増加症、本態性血小板血症、骨髄線維症、悪性リンパ腫、多発性骨髄腫について説明できる,E-03-05-na-01,"～について説明できる」と記載
誤字、真正→真性では？（KY）",各論,編集あり
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,10,膠芽腫、髄膜腫、神経鞘腫などの脳腫瘍、転移性脳腫瘍について説明できる,E-03-05-na-02,～について説明できる」と記載,各論,頻度の高い腫瘍追加
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,11,基底細胞癌、有棘細胞癌、悪性黒色腫、リンパ腫、血管肉腫、乳房外パジェット病などについて説明できる,E-03-05-na-03,～について説明できる」と記載,各論,
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,12,骨肉腫、軟骨肉腫、ユーイング肉腫などの骨軟部腫瘍と転移性脊椎腫瘍について説明できる,E-03-05-na-04,～について説明できる」と記載,各論,腫瘍追加
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,,循環器系：粘液腫について説明できる,E-03-05-na-05,～について説明できる」と記載,各論,
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,13,肺癌、胸膜中皮腫、転移性肺腫瘍、縦隔腫瘍について説明できる,E-03-05-na-06,～について説明できる」と記載,各論,癌種は色々ですがこのままにしました。
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,14,食道癌、胃癌、大腸ポリープ、大腸癌、胆嚢・胆管癌、原発性肝癌、膵内分泌腫瘍、嚢胞性膵腫瘍、膵癌について説明できる,E-03-05-na-07,～について説明できる」と記載,各論,
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,15,腎癌、腎盂尿管癌・膀胱癌について説明できる,E-03-05-na-08,～について説明できる」と記載,各論,名称を変えたのみで以前と同様です。
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,16,前立腺癌、精巣腫瘍、子宮頸癌、子宮体癌（子宮内膜癌）、卵巣腫瘍、絨毛性疾患（胞状奇胎、絨毛癌）について説明できる,E-03-05-na-09,～について説明できる」と記載,各論,
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,17,原発性乳癌、線維腺腫、乳腺症について説明できる,E-03-05-na-10,～について説明できる」と記載,各論,癌以外の疾患も必要との意見でした。
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,18,下垂体腫瘍、甲状腺腫瘍（腺腫様甲状腺腫、甲状腺癌）、褐色細胞腫、多発性内分泌腫瘍症について説明できる,E-03-05-na-11,～について説明できる」と記載,各論,腫瘍追加
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,,眼・視覚系：網膜芽細胞腫について説明できる,E-03-05-na-12,～について説明できる」と記載,各論,小児腫瘍などで包含
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,19,頭頚部癌（舌癌、咽頭癌、喉頭癌など）について説明できる,E-03-05-na-13,～について説明できる」と記載,各論,編集あり
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,20,小児腫瘍について説明できる,"E-03-05-na-14,E-03-05-na-12",～について説明できる」と記載,各論,
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,21,原発不明癌、転移性腫瘍、重複癌、AYA世代の腫瘍、希少がんについて説明できる,E-03-05-na-05,新設,,重要と考えられる追加記載をしました。
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,22,遺伝性非ポリポーシス性大腸癌（リンチ症候群）、家族性大腸腺腫症、遺伝性乳がん卵巣がん症候群などの遺伝性腫瘍について説明できる,E-03-04-na-02,,,重要と考えられる例を挙げました。
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,23,腫瘍の診療における生命倫理を説明できる,E-03-04-na-02,,診療の基本的事項,他で包含される部分もありますが残しました。
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,24,オンコロジック・エマージェンシー（脊髄圧迫、腫瘍崩壊、上大静脈症候群、代謝障害、治療の有害事象など）について説明できる,,新設,,追加しました。
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,25,診療ガイドライン・集学的治療を説明できる,,新設,,追加しました。
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,26,主な腫瘍の手術療法を説明できる。放射線療法・インターベンショナル・ラディオロジー(IVR)を説明できる,E-03-03-na-03,編集あり,治療,編集あり
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,27,腫瘍の薬物療法（細胞障害性抗癌薬、分子標的治療薬）、造血幹細胞移植、がん免疫に関する治療法を説明できる,E-03-03-na-04,編集あり,治療,チェックポイント阻害剤以外も包含
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,28,腫瘍に対する支持療法を説明できる。患者に対する緩和ケアを説明できる,"E-03-03-na-06,E-03-03-na-07",,治療,編集あり
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,,腫瘍の診療におけるチーム医療を概説できる。,E-03-04-na-01,総合PTへ？,診療の基本的事項,チーム医療の項に包含されるので削除でよいと思います
全身に及ぶ生理的変化、病態、診断、治療,腫瘍,29,腫瘍性疾患患者が直面する社会的・精神的な課題を説明できる,E-03-04-na-03,,診療の基本的事項,身体的状況は症候に含まれる
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,1,免疫血清学検査の原理と検査結果の臨床的意義を説明できる,E-04-01-na-01,,診断と検査の基本,自己抗体はだいぶ狭い内容です。免疫血清学検査としました。（YM）
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,1,ショック,E-04-02-na-01,症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）,症候,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,2,発熱,E-04-02-na-02,,症候,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,3,全身倦怠感,E-04-02-na-03,,症候,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,4,皮疹,E-04-02-na-04,,症候,（そもそもチームにも提案したいのですが）発疹は一過性の皮疹の総称ですから、皮疹とされてはいかがでしょうか。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,5,貧血,E-04-02-na-05,,症候,（そもそもチームの作業で「貧血」は削除になりました。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,6,リンパ節腫脹,E-04-02-na-06,,症候,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,7,浮腫,E-04-02-na-07,,症候,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,8,呼吸困難・息切れ,E-04-02-na-08,,症候,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,9,咳・痰,E-04-02-na-09,,症候,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,10,血尿・タンパク尿,E-04-02-na-10,,症候,（そもそもチームの作業で「血尿」のみとなりました。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,11,関節痛・関節腫脹,E-04-02-na-11,,症候,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,1,膠原病、血管炎、リウマチ性疾患、アレルギー性疾患、自己免疫疾患の概念を区別して理解し、それぞれに含まれる疾患を列挙できる。またこれらに使用する治療薬について説明できる。,"E-04-03-01-01,E-04-03-01-02,E-04-03-01-03",,病態と疾患,総論的な内容ですが、これでいかがでしょうか。　アナフィラキシーショックのことや最近の分子標的治療薬のことを踏まえると、総論的な免疫系作用薬の学習は必要かと思いますがいかがでしょうか。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,2,関節リウマチの病態生理、症候、診断、治療とリハビリテーションを説明でき、節外症状を説明できる。,"E-04-03-02-01,E-04-03-02-02",,病態と疾患,卒業時の到達目標ですからリストアップされる疾患名は必然的に増えるかと思われます。関節リウマチとその他と別立てにしてみました。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,11,他のリウマチ性疾患（強直性脊椎炎・反応性関節炎・乾癬性関節炎・掌蹠膿疱症性関節炎・結晶誘発性関節炎・変形性関節症・リウマチ性多発筋痛症・線維筋痛症・IgG4関連疾患・再発性多発軟骨炎・リウマチ熱）の病態生理、症候、診断、治療とリハビリテーションを説明でき、節外症状を説明できる。,,新設,,卒業時の到達目標ですからリストアップされる疾患名は必然的に増えるかと思われます。関節リウマチとその他と別立てにしてみました。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,3,成人Still病、若年性特発性関節炎(juvenile idiopathic arthritis <JIA>)の病態、診断、治療について説明できる。,"E-04-03-02-03,E-04-03-02-04",,病態と疾患,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,4,全身性エリテマトーデス<SLE>の病態生理、症候、診断と治療、合併症（中枢神経ループス・ループス腎炎・抗リン脂質抗体症候群）の病態生理、症候、診断と治療を説明できる。,"E-04-03-03-01,E-04-03-03-02,E-04-03-03-03",,病態と疾患,（そもそもチームへの提案）SLEは何でも起こしますからそもそも本領域でE-4-2の症候を立てる意義があるのかが悩ましいところです（YM）　SLEの合併症　中枢神経ループスとしました。　あと「など」も付けました。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,5,全身性強皮症の病態生理、分類、症候、診断及び臓器病変（特に肺・腎）を説明できる。,E-04-03-04-01,,病態と疾患,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,6,皮膚筋炎・多発性筋炎の症候、診断、治療及び合併症（間質性肺炎・悪性腫瘍）を説明できる。,E-04-03-04-02,,病態と疾患,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,7,混合性結合組織病を概説できる。,E-04-03-04-03,,病態と疾患,これが「概説」だけでよいのか悩みました。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,8,Sjögren症候群を概説できる。,E-04-03-04-04,,病態と疾患,これが「概説」だけでよいのか悩みました。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,9,血管炎症候群に含まれる疾患（巨細胞性動脈炎・高安動脈炎・結節性多発動脈炎・顕微鏡的多発血管炎・多発血管炎性肉芽腫症・好酸球性多発血管炎性肉芽腫症・IgA血管炎・川崎病・悪性関節リウマチ・抗GBM病）を分類/列挙し、その病態生理、症候、診断と治療を説明できる。,E-04-03-05-01,,病態と疾患,全身性血管炎を血管炎症候群として、医師国家試験出題基準と照合させて、とくに重要なものをピックアップしました。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,10,Behçet病の症候、診断と治療を説明できる。,E-04-03-05-02,,病態と疾患,
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,11,Kawasaki病（急性熱性皮膚粘膜リンパ節症候群）の病態生理、症候、診断と治療を説明できる。,E-04-03-05-03,英語名で記載することが一般的なのでしょうか。（鋪野）,病態と疾患,国家試験と合わせて川崎病でよいと思います。血管炎症候群に含めましょうか。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,12,主要な全身性アレルギー性疾患の分類、特徴、診断および治療を概説できる。,"E-04-03-06-01,E-04-03-06-02,E-04-03-06-03",ワードファイルには「主要な全身性アレルギー性疾患の分類と特徴、アナフィラキシー、食物アレルギーの症候、診断と治療を説明できる。」とありました。（KY）,病態と疾患,診断と治療は医学生卒業時に必須ではないでしょうか（とくにアナフィラキシーショックを意識）。
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,13,原発性免疫不全症の病態、診断と治療を概説できる。,E-04-03-07-01,,病態と疾患,
,,,二次性免疫不全症（悪性腫瘍・医原性・自己免疫疾患による）の病態、診断と治療を概説できる。,,新設,,AIDSは感染症で
全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,14,自己炎症性疾患の病態、診断、治療を説明できる。,,新設,,痛風、偽痛風は11他のリウマチ疾患に含めてはいかがでしょうか。
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,1,地域の救急医療体制について病院前救護体制、メディカルコントロール、初期・二次・三次救急医療の概念を用いて説明できる,G-04-01-07-05,新設 ,診断と検査の基本,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,2,意識障害,E-05-02-na-03,,,"E-05-02-na-02,E-05-02-na-04,E-05-02-na-05,E-05-02-na-06,E-05-02-na-07,E-05-02-na-12,E-05-02-na-14は削除"
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,2,失神,E-05-02-na-03,,,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,2,けいれん,E-02-03-na-03,新設,,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,2,呼吸困難,E-05-02-na-08,,,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,2,胸痛,E-02-03-na-12,新設,,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,2,運動麻痺・筋力低下,E-05-02-na-09,,,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,2,腹痛,E-05-02-na-10,,,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,2,悪心・嘔吐,E-05-02-na-11,,,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,2,吐血,E-05-02-na-13,,,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,2,ショックの原因分類（①血流分布異常性ショック（アナフィラキシー、敗血症性、神経原性）、②循環血液量減少性ショック（出血性、体液喪失）、③心原性ショック（心筋収縮力低下、弁疾患、不整脈）、④閉塞性ショック（心タンポナーデ、肺塞栓症、緊張性気胸））とそれぞれの病態および診断の要点を説明できる。,"C-04-04-na-03, F-01-05-na-01,F-01-05-na-02, G-02-05-na-01,G-02-05-na-02,G-02-05-na-03,G-02-05-na-04,G-02-05-na-05,G-02-05-na-06,G-02-05-na-07,G-02-05-na-08,G-02-05-na-09,G-02-05-na-10,G-02-05-na-11",技能チームと議論しF/Gのショックの内容を引き取り,症候,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,3,ショック状態にある患者の初期対応および原因に応じた治療を説明できる。,F-01-05-na-02,,症候,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,4,心肺停止の原因分類（①心血管原性（急性心筋梗塞、急性大動脈解離、大動脈瘤破裂、肺塞栓）、②呼吸原性（気道閉塞、緊張性気胸、肺実質病変による低酸素血症）、③ 神経原性（重症頭部・脊髄外傷、急性くも膜下出血）、④中毒・環境要因（中毒、熱中症、低体温症）、⑤電解質・酸塩基平衡異常（低・高カリウム血症、アシドーシス、低血糖）と病態および診断の要点を説明できる。,"F-01-06-na-01, F-01-06-na-02, G-02-06-na-01,G-02-06-na-02,G-02-06-na-03,G-02-06-na-04,G-02-06-na-05,G-02-06-na-06,G-02-06-na-07,G-02-06-na-08,G-02-06-na-09,G-02-06-na-10,G-02-06-na-11",技能チームと議論しF/Gの心停止の内容を引き取り,,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,5,心肺停止患者の初期対応（一次・二次救命処置）および原因に応じた治療を説明できる。,F-01-06-na-03,,,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,6,中毒患者が呈するトキシドロームに基づき病歴および身体所見から中毒の起因物質を推定できる。,E-05-01-na-01,修正,診断と検査の基本,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,7,中毒患者への治療としての「吸収の阻害」、「排泄の促進」、「拮抗薬」の適応および禁忌について概説できる,E-05-03-01-03,修正,,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,8,以下の中毒に関して、病因（発生機序）、症候、診断と治療を説明できる。食中毒、ガス中毒（一酸化炭素中毒、硫化水素、青酸ガス）農薬（有機リン・有機塩素）、アルコール、薬物（睡眠薬・向精神薬・解熱鎮痛薬・麻薬・覚醒剤）,"E-05-03-01-01, E-05-03-01-02, E-05-03-01-02, E-05-03-01-05, E-05-03-01-06",統合,疾患,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,9,以下の中毒を概説できる。水銀、鉛、青酸、ヒ素、パラコート、自然毒、腐食剤による中毒（酸、アルカリ、フッ化水素）、ボタン電池誤飲 。,E-05-03-01-04,,疾患,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,10,高温による障害（熱中症）、低温による障害（低体温症）を説明できる。,"E-05-03-02-01,E-05-03-02-02",,疾患,
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,11,気圧、振動、騒音による障害について説明できる。,"E-05-03-02-03, E-05-03-02-04",,疾患,振動と騒音について、産業医学領域と協議中
全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,12,熱傷の重症度を評価し（気道熱傷の有無、熱傷面積および深達度）、治療方針を説明できる。,"E-05-03-03-01,E-05-03-03-02, F-01-37-na-01,F-01-37-na-02,F-01-37-na-03",,疾患,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,1,放射線の種類と放射能、これらの性質・定量法・単位を説明できる。,E-06-01-na-01,このまま残す,生体と放射線,3層を「放射線の生体影響と適切な利用と放射線障害」に変更する方がいいと思います
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,2,内部被ばくと外部被ばくについて、線量評価やその病態、症候、診断と治療を説明できる。,E-06-01-na-02,このまま残す,生体と放射線,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,3,放射線及び電磁波の人体（胎児を含む）への影響（急性影響と晩発影響）を説明できる。,E-06-01-na-03,このまま残す,生体と放射線,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,4,種々の正常組織の放射線の透過性や放射線感受性の違いを説明できる。,E-06-01-na-04,このまま残す,生体と放射線,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,5,磁気共鳴画像法<MRI>で用いられている磁場や電磁波による人体や植え込みデバイスの発熱等の現象を概説できる。,E-06-01-na-05,このまま残す,生体と放射線,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,6,放射線の遺伝子、細胞への作用と放射線による細胞死の機序、局所的・全身的影響を説明できる。,E-06-01-na-06,このまま残す,生体と放射線,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,7,放射線被ばく低減の３原則と安全管理を説明できる。,E-06-01-na-07,このまま残す,生体と放射線,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,1,放射線診断やインターベンショナルラジオロジーの被ばく軽減の原則を知り、それを実行できる。,E-06-02-na-01,"放射線を用いる画像検査（X線写真、CT、血管造影インタ
ーベンショナルラジオロジー、Ｘ線透視等）の被ばく軽減の原則を知り、それを実行できる。",医療放射線と生体影響,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,2,放射線診断（エックス線撮影、コンピュータ断層撮影<CT>、核医学）や血管造影及びインターベンショナルラジオロジーの利益とコスト･リスク（被ばく線量、急性、晩発影響等）を知り、適応の有無を判断できる。,E-06-02-na-02,このまま残す,医療放射線と生体影響,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,3,放射線治療の生物学的原理と、人体への急性影響と晩発影響を説明できる。,E-06-02-na-03,このまま残す,医療放射線と生体影響,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,4,医療被ばくに関して、放射線防護と安全管理を説明できる。,E-06-02-na-04,このまま残す,医療放射線と生体影響,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,5,放射線診断や治療の被ばくに関して、患者にわかりやすく説明できる。,E-06-02-na-05,コミュニケーションに移動、E-6から削除,医療放射線と生体影響,コミュニケーション項目と考えます
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,1,患者と家族が感じる放射線特有の精神的・社会的苦痛に対して十分に配慮できる。,E-06-03-na-01,コミュニケーションに移動、E-6から削除,放射線リスクコミュニケーション,コミュニケーション項目と考えます
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,2,患者の漠然とした不安を受け止め、不安を軽減するためにわかりやすい言葉で説明でき、対話ができる。,E-06-03-na-02,コミュニケーションに移動、E-6から削除,放射線リスクコミュニケーション,コミュニケーション項目と考えます
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,1,内部被ばくと外部被ばくの病態、症候、線量評価、治療を説明できる。,E-06-04-na-01,,放射線災害医療,
全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,2,放射線災害・原子力災害でのメンタルヘルスを説明できる。,E-06-04-na-02,社会における医療の役割の理解へ移動E-6から削除,放射線災害医療,社会における医療の役割の健康危機管理へ移動できると考えます
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,1,胎児の循環・呼吸の生理的特徴と出生時の変化を説明できる。,E-07-01-na-01,削除,胎児・新生児,胎児・幼児期についての総合の「人生の視点とアプローチ」との重複があるため、削除します。（遠藤）
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,2,主な先天性疾患を列挙できる。,E-07-01-na-02,,胎児・新生児,
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,3,新生児の生理的特徴、胎児機能不全(non-reassuring fetal status <NRFS>)、新生児仮死の病態を説明できる。,"E-07-01-na-03,E-07-01-na-04,E-07-01-na-05",修正,胎児・新生児,新生児の生理的特徴　に関しては胎児・幼児期についての総合の「人生の視点とアプローチ」との重複があるため、削除します。（遠藤）
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,4,新生児黄疸や呼吸障害等、新生児期に起こりやすい症候の鑑別と治療について説明できる。,"E-07-01-na-07,E-07-01-na-08",,胎児・新生児,
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,5,正常児・低出生体重児・病児の管理の基本を説明できる。早産・低出生体重児固有の疾患を概説できる。,"E-07-01-na-09,E-07-01-na-10",修正,胎児・新生児,正常児・低出生体重児・病児の管理の基本　に関しては胎児・幼児期についての総合の「人生の視点とアプローチ」との重複があるため、削除します。（遠藤）
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,6,新生児マススクリーニング、新生児聴覚スクリーニング等を含む乳幼児健康診査について説明できる。 ,E-07-01-na-06,修正,,新設・追加すべきかどうか？(島田昌一)y→マススクリーニングのくくりで修正しました。（遠藤）
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,1,乳幼児の生理機能の発達を説明できる。,"E-07-02-na-01,E-07-02-na-02",削除,乳幼児,ワードファイルは「乳幼児の生理機能の発達、乳幼児の正常な精神運動発達を説明できる。」でした。（KY）→小児期の総合の「人生の視点とアプローチ」との重複があるため、削除します。（遠藤）
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,2,乳幼児の保育法・栄養法の基本を概説できる。,E-07-02-na-03,削除,乳幼児,小児期についての総合の「人生の視点とアプローチ」との重複があるため、削除します。（遠藤）
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,3,乳幼児突然死症候群(sudden infant death syndrome <SIDS>)を説明できる。,E-07-02-na-04,,乳幼児,
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,1,小児の精神運動発達及び心身相関、小児の栄養上の問題点、小児免疫発達と感染症の関係を概説できる。,"E-07-03-na-01,E-07-03-na-02,E-07-03-na-03",修正,小児期全般,小児栄養、と小児免疫感染症、に関しては小児期についての総合の「人生の視点とアプローチ」との重複があるため、削除します。（遠藤）
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,2,小児保健における予防接種の意義と内容を説明できる。,E-07-03-na-04,,小児期全般,
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,3,成長に関わる主な異常（小児心身症を含む）を列挙できる。,E-07-03-na-05,,小児期全般,
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,4,児童虐待を概説できる。,E-07-03-na-06,削除,小児期全般,小児期についての総合の「人生の視点とアプローチ」との重複があるため、削除します。（遠藤）
全身に及ぶ生理的変化、病態、診断、治療,成長と発達,5,小児の診断法と治療法における特徴を概説できる。,E-07-03-na-07,,小児期全般,
