,臓器,分類,項目名,blank,H28対応項目,削除項目,追加項目,メモ
203,循環器,疾患・病態,静脈・リンパ管疾患：深部静脈血栓症(deep vein thrombosis <DVT>)、血栓性静脈炎、上大静脈症候群、下肢静脈瘤、リンパ浮腫,,,,,
204,循環器,疾患・病態,高血圧症：高血圧症（本態性、二次性）、高血圧緊急症,,,,,
205,循環器,疾患・病態,低血圧症：起立性低血圧、神経失調性失神,,,,,
206,循環器,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,,,,,
207,呼吸器系,構造と機能,気道の構造、肺葉・肺区域と肺門の構造,,,,,
208,呼吸器系,構造と機能,肺循環と体循環の違い,,,,,
209,呼吸器系,構造と機能,縦隔と胸膜腔の構造,,,,,
210,呼吸器系,構造と機能,呼吸筋と呼吸運動の機序,,,,,
211,呼吸器系,構造と機能,肺気量分画、換気、死腔（換気力学（胸腔内圧、肺コンプライアンス、抵抗、クロージングボリューム(closing volume)））,,,,,
212,呼吸器系,構造と機能,肺胞におけるガス交換と血流の関係,,,,,
213,呼吸器系,構造と機能,肺の換気と血流（換気血流比）が動脈血ガスにおよぼす影響（肺胞気-動脈血酸素分圧較差(alveolar-arterial oxygen difference <A-aDO2>)）,,,,,
214,呼吸器系,構造と機能,呼吸中枢を介する呼吸調節の機序を説明できる。,,,,,
215,呼吸器系,構造と機能,血液による酸素 と二酸化炭素 の運搬の仕組み,,,,,
216,呼吸器系,構造と機能,気道と肺の防御機構（免疫学的・非免疫学的）と代謝機能,,,,,
217,呼吸器系,症状・症候,胸水,,,,,
218,呼吸器系,症状・症候,胸痛・胸部圧迫感,,,,,
219,呼吸器系,症状・症候,呼吸困難・息切れ,,,,,
220,呼吸器系,症状・症候,咳・痰,,,,,
221,呼吸器系,症状・症候,血痰・喀血,,,,,
222,呼吸器系,症状・症候,喘鳴,,,,,
223,呼吸器系,症状・症候,胸水,,,,,
224,呼吸器系,症状・症候,呼吸数・リズムの異常,,,,,
225,呼吸器系,検査方法,単純エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、及び核医学検査（ポジトロン断層法(positron emission tomography <PET>)検査を含む）等の画像検査,,,,,
226,呼吸器系,検査方法,呼吸機能検査（スパイロメトリ、肺拡散能力、flow-volume曲線）、動脈血ガス分析、ポリソムノグラフィ、ピークフローメトリ,,,,,
227,呼吸器系,検査方法,気管支内視鏡検査,,,,,
228,呼吸器系,検査方法,喀痰検査（喀痰細胞診、喀痰培養）,,,,,
229,呼吸器系,検査方法,胸水検査、胸膜生検,,,,,
230,呼吸器系,特異的治療法,呼吸器理学療法・リハビリテーション,,,,,
231,呼吸器系,特異的治療法,酸素療法,,,,,
232,呼吸器系,特異的治療法,人工換気,,,,,
233,呼吸器系,疾患・病態,呼吸不全：低酸素血症と高二酸化炭素血症,,,,,
234,呼吸器系,疾患・病態,呼吸器感染症：急性上気道感染症（かぜ症候群）、扁桃炎、気管支炎・細気管支炎、肺炎（定型肺炎、非定型肺炎）、肺結核症、肺真菌症、非結核性（非定型）抗酸菌症、誤嚥性肺炎、クループ症候群、急性喉頭蓋炎、肺化膿症・膿胸,,,,,
235,呼吸器系,疾患・病態,閉塞性換気障害・拘束性換気障害：慢性閉塞性肺疾患(chronic obstructive pulmonary disease <COPD>)、気管支喘息（小児喘息咳喘息を含む）、間質性肺炎（特発性、膠原病及び血管炎関連性）、びまん性汎細気管支炎、放射線肺炎、じん肺症（珪肺(silicosis)、石綿肺(asbestosis)）,,,,,
236,呼吸器系,疾患・病態,肺循環障害：肺性心、急性呼吸促(窮)迫症候群(acute respiratory distress syndrome <ARDS>)、肺血栓塞栓症、肺高血圧症、肺動静脈瘻,,,,,
237,呼吸器系,疾患・病態,免疫学的機序による肺疾患：過敏性肺炎、サルコイドーシス、好酸球性肺炎、薬剤性肺炎、アレルギー性気管支肺アスペルギルス症,,,,,
238,呼吸器系,疾患・病態,異常呼吸：過換気症候群、睡眠時無呼吸症候群、肺胞低換気症候群,,,,,
239,呼吸器系,疾患・病態,気管支拡張症：気管支拡張症、無気肺、新生児呼吸促迫症候群、肺リンパ脈管筋腫症、肺胞タンパク症,,,,,
240,呼吸器系,疾患・病態,胸膜・縦隔疾患・横隔膜：胸膜炎、気胸（自然気胸、緊張性気胸、外傷性気胸）、血胸、乳び胸、縦隔気腫、縦隔炎、胸郭変形（漏斗胸）、横隔神経麻痺,,,,,
241,呼吸器系,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,,,,,
242,消化器系,構造と機能,各消化器官の位置、形態と関係する血管,,,,,
243,消化器系,構造と機能,腹膜と臓器の関係,,,,,
244,消化器系,構造と機能,食道・胃・小腸・大腸の基本構造と部位による違い,,,,,
245,消化器系,構造と機能,消化管運動の仕組み,,,,,
246,消化器系,構造と機能,消化器官に対する自律神経の作用,,,,,
247,消化器系,構造と機能,肝の構造と機能,,,,,
248,消化器系,構造と機能,胃液の作用と分泌機序,,,,,
249,消化器系,構造と機能,胆汁の作用と胆嚢収縮の調節機序,,,,,
250,消化器系,構造と機能,膵外分泌系の構造と膵液の作用,,,,,
251,消化器系,構造と機能,小腸における消化・吸収の仕組み,,,,,
252,消化器系,構造と機能,大腸における糞便形成と排便の仕組み,,,,,
253,消化器系,構造と機能,主な消化管ホルモンの作用,,,,,
254,消化器系,構造と機能,歯、舌、唾液腺の構造と機能,,,,,
255,消化器系,構造と機能,咀しゃくと嚥下の機構,,,,,
256,消化器系,構造と機能,消化管の正常細菌叢（腸内細菌叢）の役割,,,,,
257,消化器系,症状・症候,黄疸,,,,,
258,消化器系,症状・症候,腹痛,,,,,
259,消化器系,症状・症候,悪心・嘔吐,,,,,
260,消化器系,症状・症候,食思<欲>不振,,,,,
261,消化器系,症状・症候,便秘・下痢・血便,,,,,
262,消化器系,症状・症候,吐血・下血,,,,,
263,消化器系,症状・症候,腹部膨隆・腫瘤,,,,,
264,消化器系,症状・症候,肝腫大,,,,②胸やけ,
265,消化器系,症状・症候,胸やけ,,,,②胸やけ,
266,消化器系,検査方法,肝炎ウイルス検査,,,,,
267,消化器系,検査方法,腫瘍マーカー（α-fetoprotein <AFP>、 carcinoembryonic antigen <CEA>、carbohydrateantigen <CA> 19-9、protein induced by vitamin K absence or antagonists <PIVKA>-Ⅱ）,,,,,
268,消化器系,検査方法,画像検査,,,,,
269,消化器系,検査方法,内視鏡検査,,,,,
270,消化器系,検査方法,生検、細胞診,,,,,
271,消化器系,特異的治療法,※現時点で該当項目なし,,,,,
272,消化器系,疾患・病態,食道疾患：食道・胃静脈瘤、胃食道逆流症(gastroesophageal reflux disease <GERD>)、逆流性食道炎、Mallory-Weiss 症候群,,,,,
273,消化器系,疾患・病態,胃・十二指腸疾患：胃潰瘍、十二指腸潰瘍(消化性潰瘍)、Helicobacter pylori 感染症、胃ポリープ、急性胃粘膜病変、急性胃腸炎、慢性胃炎、胃切除後症候群、機能性消化管障害（機能性ディスペプシア(functional dyspepsia<FD>)）、肥厚性幽門狭窄症,,,,,
274,消化器系,疾患・病態,小腸・大腸疾患：急性虫垂炎、腸閉塞（イレウス）、炎症性腸疾患（潰瘍性大腸炎・Crohn 病）、痔核・痔瘻、機能性消化管障害（過敏性腸症候群）、腸管憩室症（大腸憩室炎、大腸憩室出血）、薬物性腸炎、消化管ポリポーシス、先天性疾患(鎖肛、Hirschsprung 病)、腸重積症、便秘症、乳児下痢症、感染性腸炎、虚血性大腸炎、急性出血性直腸潰瘍、上腸間膜動脈閉塞症、消化管神経内分泌腫瘍(Neuroendocrine tumor <NET>),,,,消化管神経内分泌腫瘍(Neuroendocrine tumor <NET>),
275,消化器系,疾患・病態,胆道疾患：胆石症、胆嚢炎、胆管炎、胆嚢ポリープ、先天性胆道拡張症、膵・胆管合流異常症,,,,,
276,消化器系,疾患・病態,肝疾患：A 型・B 型・C 型・D 型・E 型肝炎、急性肝炎、劇症肝炎、慢性肝炎、肝硬変および合併症(門脈圧亢進症、肝性脳症、肝癌)、アルコール性肝障害、薬物性肝障害、肝膿瘍、原発性胆汁性胆管炎(原発性胆汁性肝硬変)、原発性硬化性胆管炎、自己免疫性肝炎,,,,,
277,消化器系,疾患・病態,膵臓疾患：急性膵炎（アルコール性、胆石性、特発性）、慢性膵炎（アルコール性、特発性）、自己免疫性膵炎,,,,,
278,消化器系,疾患・病態,腹膜・腹壁・横隔膜疾患：腹膜炎、ヘルニア（滑脱、嵌頓、絞扼）、鼠径部ヘルニア,,,,,
279,消化器系,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,,,,,
280,腎尿路系,構造と機能,体液の量と組成・浸透圧（小児と成人の違いを含めて）,,,,,
281,腎尿路系,構造と機能,腎・尿路系の位置・形態と血管分布・神経支配,,,,,
282,腎尿路系,構造と機能,腎の機能の全体像やネフロン各部の構造と機能,,,,,
283,腎尿路系,構造と機能,腎糸球体における濾過の機序,,,,,
284,腎尿路系,構造と機能,尿細管各部における再吸収・分泌機構と尿の濃縮機序,,,,,
285,腎尿路系,構造と機能,水電解質、酸・塩基平衡の調節機構,,,,,
286,腎尿路系,構造と機能,腎で産生される又は腎に作用するホルモン・血管作動性物質（エリスロポエチン、ビタミンD、レニン、アンギオテンシンII、アルドステロン）の作用,,,,,
287,腎尿路系,構造と機能,蓄排尿の機序,,,,,
288,腎尿路系,症状・症候,脱水,,,,,
289,腎尿路系,症状・症候,浮腫,,,,,
290,腎尿路系,症状・症候,血尿,,,,,
291,腎尿路系,症状・症候,タンパク尿,,,,,
292,腎尿路系,症状・症候,尿量・排尿の異常,,,,,
293,腎尿路系,症状・症候,臨床症候の分類（急性腎炎症候群,,,,,
294,腎尿路系,症状・症候,慢性腎炎症候群,,,,,
295,腎尿路系,症状・症候,ネフローゼ症候群,,,,,
296,腎尿路系,症状・症候,急速進行性腎炎症候群,,,,,
297,腎尿路系,症状・症候,反復性または持続性血尿症候群）,,,,,
298,腎尿路系,検査方法,糸球体濾過量（実測、推算）を含む腎機能検査法,,,,,
299,腎尿路系,検査方法,腎・尿路系の画像診断,,,,,
300,腎尿路系,検査方法,腎生検の適応と禁忌,,,,,
301,腎尿路系,検査方法,尿流動態検査,,,,,
302,腎尿路系,特異的治療法,腎代替療法（血液透析・腹膜透析・腎移植）,,,,,
303,腎尿路系,疾患・病態,腎機能の障害：急性腎障害<AKI>、慢性腎臓病<CKD>、慢性腎不全,,,,,腎不全の項を改変
304,腎尿路系,疾患・病態,電解質異常：高・低Na 血症、高・低K 血症、高・低Ca 血症、高・低P 血症、高・低Mg 血症,,,高・低Cl 血症,,
305,腎尿路系,疾患・病態,酸・塩基平衡障害：アシドーシス（代謝性・呼吸性）、アルカローシス（代謝性・呼吸性）,,,,,
306,腎尿路系,疾患・病態,原発性糸球体疾患：急性糸球体腎炎、IgA腎症、膜性腎症、巣状分節性糸球体硬化症、微小変化群、膜性増殖性糸球体腎炎,,,,膜性腎症、巣状分節性糸球体硬化症、微小変化群、膜性増殖性糸球体腎炎,
307,腎尿路系,疾患・病態,高血圧および腎血管障害：腎硬化症、腎血管性高血圧症,,,,,
308,腎尿路系,疾患・病態,尿細管・間質性疾患：尿細管性アシドーシス、Fanconi 症候群、尿細管間質性腎炎（急性・慢性）、腎盂腎炎（急性・慢性）,,,,,
309,腎尿路系,疾患・病態,全身性疾患による腎障害：糖尿病腎障害、IgA血管炎(紫斑病性腎炎）、アミロイド腎症、膠原病類縁疾患(ループス腎炎、血管炎症候群)、抗糸球体基底膜病(Goodpasture症候群),,,,,表記を改変
310,腎尿路系,疾患・病態,先天異常と外傷：多発性嚢胞腎、膀胱尿管逆流、腎外傷,,,,,
311,腎尿路系,疾患・病態,尿路疾患：尿路結石、尿路の炎症（膀胱炎・前立腺炎・尿道炎）、神経因性膀胱,,,,,
312,腎尿路系,疾患・病態,腫瘍性疾患： ※腫瘍の項目を参照,,,,,
313,生殖機能,構造と機能,生殖腺の発生と性分化の過程,,,,,
314,生殖機能,構造と機能,男性生殖器の発育の過程,,,,,
315,生殖機能,構造と機能,男性生殖器の形態と機能,,,,,
316,生殖機能,構造と機能,精巣の組織構造と精子形成の過程,,,,,
317,生殖機能,構造と機能,陰茎の組織構造と勃起・射精の機序,,,,,
318,生殖機能,構造と機能,女性生殖器の発育の過程,,,,,
319,生殖機能,構造と機能,女性生殖器の形態と機能,,,,,
320,生殖機能,構造と機能,性周期発現と排卵の機序,,,,,
321,生殖機能,構造と機能,閉経の過程と疾病リスクの変化,,,,,
322,生殖機能,症候・疾患,【男性生殖器】腹痛、腹部膨隆（腹水を含む）・膨満・腫瘤、血尿・タンパク尿、尿量・排尿の異常,,,,,
323,生殖機能,症候・疾患,【女性生殖器】貧血、腹痛、腹部膨隆・腫瘤、尿量・排尿の異常、月経異常・無月経,,,,,
324,生殖機能,症状・症候,【男性生殖器】勃起不全と射精障害,,,,,
325,生殖機能,症状・症候,精巣機能障害,,,,,
326,生殖機能,症状・症候,【女性生殖器】不正性器出血,,,,,
327,生殖機能,症状・症候,乳汁漏出症,,,,,
328,生殖機能,症状・症候,腟分泌物（帯下）の増量,,,,,
329,生殖機能,症状・症候,腟乾燥感,,,,,
330,生殖機能,症状・症候,性交痛,,,,,
331,生殖機能,検査方法,精巣と前立腺の検査法（尿路造影、超音波検査、コンピュータ断層撮影<CT>、核磁気共鳴画像法<MRI>）,,,,,
332,生殖機能,検査方法,血中ホルモン（卵胞刺激ホルモン(Follicle-Stimulating Hormone <FSH>)、黄体形成ホルモン(luteinizing hormone <LH>)、プロラクチン、ヒト絨毛性ゴナドトロピン(human chorionic gonadotropin <hCG>)、エストロゲン、プロゲステロン）の測定,,,,,
333,生殖機能,検査方法,骨盤内臓器と腫瘍の画像診断（超音波断層法、コンピュータ断層撮影<CT>、核磁気共鳴画像法<MRI>、子宮卵管造影(hysterosalpingography <HSG>),,,,,
334,生殖機能,検査方法,基礎体温測定,,,,,
335,生殖機能,検査方法,腟分泌物所見,,,,,
336,生殖機能,特異的治療法,※現時点で該当項目なし,,,,,
337,生殖機能,疾患・病態,男性生殖器疾患：男性不妊症、前立腺肥大症、停留精巣、陰嚢内腫瘤,,,,,
338,生殖機能,疾患・病態,女性生殖器疾患：内外生殖器の先天異常、卵巣機能障害、更年期障害、不妊症、子宮筋腫・子宮腺筋症、子宮内膜症、外陰・腟と骨盤内感染症,,,,,
339,生殖機能,疾患・病態,腫瘍性疾患（男性）：※腫瘍の項目を参照,,,,,
340,生殖機能,疾患・病態,腫瘍性疾患（女性）：※腫瘍の項目を参照,,,,,
341,妊娠と分娩,構造と機能,妊娠・分娩・産褥での母体の解剖学的と生理学的変化,,D-10-03-na-01,,,
342,妊娠と分娩,構造と機能,胎児・胎盤系の発達過程での機能・形態的変化,,D-10-03-na-02,,,D-05-01-na-05との重複検討
343,妊娠と分娩,構造と機能,正常妊娠の経過（妊娠に伴う身体的変化を含む）,,"D-10-03-na-03,D-10-01-na-02",,,
344,妊娠と分娩,構造と機能,正常分娩の経過,,D-10-03-na-04,,,
345,妊娠と分娩,構造と機能,産褥の過程,,D-10-03-na-05,,,
346,妊娠と分娩,構造と機能,育児に伴う母体の構造的・生理的な変化、精神問題,,D-10-03-na-06,D-10-03-na-07,,D-10-03-na-07は社会チームへの統合を相談中
347,妊娠と分娩,症状・症候,腹痛,,"D-10-02-na-01,D-10-02-na-02,D-10-02-na-03",,,
348,妊娠と分娩,症状・症候,悪心・嘔吐,,"D-10-02-na-01,D-10-02-na-02,D-10-02-na-03",,,
349,妊娠と分娩,症状・症候,腹部膨隆・膨満・腫瘤,,"D-10-02-na-01,D-10-02-na-02,D-10-02-na-03",,,
350,妊娠と分娩,症状・症候,性器出血,,"F-01-30-na-01,F-01-30-na-02,F-01-30-na-03, G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05",,①性器出血、②月経異常,"
G-02-30-na-02
G-02-30-na-03
G-02-30-na-04
G-02-30-na-05"
351,妊娠と分娩,症状・症候,月経異常,,"F-01-30-na-01,F-01-30-na-02,F-01-30-na-03, G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05",,①性器出血、②月経異常,"
G-02-30-na-02
G-02-30-na-03
G-02-30-na-04
G-02-30-na-05"
352,妊娠と分娩,検査方法,妊娠の検査（妊娠反応、超音波検査）、,,D-10-01-na-01,,,
353,妊娠と分娩,検査方法,妊娠中の検査（血液検査、出生前遺伝学的検査（NIPT）、羊水検査、分泌物検査、ノンストレステスト、超音波検査、超音波ドプラ法、羊水量）,,D-10-01-na-04,,②妊娠中の検査（血液検査、出生前遺伝学的検査（NIPT）、羊水検査、分泌物検査、ノンストレステスト、超音波検査、超音波ドプラ法、羊水量）,
354,妊娠と分娩,検査方法,分娩の検査（超音波検査、胎児心拍数陣痛図）,,D-10-01-na-03,,,
355,妊娠と分娩,特異的治療法,妊娠時の薬物療法の注意点,,D-10-03-na-08,,,
356,妊娠と分娩,特異的治療法,人工妊娠中絶、鉗子・吸引分娩、帝王切開術の適応,,"D-10-05-na-01,D-10-05-na-02",,鉗子・吸引分娩,
357,妊娠と分娩,疾患・病態,異常妊娠：流産、切迫流産、切迫早産、異所性妊娠、妊娠高血圧症候群、多胎妊娠、羊水過多・過少、胎児機能・発育不全,,D-10-04-na-01,,切迫早産、羊水過多・過少、胎児機能不全,
358,妊娠と分娩,疾患・病態,異常分娩：早産、微弱陣痛、遷延分娩、回旋異常、前置胎盤、癒着胎盤、常位胎盤早期剥離、分娩外傷,,D-10-04-na-02,,,
359,妊娠と分娩,疾患・病態,異常産褥：子宮復古不全、産褥熱、乳腺炎,,D-10-04-na-03,,,
360,妊娠と分娩,疾患・病態,産科出血：弛緩出血、羊水塞栓症、播種性血管内凝固<DIC>,,D-10-04-na-04,,羊水塞栓,産科出血=>弛緩出血
361,妊娠と分娩,疾患・病態,合併症妊娠：耐糖能異常、甲状腺疾患、自己免疫疾患、血液型不適合妊娠、TORCH症候群,,D-10-04-na-05,,,
362,乳房,構造と機能,乳房の構造と機能,,D-11-01-na-01,,,
363,乳房,構造と機能,成長発達に伴う乳房の変化,,D-11-01-na-02,,,
364,乳房,構造と機能,乳汁分泌に関するホルモンの作用を説明できる。,,D-11-01-na-03,,,
365,乳房,症状・症候,乳房腫瘤,,D-11-03-na-01,,,
366,乳房,症状・症候,異常乳汁分泌（血性乳頭分泌）,,D-11-03-na-01,,,
367,乳房,症状・症候,乳房の腫脹・疼痛・変形,,D-11-03-na-01,,,
368,乳房,症状・症候,女性化乳房,,D-11-04-01-02,,,
369,乳房,検査方法,乳房腫瘤に対する画像診断（超音波検査、マンモグラフィー、磁気共鳴画像法<MRI>）,,D-11-02-na-01,,マンモグラフィー,
370,乳房,検査方法,乳房腫瘤に対する細胞・組織診断法,,D-11-02-na-02,,,
371,乳房,特異的治療法,※現時点で該当項目なし,,,,,
372,乳房,疾患・病態,良性乳腺疾患,,D-11-04-01-01,,,
373,乳房,疾患・病態,乳癌,,D-11-04-02-01,,,
374,内分泌系,構造と機能,ホルモンの構造的分類、作用機序および分泌調節機能,,,,,
375,内分泌系,構造と機能,内分泌器官とそこから分泌されるホルモン,,D-12-01-na-02,D-12-01-na-02,,
376,内分泌系,構造と機能,視床下部ホルモン・下垂体ホルモンの名称、作用と相互関係,,,,,
377,内分泌系,構造と機能,甲状腺と副甲状腺(上皮小体)から分泌されるホルモンの作用と分泌調節機構,,,,,
378,内分泌系,構造と機能,副腎の構造と分泌されるホルモンの作用と分泌調節機構,,,,,
379,内分泌系,構造と機能,膵島から分泌されるホルモンの作用,,,,,
380,内分泌系,構造と機能,男性ホルモン・女性ホルモンの合成・代謝経路と作用,,,,,
381,内分泌系,構造と機能,三大栄養素、ビタミン、微量元素の消化吸収と栄養素の生物学的利用効率(bioavailability),,,,,C-04-03との調整
382,内分泌系,構造と機能,糖質・タンパク質・脂質の代謝経路と相互作用,,,,,
383,内分泌系,構造と機能,血中ホルモン濃度に影響を与える因子およびホルモンの日内変動,,,,,
384,内分泌系,構造と機能,ホルモン分泌刺激試験と抑制試験の原理と反応の型,,D-12-02-na-04,D-12-02-na-04,,検査方法に包含
385,内分泌系,症状・症候-,※現時点でなし,,,,,
386,内分泌系,症状・症候-,低身長、甲状腺腫、肥満・やせ、月経異常、ホルモンの過剰または欠乏がもたらす身体症状、エネルギー摂取の過剰または欠乏がもたらす身体症状,,,,,
387,内分泌系,検査方法,血中・尿中ホルモン測定,,,,,
388,内分泌系,検査方法,内分泌機能検査、負荷試験,,,,,
389,内分泌系,特異的治療法,※現時点でなし,,,,,
390,内分泌系,疾患・病態,間脳・下垂体疾患：先端巨大症、Cushing病、高プロラクチン血症、下垂体前葉機能低下症、視床下部下垂体炎、中枢性尿崩症、抗利尿ホルモン不適合分泌症候群<SIADH>,,,,,赤字は汎下垂体機能低下症を差し替え
391,内分泌系,疾患・病態,甲状腺疾患：甲状腺機能亢進症、甲状腺機能低下症、甲状腺炎（慢性・無痛性・亜急性）,,,,無痛性,
392,内分泌系,疾患・病態,副甲状腺疾患：副甲状腺機能亢進症、副甲状腺機能低下症、悪性腫瘍に伴う高カルリウム血症,,"D-12-04-03-01,D-12-04-03-02,D-12-04-03-03,D-12-04-03-04","D-12-04-03-01,D-12-04-03-04",,
393,内分泌系,疾患・病態,副腎皮質・髄質疾患：Cushing 症候群、アルドステロン過剰症、原発性アルドステロン症、副腎不全(急性・慢性<Addison 病>),,,,,
394,内分泌系,疾患・病態,糖代謝異常：1型糖尿病、2型糖尿病、糖尿病の急性期合併症（糖尿病ケトアシドーシス、高血糖高浸透圧症候群）、糖尿病の慢性合併症（網膜症、腎症、神経障害、足病変）、低血糖症,,,,合併症の詳細項目,
395,内分泌系,疾患・病態,脂質代謝異常：脂質異常症、肥満症,,,,肥満症,
396,内分泌系,疾患・病態,タンパク質・ビタミン・核酸・その他の代謝異常：血清タンパク質の異常、ビタミン欠乏症及び過剰症、高尿酸血症・痛風、ポルフィリン症、金属代謝異常（ヘモクロマトーシス、Wilson病）,,,,,高尿酸血症・痛風は免疫領域？
397,内分泌系,疾患・病態,小児疾患：成長ホルモン分泌不全型低身長、先天性副腎皮質過形成,,,,,
398,内分泌系,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,,"D-12-04-10-01,D-12-04-10-02,D-12-04-10-03","D-12-04-10-01,D-12-04-10-02,D-12-04-10-03",,
399,眼視覚系,構造と機能,眼球と付属器の構造,,,,,
400,眼視覚系,構造と機能,視覚情報の受容の仕組みと伝導路,,,,,
401,眼視覚系,構造と機能,眼球運動の仕組み,,,,,
402,眼視覚系,構造と機能,対光反射、輻輳反射、角膜反射の機能,,,,,
403,眼視覚系,症状・症候,めまい,,,,,
404,眼視覚系,症状・症候,頭痛・頭重感,,,,,
405,眼視覚系,症状・症候,悪心・嘔吐,,,,,
406,眼視覚系,症状・症候,視力障害,,,,,
407,眼視覚系,症状・症候,視野異常,,,,,
408,眼視覚系,症状・症候,眼球運動障害,,,,,
409,眼視覚系,症状・症候,眼脂・眼の充血,,,,,
410,眼視覚系,症状・症候,飛蚊症,,,,,
411,眼視覚系,症状・症候,眼痛,,,,,
412,眼視覚系,検査方法,視力検査,,,,,
413,眼視覚系,検査方法,視野検査,,,,,
414,眼視覚系,検査方法,細隙灯顕微鏡検査,,,,,
415,眼視覚系,検査方法,眼圧検査,,,,,
416,眼視覚系,検査方法,眼底検査,,,,,
417,眼視覚系,特異的治療法,※現時点で該当項目なし,,,,,
418,眼視覚系,疾患・病態,屈折異常（近視、遠視、乱視）と調節障害,,,,,
419,眼視覚系,疾患・病態,伝染性結膜疾患　結膜炎、角膜炎,,,伝染性結膜疾患,結膜炎、角膜炎,
420,眼視覚系,疾患・病態,白内障,,,,,
421,眼視覚系,疾患・病態,緑内障,,,,,
422,眼視覚系,疾患・病態,裂孔原性網膜剥離,,,,,
423,眼視覚系,疾患・病態,糖尿病、高血圧・動脈硬化による眼底変化,,,,,
424,眼視覚系,疾患・病態,ぶどう膜炎,,,,,
425,眼視覚系,疾患・病態,視神経炎（症）・うっ血乳頭,,,,,
426,眼視覚系,疾患・病態,化学損傷（アルカリ、酸）,,,,,
427,眼視覚系,疾患・病態,網膜静脈閉塞症と動脈閉塞症,,,,,
428,眼視覚系,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,,,,,
429,耳鼻咽喉系,構造と機能,外耳・中耳・内耳の構造,,,,,
430,耳鼻咽喉系,構造と機能,聴覚・平衡覚の受容のしくみと伝導路,,,,,
431,耳鼻咽喉系,構造と機能,口腔・鼻腔・咽頭・喉頭の構造,,,,,
432,耳鼻咽喉系,構造と機能,喉頭の機能と神経支配,,,,,
433,耳鼻咽喉系,構造と機能,眼球運動、姿勢制御と関連させた平衡感覚機構,,,,,
434,耳鼻咽喉系,構造と機能,味覚と嗅覚の受容のしくみと伝導路,,,,,
435,耳鼻咽喉系,症状・症候,めまい,,,,,
436,耳鼻咽喉系,症状・症候,嚥下障害・誤嚥,,,,,
437,耳鼻咽喉系,症状・症候,気道狭窄,,,,,
438,耳鼻咽喉系,症状・症候,難聴,,,,,
439,耳鼻咽喉系,症状・症候,鼻出血,,,,,
440,耳鼻咽喉系,症状・症候,咽頭痛,,,,,
441,耳鼻咽喉系,症状・症候,開口障害,,,,,
442,耳鼻咽喉系,症状・症候,反回神経麻痺（嗄声）,,,,,
443,耳鼻咽喉系,症状・症候,耳鳴,,,,,
444,耳鼻咽喉系,症状・症候,鼻閉,,,,,
445,耳鼻咽喉系,症状・症候,鼻漏,,,,,
446,耳鼻咽喉系,症状・症候,嗅覚障害,,,,,
447,耳鼻咽喉系,症状・症候,いびき,,,,,
448,耳鼻咽喉系,症状・症候,味覚障害,,,,,
449,耳鼻咽喉系,症状・症候,唾液分泌異常,,,,,
450,耳鼻咽喉系,症状・症候,口および口腔内異常,,,,,
451,耳鼻咽喉系,検査方法,聴力検査と平衡機能検査,,,,,
452,耳鼻咽喉系,検査方法,味覚検査と嗅覚検査,,,,,
453,耳鼻咽喉系,検査方法,耳鏡、鼻鏡、喉頭鏡、鼻咽腔・喉頭内視鏡,,,,,
454,耳鼻咽喉系,特異的治療法,補聴器・人工聴覚器,,,,,
455,耳鼻咽喉系,疾患・病態,中耳炎（急性、慢性、滲出性）,,,,,
456,耳鼻咽喉系,疾患・病態,伝音難聴と感音難聴、迷路性と中枢性難聴,,,,,
457,耳鼻咽喉系,疾患・病態,めまい（末梢性、中枢性）,,,,,
458,耳鼻咽喉系,疾患・病態,良性発作性頭位眩暈症,,,,,
459,耳鼻咽喉系,疾患・病態,鼻出血,,,,,
460,耳鼻咽喉系,疾患・病態,副鼻腔炎（急性、慢性）,,,,,
461,耳鼻咽喉系,疾患・病態,アレルギー性鼻炎,,,,,
462,耳鼻咽喉系,疾患・病態,咽喉頭の扁桃の炎症性疾患,,,,,
463,耳鼻咽喉系,疾患・病態,う蝕、歯周病等の歯科疾患（全身への影響や口腔機能管理を含めて）,,,,,
464,耳鼻咽喉系,疾患・病態,気管切開の適応を説明できる。　　口角炎、口内炎、舌炎、鵞口瘡など,,,,,
465,耳鼻咽喉系,疾患・病態,外耳道・鼻腔・咽頭・喉頭・食道の代表的な異物,,,,,
466,耳鼻咽喉系,疾患・病態,唾液腺疾患,,,,,
467,耳鼻咽喉系,疾患・病態,顎関節症,,,,,
468,耳鼻咽喉系,疾患・病態,耳鼻・咽頭・口腔系の外傷・損傷（鼻骨骨折、吹き抜け骨折、耳介血腫、鼓膜損傷など）,,,,,
469,耳鼻咽喉系,疾患・病態,先天異常（唇裂、口蓋裂、Treacher Collins症候群など）,,,,,
470,耳鼻咽喉系,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,,,,,
