"H28ID","理由・コメント","H28表記(計算列)","医学教育課修正案(20220419)","医学教育課からのコメント(20220419)","タブ名","#VALUE!","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15","H28表記","第1層"
"A-06-01-na-01","多職種へ送る","実際の医療には、多職種が多段階の医療業務内容に関与していることを具体的に説明できる。","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"A-06-01-na-05","患者安全の項としては不要","医療の安全性確保のため、職種・段階に応じた能力向上の必要性を説明できる。","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"A-06-01-na-08","技能に復活","真摯に疑義に応じることができる。","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"A-06-02-na-01","A-06-02-na-02にまとめる","医療上の事故等（インシデントを含む）と合併症の違いを説明できる。","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"A-06-02-na-02","技能に復活","医療上の事故等（インシデントを含む）が発生したときの緊急処置や記録、報告を説明し、実践できる。","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"A-06-02-na-03","必要かどうか","医療過誤に関連した刑事・民事責任や医師法に基づく行政処分を説明できる。","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"A-06-02-na-04","技能に復活","基本的予防策（ダブルチェック、チェックリスト法、薬品名称の改善、フェイルセイフ・フールプルーフの考え方等）を概説し、指導医の指導の下に実践できる。","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"A-06-03-na-03","不要","患者隔離の必要な場合を説明できる。","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"A-06-03-na-04","技能に復活","針刺し事故（針刺切創）等に遭遇した際の対処の仕方を説明できる。","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢"
"","","","","","生涯","","","","","","","","","","","","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　んｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂｂ","","生涯にわたって共に学ぶ姿勢"
"F-02-01-na-02","情報収集にはDoesレベルを求めることを考えると削除を検討(近藤)","","","","技能","","","","","","","","","","","","","情報収集には医療面接、身体診察、検査の３つの方法があることを説明できる。","患者ケアのための診療技能"
"F-02-01-na-03","情報収集にはDoesレベルを求めることを考えると削除を検討(近藤)","","","","技能","","","","","","","","","","","","","診断仮説を想起するためには、解剖学、病理学、生理学、生化学等の基礎医学や疾患頻度が重要であることを説明できる。","患者ケアのための診療技能"
"G-01-01-01-01","コンピテンシーの再掲であり具体的な目標ではないため","","","","技能","","","","","","","","","","","","","「A 医師として求められる基本的な資質・能力」（以下、再掲）を常に意識しながら、臨床実習を行う。","患者ケアのための診療技能"
"G-01-01-01-02","コンピテンシーの再掲であり具体的な目標ではないため","","","","技能","","","","","","","","","","","","","プロフェッショナリズム","患者ケアのための診療技能"
"G-01-01-01-03","コンピテンシーの再掲であり具体的な目標ではないため","","","","技能","","","","","","","","","","","","","医学知識と問題対応能力","患者ケアのための診療技能"
"G-01-01-01-04","コンピテンシーの再掲であり具体的な目標ではないため","","","","技能","","","","","","","","","","","","","診療技能と患者ケア","患者ケアのための診療技能"
"G-01-01-01-05","コンピテンシーの再掲であり具体的な目標ではないため","","","","技能","","","","","","","","","","","","","コミュニケーション能力","患者ケアのための診療技能"
"G-01-01-01-06","コンピテンシーの再掲であり具体的な目標ではないため","","","","技能","","","","","","","","","","","","","チーム医療の実践","患者ケアのための診療技能"
"G-01-01-01-07","コンピテンシーの再掲であり具体的な目標ではないため","","","","技能","","","","","","","","","","","","","医療の質と安全の管理","患者ケアのための診療技能"
"G-01-01-01-08","コンピテンシーの再掲であり具体的な目標ではないため","","","","技能","","","","","","","","","","","","","社会における医療の実践","患者ケアのための診療技能"
"G-01-01-01-09","コンピテンシーの再掲であり具体的な目標ではないため","","","","技能","","","","","","","","","","","","","科学的探究","患者ケアのための診療技能"
"G-01-01-01-10","コンピテンシーの再掲であり具体的な目標ではないため","","","","技能","","","","","","","","","","","","","生涯にわたって共に学ぶ姿勢","患者ケアのための診療技能"
"G-01-01-02-01","具体的な目標ではないため","","","","技能","","","","","","","","","","","","","「F 診療の基本」の内容を基盤として、臨床の現場で研鑽を積む。","患者ケアのための診療技能"
"G-01-01-03-01","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","病歴を聴取して身体診察を行う。","患者ケアのための診療技能"
"G-01-01-03-02","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","鑑別診断を想定する。","患者ケアのための診療技能"
"G-01-01-03-03","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","基本的な検査の結果を解釈する。","患者ケアのための診療技能"
"G-01-01-03-04","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","処方を計画する。","患者ケアのための診療技能"
"G-01-01-03-05","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","診療録（カルテ）を記載する。","患者ケアのための診療技能"
"G-01-01-03-06","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","患者の状況について口頭でプレゼンテーションする。","患者ケアのための診療技能"
"G-01-01-03-07","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","臨床上の問題を明確にしてエビデンスを収集する。","患者ケアのための診療技能"
"G-01-01-03-08","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","患者さんの申し送りを行う・受け取る。","患者ケアのための診療技能"
"G-01-01-03-09","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","多職種のチームで協働する。","患者ケアのための診療技能"
"G-01-01-03-10","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","緊急性の高い患者さんの初期対応を行う。","患者ケアのための診療技能"
"G-01-01-03-11","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","インフォームド・コンセントを得る。","患者ケアのための診療技能"
"G-01-01-03-12","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","基本的臨床手技を実施する。","患者ケアのための診療技能"
"G-01-01-03-13","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","組織上の問題の同定と改善を通して医療安全に貢献する。","患者ケアのための診療技能"
"G-02-01-na-01","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","","","","技能","","","","","","","","","","","","","感染症：肺炎","患者ケアのための診療技能"
"G-04-03-na-01","具体的な目標ではないため","","","","技能","","","","","","","","","","","","","これ以下は教育方略","患者ケアのための診療技能"
"G-04-03-na-03","方略であるため削除し、ガイドラインでの記載を検討(近藤)","","","","技能","","","","","","","","","","","","","必要に応じて臨床教授制度等を利用する。","患者ケアのための診療技能"
"G-04-04-na-01","具体的な目標ではないため","","","","技能","","","","","","","","","","","","","シミュレータを用いて反復練習をすることで、臨床技能を磨く。","患者ケアのための診療技能"
"G-04-04-na-02","方略であるため削除し、ガイドラインでの記載を検討(近藤)","","","","技能","","","","","","","","","","","","","模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。","患者ケアのための診療技能"
"G-04-04-na-03","方略であるため削除し、ガイドラインでの記載を検討(近藤)","","","","技能","","","","","","","","","","","","","シナリオを用いたトレーニングを通して、状況判断、意思決定能力を獲得する。","患者ケアのための診療技能"
"G-04-04-na-04","方略であるため削除し、ガイドラインでの記載を検討(近藤)","","","","技能","","","","","","","","","","","","","チームトレーニングによって、チーム医療の実践能力を高める。","患者ケアのための診療技能"
"F-01-05-na-01","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","ショックの原因と病態生理を説明できる。","患者ケアのための診療技能"
"F-01-05-na-02","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","ショックをきたす疾患(群)を列挙し、診断の要点を説明できる。","患者ケアのための診療技能"
"F-01-05-na-03","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","ショック状態にある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。","患者ケアのための診療技能"
"G-02-05-na-01","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","循環血液量減少性：急性消化管出血","患者ケアのための診療技能"
"G-02-05-na-02","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","循環血液量減少性：大動脈瘤破裂","患者ケアのための診療技能"
"G-02-05-na-03","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","循環血液量減少性：熱傷","患者ケアのための診療技能"
"G-02-05-na-04","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","心原性：急性心筋梗塞","患者ケアのための診療技能"
"G-02-05-na-05","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","心原性：心筋炎","患者ケアのための診療技能"
"G-02-05-na-06","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","閉塞性：緊張性気胸","患者ケアのための診療技能"
"G-02-05-na-07","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","閉塞性：肺塞栓症","患者ケアのための診療技能"
"G-02-05-na-08","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","血液分布異常性：敗血症","患者ケアのための診療技能"
"G-02-05-na-09","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","血液分布異常性：急性膵炎","患者ケアのための診療技能"
"G-02-05-na-10","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","血液分布異常性：アナフィラキシー","患者ケアのための診療技能"
"G-02-05-na-11","ショックが症候から外れたため(循環器に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","血液分布異常性：脊髄損傷","患者ケアのための診療技能"
"F-01-10-na-01","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","脱水の原因と病態生理を説明できる。","患者ケアのための診療技能"
"F-01-10-na-02","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","脱水をきたす疾患(群)を列挙し、診断の要点を説明できる。","患者ケアのための診療技能"
"F-01-10-na-03","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","脱水がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。","患者ケアのための診療技能"
"G-02-10-na-01","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","消化器：急性消化管出血","患者ケアのための診療技能"
"G-02-10-na-02","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","消化器：乳児下痢症","患者ケアのための診療技能"
"G-02-10-na-03","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","消化器：急性膵炎","患者ケアのための診療技能"
"G-02-10-na-04","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","内分泌・代謝：糖尿病","患者ケアのための診療技能"
"G-02-10-na-05","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","環境：熱中症","患者ケアのための診療技能"
"G-02-10-na-06","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","環境：熱傷","患者ケアのための診療技能"
"F-01-18-na-01","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","胸水の原因と病態生理を説明できる。","患者ケアのための診療技能"
"F-01-18-na-02","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","胸水をきたす疾患(群)を列挙し、診断の要点を説明できる。","患者ケアのための診療技能"
"F-01-18-na-03","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","胸水がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。","患者ケアのための診療技能"
"G-02-18-na-01","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","循環器：心不全","患者ケアのための診療技能"
"G-02-18-na-02","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","呼吸器：肺炎","患者ケアのための診療技能"
"G-02-18-na-03","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","呼吸器：肺結核","患者ケアのための診療技能"
"G-02-18-na-04","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","呼吸器：肺癌","患者ケアのための診療技能"
"G-02-18-na-05","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","消化器：肝硬変","患者ケアのための診療技能"
"G-02-18-na-06","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","消化器：急性膵炎","患者ケアのための診療技能"
"G-02-18-na-07","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","自己免疫：関節リウマチ","患者ケアのための診療技能"
"G-02-18-na-08","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","自己免疫：全身性エリテマトーデス<SLE>","患者ケアのための診療技能"
"G-02-18-na-09","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","腎・泌尿器：ネフローゼ症候群","患者ケアのための診療技能"
"F-01-26-na-01","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","貧血の原因と病態生理を説明できる。","患者ケアのための診療技能"
"F-01-26-na-02","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","貧血をきたす疾患(群)を列挙し、診断の要点を説明できる。","患者ケアのための診療技能"
"F-01-26-na-03","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","貧血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。","患者ケアのための診療技能"
"G-02-26-na-01","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","鉄欠乏性貧血：消化性潰瘍","患者ケアのための診療技能"
"G-02-26-na-02","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","鉄欠乏性貧血：痔核","患者ケアのための診療技能"
"G-02-26-na-03","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","鉄欠乏性貧血：子宮筋腫","患者ケアのための診療技能"
"G-02-26-na-04","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","造血器腫瘍：白血病","患者ケアのための診療技能"
"G-02-26-na-05","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","造血器腫瘍：骨髄腫","患者ケアのための診療技能"
"G-02-26-na-06","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","二次性貧血：肝硬変","患者ケアのための診療技能"
"G-02-26-na-07","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","二次性貧血：慢性腎臓病","患者ケアのための診療技能"
"G-02-26-na-08","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","","","","技能","","","","","","","","","","","","","二次性貧血：アルコール依存症","患者ケアのための診療技能"
"G-04-02-15-01","診療科のその他を削除(近藤)","","","","技能","","","","","","","","","","","","","主訴からの診断推論を組み立てる、又はたどる。","患者ケアのための診療技能"
"G-04-02-15-02","診療科のその他を削除(近藤)","","","","技能","","","","","","","","","","","","","疾患の病態や疫学を理解する。","患者ケアのための診療技能"
"G-04-02-15-03","診療科のその他を削除(近藤)","","","","技能","","","","","","","","","","","","","該当診療科の治療に可能な範囲で参加する。","患者ケアのための診療技能"
"G-04-02-15-04","診療科のその他を削除(近藤)","","","","技能","","","","","","","","","","","","","該当診療科の基本的な診察技能について学ぶ。","患者ケアのための診療技能"
"G-04-02-15-05","診療科のその他を削除(近藤)","","","","技能","","","","","","","","","","","","","どのように該当診療科にコンサルテーションすればよいかわかる。","患者ケアのための診療技能"
"G-03-03-na-05","包帯交換をしなくなったため(近藤)","","","","技能","","","","","","","","","","","","","創の消毒やガーゼ交換ができる。","患者ケアのための診療技能"
"G-03-01-na-03","医行為とはいえない(近藤)","","","","技能","","","","","","","","","","","","","外用薬の貼付・塗布ができる。","患者ケアのための診療技能"
"G-03-01-na-07","学生レベルではない(近藤)","","","","技能","","","","","","","","","","","","","中心静脈カテーテル挿入を見学し、介助する。","患者ケアのための診療技能"
"G-03-01-na-12","外科専門医のレベルなので削除(近藤)","","","","技能","","","","","","","","","","","","","ドレーンの挿入と抜去を見学し、介助する。","患者ケアのための診療技能"
"G-03-01-na-14","学生に求める手技ではない(近藤)","","","","技能","","","","","","","","","","","","","全身麻酔、局所麻酔、輸血を見学し、介助する。","患者ケアのための診療技能"
"G-03-01-na-15","学生に求める手技ではない(近藤)","","","","技能","","","","","","","","","","","","","眼球に直接触れる治療を見学し、介助する。","患者ケアのための診療技能"
"G-03-02-na-01","医師が行う機会がなくなってきたため、計画・解釈は別目標として立てた(近藤)","","","","技能","","","","","","","","","","","","","尿検査（尿沈渣を含む）を実施できる。","患者ケアのための診療技能"
"G-03-02-na-02","医師が行う機会がなくなってきたため、計画・解釈は別目標として立てた(近藤)","","","","技能","","","","","","","","","","","","","末梢血塗抹標本を作成し、観察できる。","患者ケアのための診療技能"
"G-03-02-na-05","医師が行う機会がなくなってきたため、計画・解釈は別目標として立てた(近藤)","","","","技能","","","","","","","","","","","","","血液型判定を実施できる。","患者ケアのための診療技能"
"G-03-02-na-08","学生に求める手技ではない(近藤)","","","","技能","","","","","","","","","","","","","脳波検査の記録ができる。","患者ケアのための診療技能"
"G-03-02-na-09","学生に求める手技ではない(近藤)","","","","技能","","","","","","","","","","","","","眼球に直接触れる検査を見学し、介助する。","患者ケアのための診療技能"
"G-03-02-na-12","学生に求める手技ではない(近藤)","","","","技能","","","","","","","","","","","","","エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、核医学検査、内視鏡検査を見学し、介助する。","患者ケアのための診療技能"
"G-03-03-na-06","学生に求める手技ではない(近藤)","","","","技能","","","","","","","","","","","","","手術、術前・術中・術後管理を見学し、介助する。","患者ケアのための診療技能"
"F-02-01-na-01","具体的に何を示すか不明、削除も検討(近藤)","","","","技能","","","","","","","","","","","","","問題の同定から治療やマネジメントに至るプロセスを列挙できる。","患者ケアのための診療技能"
"G-04-04-na-03","方略であったため削除(近藤)","","","","技能","","","","","","","","","","","","","シナリオを用いたトレーニングを通して、状況判断、意思決定能力を獲得する。","患者ケアのための診療技能"
"F-02-07-na-06","専門医のレベルなので削除(近藤)","","","","技能","","","","","","","","","","","","","超音波造影法を説明できる。","患者ケアのための診療技能"
"G-03-01-na-02","皮膚消毒を行わなくなってきたため","","","","技能","","","","","","","","","","","","","皮膚消毒ができる。","患者ケアのための診療技能"
"F-03-04-na-02","総合へ","","","","技能","","","","","","","","","","","","","科学的根拠に基づいた治療法を述べることができる。","患者ケアのための診療技能"
"F-03-02-na-01","コミュニケーションへ","","","","技能","","","","","","","","","","","","","適切な身だしなみ、言葉遣い及び態度で患者に接することができる。","患者ケアのための診療技能"
"G-04-04-na-02","コミュニケーションへ","","","","技能","","","","","","","","","","","","","模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。","患者ケアのための診療技能"
"F-03-05-01-01","コミュニケーションへ","","","","技能","","","","","","","","","","","","","患者の立場を尊重し、信頼を得ることができる。","患者ケアのための診療技能"
"F-03-05-02-01","総合へ","","","","技能","","","","","","","","","","","","","身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。","患者ケアのための診療技能"
"F-02-01-na-04","コミュ・総合へ","","","","技能","","","","","","","","","","","","","診断仮説を検証するために、診断仮説に基づいた情報収集を実施できる。","患者ケアのための診療技能"
"F-03-01-na-01","抽象的なので削除","","","","技能","","","","","","","","","","","","","基本的診療知識に基づき、症例に関する情報を収集・分析できる。","患者ケアのための診療技能"
"F-03-01-na-02","抽象的なので削除","","","","技能","","","","","","","","","","","","","得られた情報を基に、その症例の問題点を抽出できる。","患者ケアのための診療技能"
"F-03-01-na-03","抽象的なので削除","","","","技能","","","","","","","","","","","","","病歴と身体所見等の情報を統合して、鑑別診断ができる。","患者ケアのための診療技能"
"G-04-01-04-02","社会へ","","","","技能","","","","","","","","","","","","","女性の健康問題に関する理解を深める。","患者ケアのための診療技能"
"F-03-05-08-05","小児科の基本的臨床技能として扱う","","","","技能","","","","","","","","","","","","","小児の成長・発達の評価に可能な範囲で参加できる。","患者ケアのための診療技能"
"G-04-01-03-05","小児科の基本的臨床技能として扱う","","","","技能","","","","","","","","","","","","","小児の成長・発達の評価に可能な範囲で参加する。","患者ケアのための診療技能"
"F-02-04-na-05","社会へ","","","","技能","","","","","","","","","","","","","病理解剖の医療における位置付けと法的事項、手続等を説明できる。","患者ケアのための診療技能"
"F-02-09-02-09","方略の意味合いが大きい","","","","技能","","","","","","","","","","","","","術後回復室の役割を概説できる。","患者ケアのための診療技能"
"F-02-09-02-10","方略の意味合いが大きい","","","","技能","","","","","","","","","","","","","集中治療室の役割を概説できる。","患者ケアのための診療技能"
"F-02-10-na-08","他と比べて専門的すぎるため","","","","技能","","","","","","","","","","","","","悪性高熱症や神経筋疾患患者における麻酔管理上の注意点を概説できる。","患者ケアのための診療技能"
"G-04-01-02-02","方略であるため削除し、ガイドラインでの記載を検討(近藤)","","","","技能","","","","","","","","","","","","","手術計画の立案に可能な範囲で参加する。","患者ケアのための診療技能"
"G-04-01-02-03","方略であるため削除し、ガイドラインでの記載を検討(近藤)","","","","技能","","","","","","","","","","","","","周術期管理に可能な範囲で参加する。","患者ケアのための診療技能"
"G-04-01-04-05","方略であるため削除し、ガイドラインでの記載を検討(近藤)","","","","技能","","","","","","","","","","","","","手術を含めた婦人科的治療に可能な範囲で参加する。","患者ケアのための診療技能"
"F-03-05-08-03","抽象的すぎるため","","","","技能","","","","","","","","","","","","","治療の立案・実施に可能な範囲で参加できる。","患者ケアのための診療技能"
"G-04-01-01-03","抽象的すぎるため","","","","技能","","","","","","","","","","","","","内科的治療の立案・実施に可能な範囲で参加する。","患者ケアのための診療技能"
"G-04-01-02-01","抽象的すぎるため","","","","技能","","","","","","","","","","","","","外科的治療の適応を知る。","患者ケアのための診療技能"
