臓器,分類,項目名,UID,H28対応項目
眼・視覚系,疾患・病態,ぶどう膜炎,JlAKpvc,D-13-04-01-07
眼・視覚系,疾患・病態,視神経炎（症）・うっ血乳頭,JlAKpvg,D-13-04-01-08
眼・視覚系,疾患・病態,化学損傷（アルカリ・酸）,JlAKpvk,D-13-04-01-09
眼・視覚系,疾患・病態,網膜静脈閉塞症と動脈閉塞症,JlAKpvo,D-13-04-01-10
眼・視覚系,疾患・病態,腫瘍性疾患　※腫瘍の項目を参照,JlAKpvs,D-13-04-02-01
耳鼻・咽喉・口腔系,疾患・病態,中耳炎（急性・慢性・滲出性・真珠腫性）,JlAKpxg,D-14-04-01-01
耳鼻・咽喉・口腔系,疾患・病態,外耳炎、耳せつ,JlAKpxk,
耳鼻・咽喉・口腔系,疾患・病態,難聴（騒音性、薬剤性、突発性、老人性）、乳幼児の難聴,JlAKpxo,D-14-04-01-02
耳鼻・咽喉・口腔系,疾患・病態,めまい（末梢性・中枢性）、動揺病,JlAKpxs,D-14-04-01-03
耳鼻・咽喉・口腔系,疾患・病態,良性発作性頭位眩暈症、Ménière病,JlAKpxw,D-14-04-01-04
耳鼻・咽喉・口腔系,疾患・病態,前庭神経炎,JlAKpx0,
耳鼻・咽喉・口腔系,疾患・病態,鼻出血,JlAKpx4,D-14-04-01-05
耳鼻・咽喉・口腔系,疾患・病態,副鼻腔炎（急性・慢性）,JlAKpx8,D-14-04-01-06
耳鼻・咽喉・口腔系,疾患・病態,アレルギー性鼻炎,JlAKpyA,D-14-04-01-07
耳鼻・咽喉・口腔系,疾患・病態,鼻咽喉頭の炎症性疾患（鼻炎・扁桃炎・咽頭炎・喉頭炎・喉頭蓋炎・扁桃周囲炎・膿瘍）,JlAKpyE,D-14-04-01-08
耳鼻・咽喉・口腔系,疾患・病態,う蝕、歯周病等の歯科疾患（全身への影響や口腔機能管理を含めて）,JlAKpyI,D-14-04-01-09
耳鼻・咽喉・口腔系,疾患・病態,口角炎、口内炎、舌炎、鵞口瘡、白板症など,JlAKpyM,D-14-04-01-10
耳鼻・咽喉・口腔系,疾患・病態,外耳道・鼻腔・咽頭・喉頭・気管・食道の代表的な異物,JlAKpyQ,D-14-04-01-11
耳鼻・咽喉・口腔系,疾患・病態,唾液腺疾患（急性唾液腺炎・唾石症・Sjogren症候群・Mikulicz病）,JlAKpyU,D-14-04-01-12
耳鼻・咽喉・口腔系,疾患・病態,顎関節症,JlAKpyY,
耳鼻・咽喉・口腔系,疾患・病態,耳鼻・咽頭・口腔系の外傷・損傷（鼻骨骨折・吹き抜け骨折・耳介血腫・鼓膜損傷など）,JlAKpyc,
耳鼻・咽喉・口腔系,疾患・病態,先天異常（唇裂・口蓋裂など）,JlAKpyg,
耳鼻・咽喉・口腔系,疾患・病態,口蓋扁桃肥大症、咽頭扁桃<アデノイド>増殖症、声帯ポリープ,JlAKpyk,
耳鼻・咽喉・口腔系,疾患・病態,頭頸部疾患（頸部リンパ節炎・頸部膿瘍・頸部リンパ節転移など）,JlAKpyo,
耳鼻・咽喉・口腔系,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,JlAKpys,"D-14-04-02-01, D-14-04-02-02"
精神系,疾患・病態,認知症　※神経系の項目を参照,JlAKpz8,D-15-03-na-02
精神系,疾患・病態,症状性精神病,JlAKp0A,D-15-03-na-01
精神系,疾患・病態,依存症（薬物使用、アルコール、ギャンブル）,JlAKp0E,D-15-03-na-03
精神系,疾患・病態,うつ病、双極性障害（躁うつ病）,JlAKp0I,"D-15-03-na-05, D-15-03-na-06"
精神系,疾患・病態,統合失調症,JlAKp0M,D-15-03-na-04
精神系,疾患・病態,強迫性障害,JlAKp0Q,
精神系,疾患・病態,不安障害（パニック障害・社交不安障害）,JlAKp0U,D-15-03-na-07
精神系,疾患・病態,解離性障害,JlAKp0Y,D-15-03-na-09
精神系,疾患・病態,身体表現性障害（身体化障害・疼痛性障害・心気症）、心身症、ストレス関連障害（急性ストレス障害・心的外傷後ストレス障害）、過換気症候群,JlAKp0c,"D-15-03-na-07, D-15-03-na-08"
精神系,疾患・病態,摂食障害（神経性食思不振症・神経性過食症）,JlAKp0g,D-15-03-na-08
精神系,疾患・病態,パーソナリティ障害,JlAKp0k,D-15-03-na-10
免疫・アレルギー,疾患・病態,他のリウマチ性疾患：強直性脊椎炎、反応性関節炎、乾癬性関節炎、掌蹠膿疱症性関節炎、結晶誘発性関節炎、変形性関節症、リウマチ性多発筋痛症、線維筋痛症、IgG4関連疾患、再発性多発軟骨炎、リウマチ熱,Jli6MhQ,
免疫・アレルギー,疾患・病態,血管炎症候群：巨細胞性動脈炎、高安動脈炎、結節性多発動脈炎、顕微鏡的多発血管炎、多発血管炎性肉芽腫症、好酸球性多発血管炎性肉芽腫症、IgA血管炎、川崎病、悪性関節リウマチ、抗GBM病,Jli6MhY,E-04-03-05-01
感染症,疾患・病態,市中感染症：髄膜脳炎、咽頭炎、中耳炎、血流感染・感染性心内膜炎、肺炎、腹腔内感染、膀胱炎・腎盂腎炎、皮膚軟部組織感染、関節炎,Jli6Mhg,E-02-01-na-02
感染症,疾患・病態,医療関連感染：血管内留置カテーテル関連感染、尿路カテーテル感染、医療関連肺炎・人工呼吸器関連肺炎、手術部位感染、クロストリディオイデス・ディフィシル感染,Jli6Mho,"E-02-01-na-02,E-02-01-na-03"
感染症,疾患・病態,免疫不全：糖尿病、腎臓病、肝臓病、がん・血液疾患、好中球減少、免疫抑制薬使用中、HIV・AIDS、臓器移植,Jli6Mhs,E-02-01-na-06
感染症,疾患・病態,ワクチン予防可能な疾患：麻疹、風疹、ムンプス、水痘、B型肝炎、インフルエンザ菌、肺炎球菌、破傷風ジフテリア、インフルエンザ、新型コロナウイルス,Jli6Mh0,E-02-02-na-07
腫瘍,疾患・病態,血液・造血器・リンパ系：急性白血病、慢性骨髄性白血病、骨髄異形成症候群、成人T細胞白血病、真性赤血球増加症、本態性血小板血症、骨髄線維症、悪性リンパ腫、多発性骨髄腫,Jli6O1M,E-03-05-na-01
腫瘍,疾患・病態,神経系：膠芽腫、髄膜腫、神経鞘腫、転移性脳腫瘍,Jli6O1Q,E-03-05-na-02
腫瘍,疾患・病態,皮膚系：基底細胞癌、有棘細胞癌、悪性黒色腫、リンパ腫,Jli6O1Y,E-03-05-na-03
腫瘍,疾患・病態,運動器（筋骨格）系：骨軟部腫瘍（骨肉腫、軟骨肉腫、ユーイング肉腫）、転移性脊椎腫瘍,Jli6O1g,E-03-05-na-04
腫瘍,疾患・病態,循環器系：粘液腫,Jli6O1k,E-03-05-na-05
腫瘍,疾患・病態,呼吸器系：肺癌、胸膜中皮腫、転移性肺腫瘍、縦隔腫瘍,Jli6O1s,E-03-05-na-06
腫瘍,疾患・病態,消化器系：食道癌、胃癌、大腸ポリープ、大腸癌、胆嚢・胆管癌、原発性肝癌、膵神経内分泌腫瘍、嚢胞性膵腫瘍、膵癌,Jli6O1w,E-03-05-na-07
腫瘍,疾患・病態,腎・尿路系：腎癌、腎盂尿管癌・膀胱癌,Jli6O14,E-03-05-na-08
腫瘍,疾患・病態,生殖機能：前立腺癌、精巣腫瘍、子宮頸癌、子宮体癌（子宮内膜癌）、卵巣腫瘍、絨毛性疾患（胞状奇胎、絨毛癌）,Jli6O18,E-03-05-na-09
腫瘍,疾患・病態,乳房：原発性乳癌、線維腺腫、乳腺症,Jli6O2E,E-03-05-na-10
腫瘍,疾患・病態,内分泌・栄養・代謝系：下垂体腫瘍、甲状腺腫瘍（腺腫様甲状腺腫、甲状腺癌）、褐色細胞腫、多発性内分泌腫瘍症,Jli6O2I,E-03-05-na-11
腫瘍,疾患・病態,眼・視覚系：網膜芽細胞腫,Jli6O2Q,E-03-05-na-13
腫瘍,疾患・病態,耳鼻・咽喉・口腔系（頭頸部）：舌癌、咽頭癌、喉頭癌,Jli6O2U,"E-03-05-na-14,E-03-05-na-12"
腫瘍,疾患・病態,小児：脳腫瘍、血液腫瘍、網膜芽細胞腫、神経芽腫、腎芽腫、肝芽腫、奇形腫を含む胚細胞腫瘍,Jli6O2c,E-03-05-na-05
腫瘍,疾患・病態,遺伝性腫瘍：家族性大腸腺腫症、遺伝性乳がん卵巣がん症候群、遺伝性非ポリポーシス性大腸癌（リンチ症候群）、Li-Fraumeni症候群,Jli6O2k,
