第2層,第3層,第4層仮番号,第4層,H28対応項目,メモ
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,1,皮膚の組織構造を図示して説明できる。,D-03-01-na-01,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,2,皮膚の細胞動態と角化の機構を説明できる。,D-03-01-na-02,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,3,皮膚の免疫防御能を説明できる。,D-03-01-na-03,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,1,皮膚検査法（硝子圧法、皮膚描記法（Darier徴候）、Nikolsky現象、Tzanck試験、光線テスト）を概説できる。,D-03-02-na-01,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,2,皮膚アレルギー検査法（プリックテスト、皮内テスト、パッチテスト）を説明できる。,D-03-02-na-02,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,3,微生物検査法（検体採取法、苛性カリ<KOH>直接検鏡法）を概説できる。,D-03-02-na-03,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,1,発疹、皮疹,D-03-03-na-01,編集あり
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,1,湿疹反応を説明でき、湿疹・皮膚炎の疾患（接触皮膚炎、アトピー性皮膚炎、脂漏性皮膚炎、貨幣状湿疹、皮脂欠乏性湿疹、自家感作性皮膚炎）を列挙し、説明できる,"D-03-04-01-01,D-03-04-01-02",
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,2,蕁麻疹、多形滲出性紅斑、環状紅斑、紅皮症、皮膚そう痒症の病因と病態、診断と治療を説明できる,"D-03-04-02-01,D-03-04-02-02,D-03-04-02-03",
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,3,皮膚血流障害と血管炎の病因、症候と病態を説明できる。,D-03-04-03-01,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,4,薬疹や薬物障害の発生機序、症候と治療を説明でき、薬疹を起こしやすい主な薬物を列挙できる,"D-03-04-04-01,D-03-04-04-02",
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,5,自己免疫性水疱症、膿疱症の病因、病態と分類を説明し鑑別できる,"D-03-04-05-01,D-03-04-05-02,D-03-04-05-03",
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,6,尋常性乾癬、扁平苔癬とGibert薔薇色粃糠疹、魚鱗癬の病態、症候と治療を説明できる,"D-03-04-06-01,D-03-04-06-02",
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,7,皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）、皮膚軟部組織感染、壊死性筋膜炎）のリスク因子、感染経路、病態生理、原因微生物、症候、診断、治療について説明できる。皮膚真菌症（表在性、深在性）、皮膚結核病、梅毒の症候、病期と合併症、皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）、後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）、リスク因子、感染経路、病態生理、原因微生物、症候、診断、治療についてを列挙し、説明できる,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05,D-03-04-07-06",
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,8,母斑・母斑症の種類を列挙でき、皮膚良性腫瘍、前癌状態と悪性腫瘍の種類と見分け方を説明できる,"D-03-04-08-01,D-03-04-08-02",
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,9,皮膚悪性リンパ腫、血管肉腫、、基底細胞上皮腫(癌)、有棘細胞癌、悪性黒色腫の定義と病態、症候、皮疹とダーモスコピー像の所見、病理所見や診断、治療法を説明できる,"D-03-04-08-03,D-03-04-08-04,D-03-04-08-05,D-03-04-08-06",
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,10,毛の疾患、爪の疾患の病態、症状と治療を説明できる,"D-03-04-09-01,D-03-04-09-02",
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,1,骨・軟骨・関節・靱帯の構成と機能を説明できる。,D-04-01-na-01,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,2,頭頸部、脊柱の構成と機能を説明できる,"D-04-01-na-02,D-04-01-na-03",
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,3,四肢の骨格、主要筋群の運動と神経支配を説明できる。,D-04-01-na-04,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,4,骨盤の構成と性差を説明できる。,D-04-01-na-05,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,5,骨の成長と骨形成・吸収の機序を説明できる。,D-04-01-na-06,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,6,姿勢と体幹の運動にかかわる筋群、抗重力筋を説明できる,"D-04-01-na-07,D-04-01-na-08",
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,1,筋骨格系の病態に即した徒手検査（四肢・脊柱の可動域検査、神経学的検査等）を説明できる。,D-04-02-na-01,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,2,筋骨格系画像診断（エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、超音波検査、骨塩定量）の適応を概説できる。,D-04-02-na-02,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,1,四肢・脊椎外傷、関節の脱臼、靱帯損傷、骨折の分類、症候、診断、治療と合併症を説明できる,"D-04-04-01-01,D-04-04-01-02,D-04-04-01-03","D-04-03-na-01,D-04-03-na-02,D-04-03-na-03(大項目3つ)は削除"
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,2,コンパートメント症候群の病態、症候、診断と治療を説明できる。,D-04-04-01-04,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,3,骨粗鬆症の病因と病態を説明し、骨折の好発部位を列挙できる。,D-04-04-01-05,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,4,関節炎、腱鞘炎のリスク因子、感染経路、病態生理、原因微生物、症候、診断、治療について説明できる。変形性関節症の症候、診断と治療を説明できる,"D-04-04-01-06,D-04-04-01-07",
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,5,絞扼性末梢神経障害（手根管症候群、肘部管症候群等）を列挙し、その症候を説明できる。,D-04-04-01-08,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,6,頸椎症性脊髄症（脊柱靭帯骨化症を含む）・頸椎症性神経根症、脊髄損傷の神経症候、診断、治療を説明できる,"D-04-04-01-09,D-04-04-01-10",
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,7,腰椎椎間板ヘルニア、腰部脊柱管狭窄症、腰椎分離・すべり症の症候、診断と治療を説明できる,"D-04-04-01-11,D-04-04-01-12,D-04-04-01-13",
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,1,運動器慢性疼痛（腰背部痛、頸部痛、肩こり）の病態、診断と治療を説明できる。,D-04-04-01-14,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,2,運動器疾患のリハビリテーションを概説できる。,D-04-04-01-15,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,3,化膿性関節炎、椎間板炎、化膿性脊椎炎、脊椎カリエスのリスク因子、感染経路、病態生理、原因微生物、症候、診断と治療を説明できる,"D-04-04-02-01,D-04-04-02-02",
人体各器官の正常構造と機能、病態、診断、治療,循環器系,1,心臓の構造と分布する血管・神経、冠動脈の特長とその分布域を説明できる。,D-05-01-na-01,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,2,心筋細胞の微細構造と機能、電気現象と心臓の興奮（刺激）伝導系、興奮収縮連関を説明できる,"D-05-01-na-02,D-05-01-na-03,D-05-01-na-04",
人体各器官の正常構造と機能、病態、診断、治療,循環器系,3,体循環、肺循環と胎児・胎盤循環を説明できる。,D-05-01-na-05,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,4,大動脈と主な分枝（頭頸部、上肢、胸部、腹部、下肢）、主な静脈（門脈系と上・下大静脈系も含む）を図示し、分布域を説明できる,"D-05-01-na-06,D-05-01-na-07",
人体各器官の正常構造と機能、病態、診断、治療,循環器系,7,毛細血管における物質・水分交換を説明できる。,D-05-01-na-08,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,8,胸管を経由するリンパの流れを概説できる。,D-05-01-na-09,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,9,心周期にともなう血行動態、心機能曲線と心拍出量の調節機序、主な臓器（脳、心臓、肺、腎臓）の循環調節、血圧調節の機序、体位や運動に伴う循環反応とその機序を説明できる,"D-05-01-na-10,D-05-01-na-11,D-05-01-na-12,D-05-01-na-13,D-05-01-na-14",
人体各器官の正常構造と機能、病態、診断、治療,循環器系,1,胸部単純エックス線撮影写真、心電図の主な所見を説明できる。,D-05-02-na-01,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,2,心臓超音波検査の主な所見を説明できる,D-05-02-na-02,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,3,運動負荷心電図、ホルタ―心電図を説明できる。,D-05-02-na-03,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,4,心臓シンチグラフィ－を説明できる。,D-05-02-na-04,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,5,冠動脈造影、冠動脈コンピュータ断層撮影<CT>及び心臓磁気共鳴画像法<MRI>の主な所見を説明できる。,D-05-02-na-05,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,6,心カテーテル検査（心内圧、心機能、シャント率の測定）と結果の解釈を説明できる。,D-05-02-na-06,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,1,発熱、全身倦怠感、食思(欲)不振、体重減少・体重増加、ショック、意識障害・失神、けいれん、めまい、浮腫、咳・痰、呼吸困難、胸痛、動悸、胸水、嚥下困難・障害、腹痛、悪心・嘔吐、頭痛、腰背部痛、心停止,"D-05-03-na-01,D-05-03-na-02,D-05-03-na-03,D-05-03-na-04,D-05-03-na-05,D-05-03-na-06,D-05-03-na-07,D-05-03-na-08,D-05-03-na-09,D-05-03-na-10,D-05-03-na-11,D-05-03-na-12,D-05-03-na-13,D-05-03-na-14,D-05-03-na-15,D-05-03-na-16,D-05-03-na-17,D-05-03-na-18,D-05-03-na-19,D-05-03-na-20",
人体各器官の正常構造と機能、病態、診断、治療,循環器系,1,心不全の定義、病態生理（収縮不全、拡張不全）、左心不全と右心不全、急性心不全と慢性心不全の診断と薬物療法、非薬物療法（心臓リハビリテーションを含む）、心不全診療における多職種連携（チーム医療）による疾病管理プログラムを説明できる,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,D-05-04-01-04",
人体各器官の正常構造と機能、病態、診断、治療,循環器系,2,高齢者における心不全の特徴を説明できる。,D-05-04-01-05,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,3,安定労作性狭心症の病態、冠攣縮性狭心症、急性冠症候群（不安定狭心症、非ST上昇型心筋梗塞及びST上昇型心筋梗塞）の病態、症候、診断、治療を説明できる,"D-05-04-02-01,D-05-04-02-02,D-05-04-02-03",
人体各器官の正常構造と機能、病態、診断、治療,循環器系,4,虚血性心疾患の発症予防、再発予防、陳旧性心筋梗塞の病態、症候、診断を説明でき、虚血性心疾患の薬物治療、非薬物療法（血行再建術（経皮的冠動脈形成術、ステント留置術、冠動脈バイパス術））、心臓リハビリテーションを説明できる,"D-05-04-02-04,D-05-04-02-05,D-05-04-02-06",
人体各器官の正常構造と機能、病態、診断、治療,循環器系,5,主な徐脈性不整脈（洞不全症候群（sick sinus症候群）、房室ブロック）、上室性頻脈性不整脈（洞性頻脈、上室性期外収縮、心房細動、心房粗動、発作性上室性頻拍症）、心室性頻脈性不整脈（心室性期外収縮、心室頻拍、多源性心室頻拍（トルサード・ド・ポワント(torsades de pointes)、心室細動）、致死性不整脈の原因、症候、心電図の特徴、治療を説明できる,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-06",
人体各器官の正常構造と機能、病態、診断、治療,循環器系,6,不整脈の原因となる疾患や病態（電解質異常、QT延長症候群、薬剤、甲状腺機能亢進症、Wolff-Parkinson-White <WPW>症候群、Brugada症候群等）を説明できる。,D-05-04-03-04,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,7,不整脈の薬物療法、非薬物療法（カテーテルアブレーション、電気的除細動、ペースメーカー植え込み、植え込み型除細動器）を概説できる。,D-05-04-03-05,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,8,主な弁膜症（僧帽弁疾患、大動脈弁疾患）の病因、病態生理、症候と診断を説明し、治療を説明できる。,D-05-04-04-01,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,9,心肥大、特発性心筋症（肥大型心筋症、拡張型心筋症、拘束型心筋症）と二次性心筋疾患、心タンポナーデの病態、症候、診断、治療を説明できる,"D-05-04-05-01,D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,D-05-04-05-06",
人体各器官の正常構造と機能、病態、診断、治療,循環器系,10,主な心臓腫瘍（粘液腫など）の病態、症候、診断、治療を説明できる。,D-05-04-05-07,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,11,主な先天性心疾患（心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot四徴症）の病態生理、症候と診断を説明し、治療を概説できる。,D-05-04-06-01,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,12,動脈硬化の危険因子、病態、非侵襲的検査法を説明できる。,D-05-04-07-01,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,13,急性大動脈解離、大動脈瘤（破裂）、閉塞性動脈硬化症とBuerger病、高安動脈炎（大動脈炎症候群）病態、症候、診断、治療を説明できる,"D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05",
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,深部静脈血栓症(deep vein thrombosis <DVT>)、血栓性静脈炎の病因、症候、合併症、治療を説明できる。,D-05-04-08-01,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,上大静脈症候群の病因と症候を説明できる。,D-05-04-08-02,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,下肢静脈瘤を説明できる。,D-05-04-08-03,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,リンパ浮腫の病因を列挙できる。,D-05-04-08-04,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,本態性高血圧症の疫学、診断、合併症、予後、治療を説明できる。,D-05-04-09-01,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,二次性高血圧症の病因（内分泌性、腎血管性、薬剤性）、症候、診断、治療を説明できる。,D-05-04-09-02,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,各種降圧薬の作用機序、適応、禁忌、副作用を説明できる。,D-05-04-09-03,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,高血圧緊急症の病態と対応を説明できる。,D-05-04-09-04,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,他疾患（脳血管疾患、心疾患、腎疾患、糖尿病）を合併する場合の血圧管理を説明できる。,D-05-04-09-05,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,高齢者の高血圧の特徴と治療の注意点を説明できる。,D-05-04-09-06,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,低血圧の原因疾患、病態生理、症候、診断、予後、治療を説明できる。,D-05-04-10-01,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,起立性低血圧、神経調節性失神の診断、予後、治療を説明できる。,D-05-04-10-02,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,,粘液腫の定義と病態、症候、検査所見、画像所見、病理所見、診断、治療法を説明できる。,D-05-04-11-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,気道の構造、肺葉・肺区域と肺門の構造を説明できる。,D-06-01-na-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺循環と体循環の違いを説明できる。,D-06-01-na-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,縦隔と胸膜腔の構造を説明できる。,D-06-01-na-03,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,呼吸筋と呼吸運動の機序を説明できる。,D-06-01-na-04,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺気量分画、換気、死腔（換気力学（胸腔内圧、肺コンプライアンス、抵抗、クロージングボリューム(closing volume)））を説明できる。,D-06-01-na-05,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺胞におけるガス交換と血流の関係を説明できる。,D-06-01-na-06,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺の換気と血流（換気血流比）が動脈血ガスにおよぼす影響（肺胞気-動脈血酸素分圧較差(alveolar-arterial oxygen difference <A-aDO2>)）を説明できる。,D-06-01-na-07,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,呼吸中枢を介する呼吸調節の機序を説明できる。,D-06-01-na-08,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,血液による酸素 と二酸化炭素 の運搬の仕組みを説明できる。,D-06-01-na-09,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,気道と肺の防御機構（免疫学的・非免疫学的）と代謝機能を説明できる。,D-06-01-na-10,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,単純エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、及び核医学検査（ポジトロン断層法(positron emission tomography <PET>)検査を含む）等の画像検査の意義を説明できる。,D-06-02-na-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,気管支内視鏡検査の意義を説明できる。,D-06-02-na-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,喀痰検査（喀痰細胞診、喀痰培養）の意義を説明できる。,D-06-02-na-03,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,喘鳴の発生機序と原因疾患を説明できる。,D-06-03-01-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,胸水,D-06-03-02-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,胸痛・胸部圧迫感,D-06-03-02-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,呼吸困難・息切れ,D-06-03-02-03,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,咳・痰,D-06-03-02-04,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,血痰・喀血,D-06-03-02-05,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,呼吸不全の定義、分類、病態生理と主な病因を説明できる。,D-06-04-01-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,低酸素血症と高二酸化炭素血症の病因、分類と診断を説明し、治療を概説できる。,D-06-04-01-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,急性上気道感染症（かぜ症候群）と扁桃炎の病因、診断と治療を説明できる。,D-06-04-02-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,気管支炎・細気管支炎・肺炎（定型肺炎、非定型肺炎）の主な病原体を列挙し、症候、診断と治療を説明できる。,D-06-04-02-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺結核症と肺真菌症の症候、診断、治療と届出手続を説明できる。,D-06-04-02-03,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,非結核性（非定型）抗酸菌症を概説できる。,D-06-04-02-04,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,誤嚥性肺炎の発生機序とその予防法を説明できる。,D-06-04-02-05,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,クループ症候群と急性喉頭蓋炎の病因、診断と治療を説明できる。,D-06-04-02-06,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺化膿症と膿胸を概説できる。,D-06-04-02-07,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,慢性閉塞性肺疾患(chronic obstructive pulmonary disease <COPD>)の病因を列挙できる。,D-06-04-03-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,慢性閉塞性肺疾患<COPD>の病因、診断、治療、呼吸器リハビリテーションを説明できる。,D-06-04-03-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,気管支喘息（小児喘息を含む）の病態生理、診断と治療を説明できる。,D-06-04-03-03,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,間質性肺炎（特発性、膠原病及び血管炎関連性）の病態、診断と治療を説明できる。,D-06-04-03-04,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,びまん性汎細気管支炎を概説できる。,D-06-04-03-05,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,放射線肺炎を概説できる。,D-06-04-03-06,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,じん肺症（珪肺(silicosis)、石綿肺(asbestosis)）を概説できる。,D-06-04-03-07,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺性心の病因、診断と治療を説明できる。,D-06-04-04-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,急性呼吸促(窮)迫症候群(acute respiratory distress syndrome <ARDS>)の病因、症候と治療を説明できる。,D-06-04-04-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺血栓塞栓症の病因、診断と治療を説明できる。,D-06-04-04-03,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺高血圧症を概説できる。,D-06-04-04-04,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,過敏性肺炎の病因、症候と診断を説明できる。,D-06-04-05-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,サルコイドーシスの症候、診断と治療を説明できる。,D-06-04-05-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,好酸球性肺炎を概説できる。,D-06-04-05-03,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,薬剤性肺炎を概説できる。,D-06-04-05-04,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,過換気症候群を概説できる。,D-06-04-06-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,睡眠時無呼吸症候群を概説できる。,D-06-04-06-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺胞低換気症候群を概説できる。,D-06-04-06-03,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,気管支拡張症の症候、診断と治療を説明できる。,D-06-04-07-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,無気肺の病因と診断を説明できる。,D-06-04-07-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,新生児呼吸促迫症候群の症候、病態、診断と治療を説明できる。,D-06-04-07-03,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺リンパ脈管筋腫症を概説できる。,D-06-04-07-04,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺胞タンパク症を概説できる。,D-06-04-07-05,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,胸膜炎の病因、症候、診断と治療を説明できる。,D-06-04-08-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,気胸（自然気胸、緊張性気胸、外傷性気胸）の病因、症候、診断と治療を説明できる。,D-06-04-08-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,縦隔気腫の病因、症候と診断を説明できる。,D-06-04-08-03,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,胸膜生検の適応を説明できる。,D-06-04-08-04,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,肺癌の組織型、病期分類、病理所見、診断、治療を説明できる。,D-06-04-09-01,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,転移性肺腫瘍の診断と治療を説明できる。,D-06-04-09-02,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,縦隔腫瘍の種類を列挙し、診断と治療を説明できる。,D-06-04-09-03,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,,胸膜中皮腫の病因、診断、治療を概説できる。,D-06-04-09-04,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,各消化器官の位置、形態と関係する血管を図示できる。,D-07-01-na-01,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,腹膜と臓器の関係を説明できる。,D-07-01-na-02,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,食道・胃・小腸・大腸の基本構造と部位による違いを説明できる。,D-07-01-na-03,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,消化管運動の仕組みを説明できる。,D-07-01-na-04,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,消化器官に対する自律神経の作用を説明できる。,D-07-01-na-05,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,肝の構造と機能を説明できる。,D-07-01-na-06,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,胃液の作用と分泌機序を説明できる。,D-07-01-na-07,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,胆汁の作用と胆嚢収縮の調節機序を説明できる。,D-07-01-na-08,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,膵外分泌系の構造と膵液の作用を説明できる。,D-07-01-na-09,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,小腸における消化・吸収の仕組みを説明できる。,D-07-01-na-10,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,大腸における糞便形成と排便の仕組みを説明できる。,D-07-01-na-11,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,主な消化管ホルモンの作用を説明できる。,D-07-01-na-12,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,歯、舌、唾液腺の構造と機能を説明できる。,D-07-01-na-13,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,咀しゃくと嚥下の機構を説明できる。,D-07-01-na-14,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,消化管の正常細菌叢（腸内細菌叢）の役割を説明できる。,D-07-01-na-15,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,代表的な肝炎ウイルス検査の検査項目を列挙し、その意義を説明できる。,D-07-02-na-01,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,消化器関連の代表的な腫瘍マーカー（α-fetoprotein <AFP>、 carcinoembryonic antigen <CEA>、carbohydrate antigen <CA> 19-9、protein induced by vitamin K absence or antagonists <PIVKA>-II）の意義を説明できる。,D-07-02-na-02,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,消化器系疾患の画像検査を列挙し、その適応と異常所見を説明し、結果を解釈できる。,D-07-02-na-03,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,消化器内視鏡検査から得られる情報を説明できる。,D-07-02-na-04,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,生検と細胞診の意義と適応を説明できる。,D-07-02-na-05,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,肝腫大をきたす疾患を列挙し、その病態生理を説明できる。,D-07-03-01-01,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,肝腫大のある患者における医療面接、診察と診断の要点を説明できる。,D-07-03-01-02,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,黄疸,D-07-03-02-01,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,腹痛,D-07-03-02-02,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,悪心・嘔吐,D-07-03-02-03,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,食思(欲)不振,D-07-03-02-04,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,便秘・下痢・血便,D-07-03-02-05,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,吐血・下血,D-07-03-02-06,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,腹部膨隆（腹水を含む）・膨満・腫瘤,D-07-03-02-07,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,,食道・胃静脈瘤の病態生理、内視鏡分類と治療を説明できる。,D-07-04-01-01,
