"番号","章番号","章","大項目番号","大項目","中項目番号","中項目","小項目番号","小項目","再掲","備考","Ａ","Ｂ","Ｃ","削除","KW計","H17","H21","H25","H30","患者調査による頻度"
"411","Ⅳ","呼吸・胸壁","２","気管・気管支・肺の形態・機能異常、外傷","Ａ","気管・気管支の異常","②","びまん性汎細気管支炎","","","5","0","0","0","6","3","1","1","1","0"
"412","Ⅳ","呼吸・胸壁","２","気管・気管支・肺の形態・機能異常、外傷","Ａ","気管・気管支の異常","③","閉塞性細気管支炎","","","4","1","0","0","0","","","","","0"
"413","Ⅳ","呼吸・胸壁","２","気管・気管支・肺の形態・機能異常、外傷","Ａ","気管・気管支の異常","④","気管・気管支の狭窄・閉塞","","","1","4","1","0","0","","","","","0"
"414","Ⅳ","呼吸・胸壁","２","気管・気管支・肺の形態・機能異常、外傷","Ａ","気管・気管支の異常","⑤","気道異物","","","4","1","1","0","5","1","","2","2","0"
"415","Ⅳ","呼吸・胸壁","２","気管・気管支・肺の形態・機能異常、外傷","Ｂ","肺の異常","①","気腫性囊胞<ブラ、ブレブ>","","","2","2","1","0","0","","","","","1"
"416","Ⅳ","呼吸・胸壁","２","気管・気管支・肺の形態・機能異常、外傷","Ｂ","肺の異常","②","無気肺","","","2","3","1","0","7","1","1","4","1","0"
"417","Ⅳ","呼吸・胸壁","２","気管・気管支・肺の形態・機能異常、外傷","Ｂ","肺の異常","③","肺形成不全","","","0","1","5","0","0","","","","","0"
"418","Ⅳ","呼吸・胸壁","２","気管・気管支・肺の形態・機能異常、外傷","Ｂ","肺の異常","④","肺分画症","","","0","1","5","0","1","","1","","","0"
"419","Ⅳ","呼吸・胸壁","２","気管・気管支・肺の形態・機能異常、外傷","Ｃ","気管支・肺の異常","①","慢性閉塞性肺疾患<COPD>","","慢性気管支炎、肺気腫","5","0","0","0","32","6","7","11","8","92"
"420","Ⅳ","呼吸・胸壁","２","気管・気管支・肺の形態・機能異常、外傷","Ｄ","外傷","①","気管・気管支損傷","","","0","3","3","0","0","","","","","0"
"421","Ⅳ","呼吸・胸壁","２","気管・気管支・肺の形態・機能異常、外傷","Ｄ","外傷","②","肺損傷","","","0","3","3","0","0","","","","","0"
"422","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ａ","アレルギー性疾患","①","気管支喘息、咳喘息","1330","","6","0","0","0","53","18","12","15","8","1116"
"423","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ａ","アレルギー性疾患","②","好酸球性肺炎","","急性、慢性","2","2","1","0","3","","1","1","1","2"
"424","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ａ","アレルギー性疾患","③","アレルギー性気管支肺アスペルギルス症","1332","","2","3","1","0","5","1","1","2","1","4"
"425","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ａ","アレルギー性疾患","④","過敏性肺炎","1333, 1508","","2","4","0","0","9","4","1","3","1","1"
"426","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ｂ","全身性疾患に伴う肺病変","①","膠原病および類縁疾患に伴う肺病変","","","1","2","3","0","0","","","","","1"
"427","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ｂ","全身性疾患に伴う肺病変","②","サルコイドーシス","270, 1360","","4","1","1","0","8","1","4","3","","16"
"428","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ｂ","全身性疾患に伴う肺病変","③","顕微鏡的多発血管炎
[microscopic polyangitis<MPA>]","795, 1341","ANCA関連血管炎","1","3","1","0","21","","2","11","8","0"
"429","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ｂ","全身性疾患に伴う肺病変","④","多発血管炎性肉芽腫症
<Wegener肉芽腫症>","796, 1342","ANCA関連血管炎","1","3","1","0","3","","2","1","","0"
"430","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ｂ","全身性疾患に伴う肺病変","⑤","好酸球性多発血管炎性肉芽腫症<Churg-Strauss症候群>","1343","","1","3","1","0","5","2","1","2","","2"
"431","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ｂ","全身性疾患に伴う肺病変","⑥","Langerhans細胞組織球症","","","0","2","3","0","0","","","","","0"
"432","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ｂ","全身性疾患に伴う肺病変","⑦","アミロイドーシス","1363","","1","2","3","0","0","","","","","3"
"433","Ⅳ","呼吸・胸壁","３","免疫学的機序が考えられる肺疾患","Ｂ","全身性疾患に伴う肺病変","⑧","悪性リンパ腫、白血病","359, 465, 615,
779, 986","","1","4","1","0","14","5","4","3","2","悪性リンパ腫 62、白血病31"
"433.5","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ａ","特発性間質性肺炎<IIPs>","KW","特発性間質性肺炎","","","0","0","0","0","4","1","1","1","1","0"
"434","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ａ","特発性間質性肺炎
<IIPs>","①","特発性肺線維症<IPF>","","","3","3","0","0","22","5","4","6","7","17"
"435","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ａ","特発性間質性肺炎
<IIPs>","②","非特異性間質性肺炎<NSIP>","","","0","3","2","0","0","","","","","40"
"436","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ａ","特発性間質性肺炎
<IIPs>","③","特発性器質化肺炎<COP>","","","0","4","1","0","0","","","","","0"
"437","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｂ","IIPs以外の原因不明疾患","①","肺リンパ脈管筋腫症<LAM>","","","0","2","3","0","6","2","3","","1","0"
"438","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｂ","IIPs以外の原因不明疾患","②","炎症性腫瘤","","","0","0","5","1","0","","","","","24"
"439","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｃ","医原性肺疾患及び化学物質による肺障害","①","薬剤性肺障害","","分子標的薬","0","4","1","0","0","","","","","0"
"440","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｃ","医原性肺疾患及び化学物質による肺障害","②","化学薬品、重金属などによる肺障害","","","0","3","2","0","0","","","","","0"
"441","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｃ","医原性肺疾患及び化学物質による肺障害","③","酸素中毒","","","0","1","4","0","0","","","","","0"
"442","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｃ","医原性肺疾患及び化学物質による肺障害","④","パラコート中毒","","","0","2","3","0","0","","","","","0"
"443","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｃ","医原性肺疾患及び化学物質による肺障害","⑤","放射線肺炎","","","2","3","1","0","3","","","2","1","1"
"444","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｄ","急性呼吸不全","①","急性呼吸窮迫症候群<ARDS>","","","4","2","0","0","26","1","5","13","7","0"
"445","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｅ","じん肺症","①","珪肺<silicosis>","","","1","2","2","0","0","","","","","0"
"446","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｅ","じん肺症","②","石綿肺<asbestosis>","","","1","4","1","0","5","1","2","2","","1"
"447","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｆ","先天異常・代謝異常に基づく疾患","①","肺胞微石症","","","0","1","4","0","0","","","","","0"
"448","Ⅳ","呼吸・胸壁","４","実質性・間質性肺障害","Ｆ","先天異常・代謝異常に基づく疾患","②","肺胞タンパク症","","","0","1","5","0","0","","","","","0"
"449","Ⅳ","呼吸・胸壁","５","肺循環異常","Ａ","肺水腫","①","心原性肺水腫","","","4","0","1","0","6","4","1","1","","0"
"450","Ⅳ","呼吸・胸壁","５","肺循環異常","Ａ","肺水腫","②","透過性亢進型肺水腫","","","0","1","5","0","0","","","","","0"
"451","Ⅳ","呼吸・胸壁","５","肺循環異常","Ｂ","肺血栓塞栓症","①","急性肺血栓塞栓症","","","4","0","1","0","23","6","3","8","6","10"
"452","Ⅳ","呼吸・胸壁","５","肺循環異常","Ｂ","肺血栓塞栓症","②","慢性肺血栓塞栓症","","","1","3","2","0","2","","","2","","0"
"452.5","Ⅳ","呼吸・胸壁","５","肺循環異常","Ｃ","肺高血圧症","KW","肺高血圧症","","","0","0","0","0","7","2","","5","","0"
"453","Ⅳ","呼吸・胸壁","５","肺循環異常","Ｃ","肺高血圧症","①","肺動脈性肺高血圧症","","特発性、遺伝性、続発性","1","4","0","0","6","","1","5","","2"
"454","Ⅳ","呼吸・胸壁","５","肺循環異常","Ｃ","肺高血圧症","②","左心系疾患に伴う肺高血圧症","","","3","3","0","0","0","","","","","0"
"455","Ⅳ","呼吸・胸壁","５","肺循環異常","Ｃ","肺高血圧症","③","肺疾患あるいは低酸素血症に続発する肺高血圧症","","","0","5","0","0","0","","","","","5"
"456","Ⅳ","呼吸・胸壁","５","肺循環異常","Ｄ","肺性心","中","肺性心","","","4","1","1","0","0","","","","","10"
"457","Ⅳ","呼吸・胸壁","５","肺循環異常","Ｅ","肺動静脈瘻","中","肺動静脈瘻","","","0","3","3","0","1","","1","","","0"
"458","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ａ","肺悪性腫瘍","①","肺癌","","腺癌、扁平上皮癌、小細胞癌、
大細胞神経内分泌癌、カルチノイド、大細胞癌","5","1","0","0","65","11","18","23","13","167"
"459","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ａ","肺悪性腫瘍","②","転移性肺腫瘍","","","3","3","0","0","0","","","","","10"
"460","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ｂ","他の気管支・肺腫瘍","①","良性肺腫瘍","","過誤腫、硬化性血管腫","0","3","2","0","0","","","","","1"
"461","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ｂ","他の気管支・肺腫瘍","②","気管・気管支腫瘍","","","1","2","2","0","0","","","","","2"
"461.5","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦","Ｃ","縦隔腫瘍","KW","縦隔腫瘍","","","0","0","0","0","10","3","1","5","1","3"
"462","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ｃ","縦隔腫瘍","①","胸腺腫瘍","","重症筋無力症","2","2","2","0","9","2","2","2","3","0"
"463","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ｃ","縦隔腫瘍","②","神経原性腫瘍","","","0","2","3","0","0","","","","","0"
"464","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ｃ","縦隔腫瘍","③","胚細胞腫瘍","897, 985","","0","2","3","0","4","1","","3","","0"
"465","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ｃ","縦隔腫瘍","④","悪性リンパ腫","359, 615, 779,
986, 433","","3","3","0","0","14","5","4","3","2","0"
"466","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ｃ","縦隔腫瘍","⑤","囊胞性腫瘍","","","1","1","3","1","0","","","","","0"
"467","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ｄ","胸膜腫瘍","①","胸膜中皮腫","","胸膜プラーク","2","2","2","0","17","2","1","9","5","2"
"468","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ｅ","癌性胸膜炎","中","癌性胸膜炎","","","3","2","1","0","3","1","1","1","","0"
"469","Ⅳ","呼吸・胸壁","６","気管支・肺・胸膜・縦隔の腫瘍","Ｆ","癌性リンパ管症","中","癌性リンパ管症","","","3","1","2","0","1","1","","","","0"
"470","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ａ","胸膜","①","気胸、緊張性気胸","","","6","0","0","0","36","8","11","11","6","気胸6、緊張性気胸0"
"471","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ａ","胸膜","②","血胸","","","1","3","2","0","0","","","","","0"
"472","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ａ","胸膜","③","乳び胸","","","1","2","3","0","3","","","1","2","0"
"473","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ｂ","縦隔","①","縦隔気腫、皮下気腫","","","2","4","0","0","1","","","1","","0"
"474","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ｂ","縦隔","②","気管食道瘻、食道気管瘻","","","0","2","4","0","2","","2","","","0"
"475","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ｂ","縦隔","③","上大静脈症候群","","","3","3","0","0","6","2","2","2","","0"
"476","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ｂ","縦隔","④","反回神経麻痺","323","嗄声","4","0","1","0","11","4","3","3","1","0"
"477","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ｃ","胸壁、横隔膜","①","肋骨骨折","","flail  chest","4","0","1","0","2","","","1","1","27"
"478","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ｃ","胸壁、横隔膜","②","胸郭変形","","漏斗胸","1","3","1","0","2","","1","1","","0"
"479","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ｃ","胸壁、横隔膜","③","横隔神経麻痺","","","1","2","2","0","1","","1","","","0"
"480","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ｃ","胸壁、横隔膜","④","横隔膜ヘルニア","705","","1","3","2","0","7","1","2","4","","4"
"481","Ⅳ","呼吸・胸壁","７","胸膜・縦隔・横隔膜・胸郭の形態（他）","Ｃ","胸壁、横隔膜","⑤","横隔膜弛緩症","704","","0","0","2","4","0","","","","","0"
"482","Ⅳ","呼吸・胸壁","８","呼吸調節異常","Ａ","異常呼吸","①","睡眠時無呼吸症候群","555","中枢性、閉塞性","5","0","1","0","14","3","2","7","2","228"
"483","Ⅳ","呼吸・胸壁","８","呼吸調節異常","Ａ","異常呼吸","②","過換気症候群","","","6","0","0","0","6","1","3","2","","0"
"484","Ⅳ","呼吸・胸壁","８","呼吸調節異常","Ａ","異常呼吸","③","肺胞低換気症候群","","原発性、肥満","0","4","2","0","0","","","","","0"
"484.5","Ⅴ","心臓・脈管","１","不整脈","","","KW","不整脈","","","0","0","0","0","11","2","4","1","4","0"
"485","Ⅴ","心臓・脈管","１","不整脈","Ａ","上室｛性｝頻脈性不整脈","①","上室期外収縮","","","5","0","0","0","0","","","","","0"
"486","Ⅴ","心臓・脈管","１","不整脈","Ａ","上室｛性｝頻脈性不整脈","②","発作性上室頻拍","","カテーテルアブレーション","5","0","0","0","8","2","1","1","4","0"
"487","Ⅴ","心臓・脈管","１","不整脈","Ａ","上室｛性｝頻脈性不整脈","③","WPW症候群","","","2","3","0","0","6","1","1","2","2","0"
"488","Ⅴ","心臓・脈管","１","不整脈","Ａ","上室｛性｝頻脈性不整脈","④","心房粗動","","","5","0","0","0","0","","","","","231"
"489","Ⅴ","心臓・脈管","１","不整脈","Ａ","上室｛性｝頻脈性不整脈","⑤","心房細動","","カテーテルアブレーション、 Maze手術","5","0","0","0","29","4","4","15","6","361"
"490","Ⅴ","心臓・脈管","１","不整脈","Ｂ","心室｛性｝頻脈性不整脈","①","心室期外収縮","","","5","0","0","0","3","","2","","1","0"
"491","Ⅴ","心臓・脈管","１","不整脈","Ｂ","心室｛性｝頻脈性不整脈","②","心室頻拍","","植込み型除細動器","5","0","0","0","4","","1","2","1","0"
"492","Ⅴ","心臓・脈管","１","不整脈","Ｂ","心室｛性｝頻脈性不整脈","③","心室細動","","","5","0","0","0","9","5","1","2","1","2"
"492.5","Ⅴ","心臓・脈管","１","不整脈","Ｃ","徐脈性不整脈","KW","徐脈性不整脈、徐脈性心房細動","","","0","0","0","0","12","2","1","9","","0"
"493","Ⅴ","心臓・脈管","１","不整脈","Ｃ","徐脈性不整脈","①","洞不全症候群","","ペースメーカ","5","0","0","0","1","1","","","","25"
"494","Ⅴ","心臓・脈管","１","不整脈","Ｃ","徐脈性不整脈","②","房室ブロック","","","5","0","0","0","10","3","2","4","1","22"
"494.5","Ⅴ","心臓・脈管","１","不整脈","Ｄ","心臓｛性｝突然死をきた","KW","突然死","","","0","0","0","0","7","4","1","1","1","0"
"495","Ⅴ","心臓・脈管","１","不整脈","Ｄ","心臓｛性｝突然死をきたす症候群","①","QT延長症候群","","torsades  de pointes","2","3","0","0","14","1","4","6","3","0"
"496","Ⅴ","心臓・脈管","１","不整脈","Ｄ","心臓｛性｝突然死をきたす症候群","②","Brugada症候群","","","3","3","0","0","3","2","","","1","0"
"496.5","Ⅴ","心臓・脈管","２","心不全","","","KW","心不全","","","0","0","0","0","34","4","10","15","5","0"
"497","Ⅴ","心臓・脈管","２","心不全","Ａ","心不全","①","左心不全","","","5","0","0","0","4","1","2","1","","336"
"498","Ⅴ","心臓・脈管","２","心不全","Ａ","心不全","②","右心不全","","肺高血圧症","5","0","0","0","7","2","3","1","1","7"
"499","Ⅴ","心臓・脈管","２","心不全","Ａ","心不全","③","急性心不全","","慢性心不全の急性増悪","5","0","0","0","10","2","","5","3","0"
"500","Ⅴ","心臓・脈管","２","心不全","Ａ","心不全","④","慢性心不全","","","5","0","0","0","4","1","2","1","","0"
"500.5","Ⅴ","心臓・脈管","","","","","KW","ショック、出血性ショック、循環血液量減少性ショック、低容量性ショック、敗血症性ショック","","","0","0","0","0","66","8","21","25","12","0"
"501","Ⅴ","心臓・脈管","２","心不全","Ｂ","心原性ショック","中","心原性ショック","","","5","0","0","0","7","1","2","2","2","0"
"501.5","Ⅴ","心臓・脈管","３","先天性心疾患","","","KW","先天性心疾患","","","0","0","0","0","13","4","4","4","1","0"
"502","Ⅴ","心臓・脈管","３","先天性心疾患","Ａ","左右短絡疾患","①","心房中隔欠損症","","","3","2","1","0","5","","1","2","2","7"
"503","Ⅴ","心臓・脈管","３","先天性心疾患","Ａ","左右短絡疾患","②","心室中隔欠損症","","","3","2","1","0","6","1","1","3","1","7"
"504","Ⅴ","心臓・脈管","３","先天性心疾患","Ａ","左右短絡疾患","③","房室中隔欠損症<心内膜床欠損症>","","","0","1","5","0","1","","","1","","1"
"505","Ⅴ","心臓・脈管","３","先天性心疾患","Ａ","左右短絡疾患","④","動脈管開存症","","","2","3","1","0","7","2","2","2","1","2"
"506","Ⅴ","心臓・脈管","３","先天性心疾患","Ｂ","右左短絡疾患","①","肺動脈閉鎖症","","純型肺動脈閉鎖","0","1","5","0","3","1","1","1","","1"
"507","Ⅴ","心臓・脈管","３","先天性心疾患","Ｂ","右左短絡疾患","②","Fallot四徴症","","Blalock-Taussig短絡手術","1","4","1","0","9","2","2","4","1","3"
"508","Ⅴ","心臓・脈管","３","先天性心疾患","Ｂ","右左短絡疾患","③","三尖弁閉鎖症","","Fontan手術","0","4","2","0","1","1","","","","0"
"509","Ⅴ","心臓・脈管","３","先天性心疾患","Ｃ","その他の複雑心奇形","①","Ebstein奇形","","","0","4","1","1","1","","","1","","0"
"510","Ⅴ","心臓・脈管","３","先天性心疾患","Ｃ","その他の複雑心奇形","②","完全大血管転位症","","Rastelli手術、Jatene手術","0","4","1","1","1","","","","1","0"
"511","Ⅴ","心臓・脈管","３","先天性心疾患","Ｃ","その他の複雑心奇形","③","修正大血管転位症","","","0","2","3","1","0","","","","","0"
"512","Ⅴ","心臓・脈管","３","先天性心疾患","Ｃ","その他の複雑心奇形","④","両大血管右室起始症","","","0","2","3","1","0","","","","","1"
"513","Ⅴ","心臓・脈管","３","先天性心疾患","Ｃ","その他の複雑心奇形","⑤","大動脈縮窄症、大動脈離断症","","","0","3","2","1","2","","","1","1","1"
"514","Ⅴ","心臓・脈管","３","先天性心疾患","Ｃ","その他の複雑心奇形","⑥","総肺静脈還流異常症","","","0","3","2","1","0","","","","","0"
"515","Ⅴ","心臓・脈管","３","先天性心疾患","Ｃ","その他の複雑心奇形","⑦","部分肺静脈還流異常症","","Scimitar症候群","0","2","2","2","0","","","","","0"
"516","Ⅴ","心臓・脈管","３","先天性心疾患","Ｃ","その他の複雑心奇形","⑧","単心房、単心室","","内臓心房錯位、無脾症、多脾症、Fontan手術","0","1","3","2","0","","","","","0"
"517","Ⅴ","心臓・脈管","３","先天性心疾患","Ｃ","その他の複雑心奇形","⑨","総動脈幹症","","","0","2","2","2","0","","","","","0"
"518","Ⅴ","心臓・脈管","４","弁膜症","Ａ","僧帽弁疾患","①","僧帽弁狭窄症","","","5","1","0","0","7","4","1","2","","3"
"519","Ⅴ","心臓・脈管","４","弁膜症","Ａ","僧帽弁疾患","②","僧帽弁閉鎖不全症","","僧帽弁逸脱症候群","5","1","0","0","18","3","6","5","4","21"
"520","Ⅴ","心臓・脈管","４","弁膜症","Ｂ","大動脈弁疾患","①","大動脈弁狭窄症","","","5","1","0","0","16","1","3","8","4","27"
"521","Ⅴ","心臓・脈管","４","弁膜症","Ｂ","大動脈弁疾患","②","大動脈弁閉鎖不全症","","","5","1","0","0","13","6","1","3","3","12"
"522","Ⅴ","心臓・脈管","４","弁膜症","Ｃ","その他","①","三尖弁閉鎖不全症","","","5","1","0","0","0","","","","","3"
"523","Ⅴ","心臓・脈管","４","弁膜症","Ｃ","その他","②","連合弁膜症","","","2","3","1","0","0","","","","","1"
"524","Ⅴ","心臓・脈管","４","弁膜症","Ｃ","その他","③","感染性心内膜炎","","","4","1","1","0","17","3","4","6","4","1"
"525","Ⅴ","心臓・脈管","４","弁膜症","Ｃ","その他","④","リウマチ性心炎","","","0","1","5","0","0","","","","","0"
"525.5","Ⅴ","心臓・脈管","５","虚血性心疾患","Ａ","狭心症","KW","狭心症、虚血性心疾患","","","0","0","0","0","18","3","1","8","6","0"
"526","Ⅴ","心臓・脈管","５","虚血性心疾患","Ａ","狭心症","①","労作性狭心症","","冠動脈バイパス術、経皮的冠動脈インターベンション","5","0","0","0","17","4","5","5","3","60"
"527","Ⅴ","心臓・脈管","５","虚血性心疾患","Ａ","狭心症","②","冠攣縮性狭心症","","","5","0","0","0","5","2","2","1","","36"
"528","Ⅴ","心臓・脈管","５","虚血性心疾患","Ｂ","急性冠症候群","①","急性心筋梗塞(ST上昇型・非ST
上昇型心筋梗塞）、不安定狭心症","","心筋梗塞後合併症、経皮的冠動
脈インターベンション、冠動脈バイパス術","5","0","0","0","67","11","11","25","20","急性心筋梗塞
35、不安定狭心症41"
"529","Ⅴ","心臓・脈管","５","虚血性心疾患","Ｂ","急性冠症候群","②","心臓｛性｝突然死","","","4","1","0","0","0","","","","","0"
"530","Ⅴ","心臓・脈管","５","虚血性心疾患","Ｃ","陳旧性心筋梗塞","中","陳旧性心筋梗塞","","心室瘤","4","0","1","0","9","1","","8","","113"
"531","Ⅴ","心臓・脈管","５","虚血性心疾患","Ｄ","無痛性虚血性心疾患","中","無痛性虚血性心疾患","","","3","1","2","0","0","","","","","4"
"532","Ⅴ","心臓・脈管","５","虚血性心疾患","Ｅ","川崎病","中","川崎病","1383","冠動脈瘤","4","1","1","0","8","1","2","3","2","7"
"533","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ａ","心筋炎","①","ウイルス性心筋炎","","","3","3","0","0","7","","","4","3","0"
"534","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｂ","特発性心筋症","①","肥大型心筋症","","心臓｛性｝突然死","4","1","1","0","7","1","3","","3","17"
"535","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｂ","特発性心筋症","②","拡張型心筋症","","心臓移植","4","1","1","0","9","2","2","5","","21"
"536","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｂ","特発性心筋症","③","拘束型心筋症","","","2","3","1","0","0","","","","","0"
"537","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｃ","二次性心筋疾患","①","心アミロイドーシス","546","","1","4","1","0","6","","","5","1","0"
"538","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｃ","二次性心筋疾患","②","心サルコイドーシス","537","","1","3","1","0","6","","","5","1","0"
"539","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｃ","二次性心筋疾患","③","アルコール性心筋症","","","0","4","1","0","0","","","","","0"
"540","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｃ","二次性心筋疾患","④","虚血性心筋症","","","0","4","1","0","1","","","1","","0"
"541","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｃ","二次性心筋疾患","⑤","筋ジストロフィー","","","0","1","4","1","0","","","","","6"
"542","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｄ","心膜疾患","①","急性心膜炎","","","4","0","1","0","8","1","1","4","2","0"
"543","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｄ","心膜疾患","②","Dressler症候群","","","0","2","4","0","0","","","","","2"
"544","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｄ","心膜疾患","③","心囊液貯留","","","2","2","2","0","1","","1","","","0"
"545","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｄ","心膜疾患","④","収縮性心膜炎","","","1","3","2","0","3","","1","","2","0"
"546","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｅ","心タンポナーデ","中","心タンポナーデ","","","4","0","1","0","18","4","5","5","4","0"
"547","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｆ","心臓腫瘍","①","粘液腫","","","1","2","3","0","3","","","3","","0"
"548","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｆ","心臓腫瘍","②","転移性腫瘍","","","1","0","4","1","2","","","2","","0"
"549","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｇ","外傷","①","心臓外傷","","","0","0","4","2","0","","","","","0"
"550","Ⅴ","心臓・脈管","6","心筋・心膜疾患、心臓腫瘍、外傷","Ｇ","外傷","②","血管損傷","","","0","0","4","2","0","","","","","0"
"551","Ⅴ","心臓・脈管","７","血圧異常","Ａ","本態性高血圧","中","本態性高血圧","","","5","0","1","0","37","10","6","15","6","0"
"551.5","Ⅴ","心臓・脈管","７","血圧異常","Ｂ","二次性高血圧","KW","二次性高血圧","","","0","0","0","0","3","","","2","1","0"
"552","Ⅴ","心臓・脈管","７","血圧異常","Ｂ","二次性高血圧","①","腎実質性高血圧症","","","3","2","0","0","0","","","","","4"
"553","Ⅴ","心臓・脈管","７","血圧異常","Ｂ","二次性高血圧","②","腎血管性高血圧症","803","","3","2","0","0","7","1","5","1","","1"
"554","Ⅴ","心臓・脈管","７","血圧異常","Ｂ","二次性高血圧","③","内分泌性高血圧症","","アルドステロン過剰症、
Cushing症候群、褐色細胞腫、先端巨大症、甲状腺機能亢進症","3","2","0","0","9","1","1","5","2","1"
"555","Ⅴ","心臓・脈管","７","血圧異常","Ｂ","二次性高血圧","④","睡眠時無呼吸症候群","482","","4","0","1","0","14","3","2","7","2","228"
