第2層,第3層,第4層,UID,H28対応項目,メモ,H28の記述,査読への返答,A,B,C,D,E,F,G,H,I
人体各器官の正常構造と機能、病態、診断、治療,神経系,神経系でみられる症状・症候について説明できる。,JkxnuPo,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05,D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05,D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05,D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05,D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05,D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05,D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05,D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05,D-02-03-01-01, D-02-03-01-02, D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03,D-02-03-01-01, D-02-03-01-02, D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03,D-02-03-01-01, D-02-03-01-02, D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03,D-02-03-01-01, D-02-03-01-02, D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03,D-02-03-01-01, D-02-03-01-02, D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03,D-02-03-01-01, D-02-03-01-02, D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03",,,,,,症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別診断の方法を説明できる」ということであれば、ここで挙げられている項目は技能で扱われる予定なので、削除でよいのでは。,,「ついて」を削除,,,,
人体各器官の正常構造と機能、病態、診断、治療,神経系,神経系で行う検査方法について基本的事項を説明できる。,JkxnuPs,"D-02-02-na-01,D-02-02-na-02",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,神経系,神経系疾患に特異的な治療法について基本的事項を説明できる。,JkxnuPw,D-02-04-01-02,,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,神経系,神経系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuP0,"D-02-04-01-01,D-02-04-03-01,D-02-04-03-02,D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05,D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03,D-02-04-07-01,D-02-04-08-01,D-02-04-04-02,D-02-04-04-03,D-02-04-09-01,D-02-04-09-02,D-02-04-10-01",,,,,,認知症については、神経系・精神系以外の疾患についても入れてくださいというエキスパートパネルからの要望があります。「認知症の病因を列挙でき、認知症をきたす主な病態（Alzheimer型認知症、Lewy小体型認知症、血管性認知症）、治療可能な認知症（Treatable dementia: 甲状腺機能低下症、正常圧水頭症、薬剤性など）の症候と診断、治療を説明できる。」,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,皮膚系の構造と機能について基本的事項を説明できる。,JkxnuP4,"D-03-01-na-01,D-03-01-na-02,D-03-01-na-03",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,皮膚系でみられる症状・症候について説明できる。,JkxnuP8,"D-03-03-na-01,D-03-03-na-01,D-03-03-na-01,D-03-03-na-01",,,,,,発疹しかないなら、H28年度版F-1-12の内容をまとめて「発疹の原因、病態生理、発疹をきたす疾患(群)、診断および治療の要点、専門的治療が必要な状態を説明できる。」としては？,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,皮膚系で行う検査方法について基本的事項を説明できる。,JkxnuQA,"D-03-02-na-01,D-03-02-na-02,D-03-02-na-03,",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,皮膚系疾患に特異的な治療法について基本的事項を説明できる。,JkxnuQE,",,",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,皮膚系,皮膚系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuQI,"D-03-04-01-01, ,D-03-04-01-02,D-03-04-02-01,,D-03-04-02-02,,D-03-04-02-03.,,D-03-04-03-01,D-03-04-04-01, D-03-04-04-02,D-03-04-05-01, D-03-04-05-02, D-03-04-05-03,D-03-04-06-01,D-03-04-06-02,,D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06,D-03-04-08-01,D-03-04-09-01, D-03-04-09-02,,,",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,運動器（筋骨格）系の構造と機能について基本的事項を説明できる。,JkxnuQM,"D-04-01-na-01,D-04-01-na-02,D-04-01-na-03,D-04-01-na-04,D-04-01-na-05,D-04-01-na-06,D-04-01-na-07,D-04-01-na-08",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,運動器（筋骨格）系でみられる症状・症候について説明できる。,JkxnuQQ,"D-04-03-na-01, D-04-03-na-02, D-04-03-na-03,D-04-03-na-01, D-04-03-na-02, D-04-03-na-03,D-04-03-na-01, D-04-03-na-02, D-04-03-na-03,D-04-03-na-01, D-04-03-na-02, D-04-03-na-03,D-04-03-na-01, D-04-03-na-02, D-04-03-na-03",,,,,,症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別診断の方法を説明できる」ということであれば、ここで挙げられている項目は全て技能で扱われる予定なので、削除でよいのでは。,,「ついて」を削除,,,,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,運動器（筋骨格）系で行う検査方法について基本的事項を説明できる。,JkxnuQU,"D-04-02-na-01,D-04-02-na-02,",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,運動器（筋骨格）系疾患に特異的な治療法について基本的事項を説明できる。,JkxnuQY,"D-04-04-01-15,",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,運動器（筋骨格）系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuQc,"D-04-04-01-01,D-04-04-01-02,,D-04-04-01-03,D-04-04-01-04,D-04-04-01-05,D-04-04-01-06,D-04-04-01-07,D-04-04-01-08,D-04-04-01-09,D-04-04-01-10,D-04-04-01-11,D-04-04-01-12,D-04-04-01-13,D-04-04-01-14,D-04-04-02-01,D-04-04-02-02,,,D-04-04-03-01, D-04-04-03-02, D-04-04-03-03",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,循環器系の構造と機能について基本的事項を説明できる。,JkxnuQg,"D-05-01-na-01,D-05-01-na-02,D-05-01-na-03,D-05-01-na-04,D-05-01-na-05,D-05-01-na-06,D-05-01-na-07,D-05-01-na-08,D-05-01-na-09,D-05-01-na-10,D-05-01-na-11,D-05-01-na-12,D-05-01-na-13,D-05-01-na-14",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,循環器系でみられる症状・症候について説明できる。,JkxnuQk,"D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19,D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19,D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19,D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19,D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19,D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19,D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19,D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19,D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19,",,,,,,症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別診断の方法を説明できる」ということであれば、胸水以外は技能で扱われる予定。また胸水は症状・症候ではなく病態なので、ここか呼吸器で「胸水の病態生理、鑑別疾患、診断、治療について説明できる」を扱うことにしては。,,「ついて」を削除,,,,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,循環器系で行う検査方法について基本的事項を説明できる。,JkxnuQo,"D-05-02-na-01,D-05-02-na-03,D-05-02-na-02,D-05-02-na-04,D-05-02-na-05,D-05-02-na-06",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,循環器系疾患に特異的な治療法について基本的事項を説明できる。,JkxnuQs,"D-05-04-02-06,D-05-04-03-05,D-05-04-01-04, D-05-04-02-06",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,循環器系,循環器系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuQw,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05,D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06,D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06,D-05-04-04-01,D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06,D-05-04-06-01,D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05,D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04,D-05-04-09-01,D-05-04-09-02,D-05-04-09-04,D-05-04-10-02,D-05-04-11-01",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,呼吸器系の構造と機能について基本的事項を説明できる。,JkxnuQ0,"D-06-01-na-01,D-06-01-na-02,D-06-01-na-03,D-06-01-na-04,D-06-01-na-05,D-06-01-na-06,D-06-01-na-07,D-06-01-na-08,D-06-01-na-09,D-06-01-na-10",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,呼吸器系でみられる症状・症候について説明できる。,JkxnuQ4,"D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05,D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05,D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05,D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05,D-06-03-01-01,D-06-04-01-01,D-06-04-01-02,D-06-03-01-01,D-06-04-01-01,D-06-04-01-02,D-06-03-01-01,D-06-04-01-01,D-06-04-01-02,D-06-03-01-01,D-06-04-01-01,D-06-04-01-02",,,,,,症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別疾患、診断、治療を説明できる」ということであれば、胸水、喘鳴、呼吸不全、低酸素血症、高二酸化炭素血症以外は技能で扱われる予定。また胸水は症状・症候ではなく病態なので、ここか循環器で「胸水の病態生理、鑑別疾患、診断、治療について説明できる」を扱うことにしては。呼吸不全、低酸素血症、高二酸化炭素血症は150で扱われる予定なら、ここに入れる必要はない？,,「ついて」を削除,,,,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,呼吸器系で行う検査方法について基本的事項を説明できる。,JkxnuQ8,"D-06-02-na-03,D-06-04-08-04,,D-06-02-na-01,D-06-02-na-02",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,呼吸器系疾患に特異的な治療法について基本的事項を説明できる。,JkxnuRA,",,",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,呼吸器系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuRE,"D-06-04-01-01, D-06-04-01-02,D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07,D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07,D-06-04-04-01, D-06-04-04-02, D-06-04-04-03, D-06-04-04-04, ,D-06-04-05-01, D-06-04-05-02, D-06-04-05-03, D-06-04-05-04, ,D-06-04-06-01, D-06-04-06-02, D-06-04-06-03,D-06-04-07-01, D-06-04-07-02, D-06-04-07-03, D-06-04-07-04, D-06-04-07-05,D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,,",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,消化器系の構造と機能について基本的事項を説明できる。,JkxnuRI,"D-07-01-na-01,D-07-01-na-02,D-07-01-na-03,D-07-01-na-04,D-07-01-na-05,D-07-01-na-06,D-07-01-na-07,D-07-01-na-08,D-07-01-na-09,D-07-01-na-10,D-07-01-na-11,D-07-01-na-12,D-07-01-na-13,D-07-01-na-14,D-07-01-na-15",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,消化器系でみられる症状・症候について説明できる。,JkxnuRM,"D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07,D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07,D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07,D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07,D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07,D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07,D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07,D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07,D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07,D-07-03-01-01,D-07-03-01-02,D-07-03-01-01,D-07-03-01-02",,,,,,症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別疾患、診断、治療を説明できる」ということであれば、吐血・下血、肝腫大以外は技能で扱われる予定なので、この２つだけでよいのでは？,,「ついて」を削除,,,,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,消化器系で行う検査方法について基本的事項を説明できる。,JkxnuRQ,"D-07-02-na-01,D-07-02-na-02,D-07-02-na-03,D-07-02-na-04,D-07-02-na-05",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,消化器系疾患に特異的な治療法について基本的事項を説明できる。,JkxnuRU,",,",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,消化器系,消化器系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuRY,"D-07-04-01-01,D-07-04-01-02, D-07-04-01-03,D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08,D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17,D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04,D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11,D-07-04-06-01,D-07-04-06-02,D-07-04-06-03,D-07-04-07-01,D-07-04-07-02,D-07-04-07-03,D-07-04-08-01,D-07-04-08-02,D-07-04-08-03,D-07-04-08-04,D-07-04-08-05,D-07-04-08-06,D-07-04-08-07,D-07-04-08-08,D-07-04-08-09,D-07-04-08-10,D-07-04-08-11,D-07-04-08-12",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,腎・尿路系（体液・電解質バランスを含む）,腎・尿路系の構造と機能について基本的事項を説明できる。,JkxnuRc,"D-08-01-na-01,D-08-01-na-02,D-08-01-na-03,D-08-01-na-04,D-08-01-na-05,D-08-01-na-06,D-08-01-na-07,D-08-01-na-08",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,腎・尿路系（体液・電解質バランスを含む）,腎・尿路系でみられる症状・症候について説明できる。,JkxnuRg,",,,,,D-08-04-02-05",,,,,,症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別疾患、診断、治療を説明できる」ということであれば、ここで扱われるべきなのはタンパク尿だけ？,,「ついて」を削除,,,,
人体各器官の正常構造と機能、病態、診断、治療,腎・尿路系（体液・電解質バランスを含む）,腎・尿路系で行う検査方法について基本的事項を説明できる。,JkxnuRk,"D-08-02-na-02,D-08-02-na-01,D-08-02-na-03,D-08-02-na-04",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,腎・尿路系（体液・電解質バランスを含む）,腎・尿路系疾患に特異的な治療法について基本的事項を説明できる。,JkxnuRo,D-08-04-01-06,,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,腎・尿路系（体液・電解質バランスを含む）,腎・尿路系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuRs,"D-08-04-01-01,D-08-04-01-02, D-08-04-01-03, D-08-04-01-04, D-08-04-01-05, ,D-08-03-01-01,D-08-03-01-02,D-08-03-01-03,D-08-03-01-04,D-08-04-09-01, D-08-04-09-02,D-08-04-02-01, D-08-04-02-02, D-08-04-02-03,D-08-04-03-01, D-08-04-03-02,D-08-04-04-01, D-08-04-05-01, D-08-04-05-02,D-08-04-06-01, D-08-04-06-02, D-08-04-06-03, D-08-04-06-04,. D-08-04-06-05,D-08-04-07-01, D-08-04-07-02,D-08-04-08-01, D-08-04-08-02, D-08-04-08-03,D-08-04-09-01, D-08-04-09-02",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,生殖機能,生殖機能の構造と機能について基本的事項を説明できる。,JkxnuRw,"D-09-01-na-01,D-09-01-na-02,D-09-01-na-03,D-09-01-na-04,D-09-01-na-05,D-09-01-na-06,D-09-01-na-07,D-09-01-na-08,D-09-01-na-09",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,生殖機能,生殖機能でみられる症状・症候について説明できる。,JkxnuR0,"D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05",,,,,,症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別疾患、診断、治療を説明できる」ということであれば、ここで扱われるべきなのは月経異常・無月経、勃起不全、射精障害、精巣機能障害だけ？,,「ついて」を削除,,,,
人体各器官の正常構造と機能、病態、診断、治療,生殖機能,生殖機能で行う検査方法について基本的事項を説明できる。,JkxnuR4,"D-09-02-01-01,D-09-02-02-01,D-09-02-02-02,D-09-02-02-03,D-09-02-02-04",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,生殖機能,生殖機能に関する疾患に特異的な治療法について基本的事項を説明できる。,JkxnuR8,,,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,生殖機能,生殖機能に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuSA,"D-09-04-01-01,D-09-04-01-02,D-09-04-01-03,D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06,D-09-04-03-01,D-09-04-03-02,D-09-04-03-03,D-09-04-03-04,D-09-04-03-05",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,妊娠と分娩,妊娠と分娩に関する構造と機能について基本的事項を説明できる。,JkxnuSE,"D-10-03-na-01,D-10-03-na-02,D-10-03-na-03,D-10-01-na-02,D-10-03-na-04,D-10-03-na-05,D-10-03-na-06, D-10-03-na-07",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,妊娠と分娩,妊娠と分娩でみられる症状・症候について説明できる。,JkxnuSI,"D-10-02-na-01,D-10-02-na-02,D-10-02-na-03,D-10-02-na-01,D-10-02-na-02,D-10-02-na-03,D-10-02-na-01,D-10-02-na-02,D-10-02-na-03,F-01-30-na-01,F-01-30-na-02,F-01-30-na-03, G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05,F-01-30-na-01,F-01-30-na-02,F-01-30-na-03, G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05",,,,,,症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別疾患、診断、治療を説明できる」ということであれば、ここで扱われるべきなのは不正生理出血だけになるが、「不正生理出血」は本来は生殖機能162に移動すべきでは。,,「ついて」を削除,,,,
人体各器官の正常構造と機能、病態、診断、治療,妊娠と分娩,妊娠と分娩で行う検査方法について基本的事項を説明できる。,JkxnuSM,"D-10-01-na-01,D-10-01-na-04,D-10-01-na-03",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,妊娠と分娩,妊娠と分娩に特異的な治療法について基本的事項を説明できる。,JkxnuSQ,",D-10-03-na-08",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,妊娠と分娩,妊娠と分娩に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuSU,"D-10-04-na-01,D-10-04-na-02,D-10-04-na-03,D-10-04-na-04,D-10-04-na-05",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,乳房,乳房の構造と機能について基本的事項を説明できる。,JkxnuSY,"D-11-01-na-01,D-11-01-na-02,D-11-01-na-03",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,乳房,乳房でみられる症状・症候について説明できる。,JkxnuSc,"D-11-03-na-01,D-11-04-01-02,D-11-03-na-01,D-11-04-01-02,D-11-03-na-01,D-11-04-01-02,D-11-03-na-01,D-11-04-01-02",,,,,,症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別疾患、診断、治療を説明できる」ということであれば、ここで扱われるべきなのは女性化乳房、乳房腫瘤、異常乳汁分泌（血性乳頭分泌）、乳房腫脹・疼痛・変形。,,「ついて」を削除,,,,
人体各器官の正常構造と機能、病態、診断、治療,乳房,乳房に関して行う検査方法について基本的事項を説明できる。,JkxnuSg,"D-11-02-na-01,D-11-02-na-02",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,乳房,乳房疾患に特異的な治療法について基本的事項を説明できる。,JkxnuSk,,,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,乳房,乳房に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuSs,"D-11-04-01-01,",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,内分泌・栄養・代謝系,内分泌・栄養・代謝系の構造と機能について基本的事項を説明できる。,JkxnuSw,"D-12-01-na-01,D-12-01-na-03,D-12-01-na-04,D-12-01-na-05,D-12-01-na-06,D-12-01-na-07,D-12-01-na-08,D-12-01-na-09,D-12-02-na-02,D-12-02-na-03",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,内分泌・栄養・代謝系,内分泌・栄養・代謝系でみられる症状・症候について説明できる。,JkxnuS0,",,,,,,",,,,,,何が入りますか？,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,内分泌・栄養・代謝系,内分泌・栄養・代謝系で行う検査方法について基本的事項を説明できる。,JkxnuS4,",",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,内分泌・栄養・代謝系,内分泌・栄養・代謝系疾患に特異的な治療法について基本的事項を説明できる。,JkxnuS8,,,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,内分泌・栄養・代謝系,内分泌・栄養・代謝系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuTA,"D-12-04-01-01,D-12-04-01-02, D-12-04-01-03, D-12-04-01-04, D-12-04-01-06, D-12-04-01-07,D-12-04-02-01, D-12-04-02-02, D-12-04-02-03,D-12-04-03-01,D-12-04-03-02,D-12-04-03-03,D-12-04-03-04,D-12-04-04-01, D-12-04-04-02, D-12-04-04-03,D-12-04-05-01, D-12-04-05-02, D-12-04-05-03, D-12-04-05-04, D-12-04-05-05,D-12-04-06-01,D-12-04-06-02,D-12-04-07-01,D-12-04-07-02,D-12-04-08-01,D-12-04-09-01,D-12-04-09-02,D-12-04-09-03,D-12-04-01-05, D-12-04-04-04,D-12-04-10-01,D-12-04-10-02,D-12-04-10-03",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,眼・視覚系,眼・視覚系の構造と機能について基本的事項を説明できる。,JkxnuTE,"D-13-01-na-01,D-13-01-na-02,D-13-01-na-03,D-13-01-na-04",,,,,,,,,,,,
