臓器,分類,カテゴリ,サブカテゴリ,疾患,重要,UID,H28対応項目,H28表記,医学教育課修正案(20220419),医学教育課からのコメント(20220419),修正案(20220318),作業用(20220417),疾患(20220417),作業予定(20220417),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),医学教育課修正案(20220317),医学教育課からのコメント(20220317),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス
皮膚系,疾患・病態,皮膚感染症,皮膚ウィルス感染症,単純ヘルペス,●,JlvnlkE,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。,皮膚真菌症（表在性、深在性）の症候と病型を説明できる。,皮膚結核病の症候、病型と病因菌を説明できる。,梅毒の症候、病期と合併症を説明できる。,皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。,後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）を列挙し、概説できる。",,,,単純ヘルペス,単純ヘルペス,重要,,●,,,,,,,,,,,,,,
皮膚系,疾患・病態,皮膚感染症,皮膚ウィルス感染症,帯状疱疹,●,JlvnlkM,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。,皮膚真菌症（表在性、深在性）の症候と病型を説明できる。,皮膚結核病の症候、病型と病因菌を説明できる。,梅毒の症候、病期と合併症を説明できる。,皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。,後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）を列挙し、概説できる。",,,,帯状疱疹,帯状疱疹,重要,,●,,,,,,,,,,,,,,
皮膚系,疾患・病態,皮膚感染症,皮膚ウィルス感染症,尋常性疣贅,,JlvnlkQ,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。,皮膚真菌症（表在性、深在性）の症候と病型を説明できる。,皮膚結核病の症候、病型と病因菌を説明できる。,梅毒の症候、病期と合併症を説明できる。,皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。,後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）を列挙し、概説できる。",,,,尋常性疣贅,尋常性疣贅,,,,,,,,,,,,,,,,,
皮膚系,疾患・病態,皮膚感染症,皮膚ウィルス感染症,伝染性軟属腫,,JlvnlkY,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。,皮膚真菌症（表在性、深在性）の症候と病型を説明できる。,皮膚結核病の症候、病型と病因菌を説明できる。,梅毒の症候、病期と合併症を説明できる。,皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。,後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）を列挙し、概説できる。",,,,伝染性軟属腫,伝染性軟属腫,重複削除,,,重複あり,●,,,,,,,,,,,,
皮膚系,疾患・病態,皮膚感染症,皮膚ウィルス感染症,麻疹,,Jlvnlkc,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。,皮膚真菌症（表在性、深在性）の症候と病型を説明できる。,皮膚結核病の症候、病型と病因菌を説明できる。,梅毒の症候、病期と合併症を説明できる。,皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。,後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）を列挙し、概説できる。",,,,麻疹,麻疹,,,●,重複あり,●,,,,,,,,,,,,
皮膚系,疾患・病態,皮膚感染症,皮膚ウィルス感染症,風疹,,Jlvnlkk,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。,皮膚真菌症（表在性、深在性）の症候と病型を説明できる。,皮膚結核病の症候、病型と病因菌を説明できる。,梅毒の症候、病期と合併症を説明できる。,皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。,後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）を列挙し、概説できる。",,,,風疹,風疹,,,●,重複あり,●,,,,,,,,,,,,
皮膚系,疾患・病態,皮膚感染症,皮膚ウィルス感染症,水痘,,Jlvnlko,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。,皮膚真菌症（表在性、深在性）の症候と病型を説明できる。,皮膚結核病の症候、病型と病因菌を説明できる。,梅毒の症候、病期と合併症を説明できる。,皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。,後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）を列挙し、概説できる。",,,,水痘,水痘,,,●,重複あり,●,,,,,,,,,,,,
皮膚系,疾患・病態,皮膚感染症,皮膚ウィルス感染症,伝染性紅斑,,Jlvnlkw,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。,皮膚真菌症（表在性、深在性）の症候と病型を説明できる。,皮膚結核病の症候、病型と病因菌を説明できる。,梅毒の症候、病期と合併症を説明できる。,皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。,後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）を列挙し、概説できる。",,,,伝染性紅斑,伝染性紅斑,重複削除,,,重複あり,●,,,,,,,,,,,,
皮膚系,疾患・病態,皮膚感染症,皮膚ウィルス感染症,手足口病,,Jlvnlk0,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。,皮膚真菌症（表在性、深在性）の症候と病型を説明できる。,皮膚結核病の症候、病型と病因菌を説明できる。,梅毒の症候、病期と合併症を説明できる。,皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。,後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）を列挙し、概説できる。",,,,手足口病,手足口病,重複削除,,,重複あり,●,,,,,,,,,,,,
皮膚系,疾患・病態,母斑性皮膚疾患,なし,母斑,,JlvnllE,D-03-04-08-01,母斑・母斑症の種類を列挙できる。,,,,母斑,母斑,,,,,,,,,,,,,,,,,
皮膚系,疾患・病態,母斑性皮膚疾患,母斑症,神経線維腫症1型,,JlvnllI,D-03-04-08-01,母斑・母斑症の種類を列挙できる。,,,,神経線維腫症1型,神経線維腫症1型,,,,,,,,,,,,,,,,,
皮膚系,疾患・病態,母斑性皮膚疾患,母斑症,結節性硬化症,,JlvnllQ,D-03-04-08-01,母斑・母斑症の種類を列挙できる。,,,,結節性硬化症,結節性硬化症,,,,,,,,,,,,,,,,,
皮膚系,疾患・病態,付属器疾患,毛の疾患,円形脱毛症,,JlvnllU,"D-03-04-09-01, D-03-04-09-02","毛の疾患の病態、症状と治療を説明できる。,爪の疾患の病態、症状と治療を説明できる。",,,,円形脱毛症,円形脱毛症,,,,,,,,,,,,,,,,,
皮膚系,疾患・病態,付属器疾患,毛の疾患,男性型脱毛症,,Jlvnllc,"D-03-04-09-01, D-03-04-09-02","毛の疾患の病態、症状と治療を説明できる。,爪の疾患の病態、症状と治療を説明できる。",,,,男性型脱毛症,男性型脱毛症,,,,,,,,,,,,,,,,,
皮膚系,疾患・病態,付属器疾患,なし,爪の疾患（匙状爪・嵌入爪）,,Jlvnllg,"D-03-04-09-01, D-03-04-09-02","毛の疾患の病態、症状と治療を説明できる。,爪の疾患の病態、症状と治療を説明できる。",,,,爪の疾患（匙状爪・嵌入爪）,爪の疾患（匙状爪・嵌入爪）,,,,,,,,,,,,,,,分割すべきか?,,
皮膚系,疾患・病態,付属器疾患,汗腺の疾患,汗疹,,Jlvnllo,"D-03-04-09-01, D-03-04-09-02","毛の疾患の病態、症状と治療を説明できる。,爪の疾患の病態、症状と治療を説明できる。",,,,汗疹,汗疹,,,,,,●,,,,,,,,,,,
皮膚系,疾患・病態,付属器疾患,汗腺の疾患,多汗症,,Jlvnlls,"D-03-04-09-01, D-03-04-09-02","毛の疾患の病態、症状と治療を説明できる。,爪の疾患の病態、症状と治療を説明できる。",,,,多汗症,多汗症,,,,,,●,,,,,,,,,,,
皮膚系,疾患・病態,付属器疾患,汗腺の疾患,無汗症,,Jlvnll0,"D-03-04-09-01, D-03-04-09-02","毛の疾患の病態、症状と治療を説明できる。,爪の疾患の病態、症状と治療を説明できる。",,,,無汗症,無汗症,,,,,,●,,,,,,,,,,,
皮膚系,疾患・病態,その他,なし,尋常性痤瘡,,Jlvnll4,,,,,,尋常性痤瘡,尋常性痤瘡,,,,,,●,,,,,,,,,,,
皮膚系,疾患・病態,その他,なし,酒皶様皮膚炎,,JlvnlmA,,,,,,酒皶様皮膚炎,酒皶様皮膚炎,,,,,,●,,,,,,,,,,,
皮膚系,疾患・病態,その他,なし,褥瘡,●,JlvnlmI,,,,,,褥瘡,褥瘡,重要,,●,,,●,,,,,,,,,,,
皮膚系,疾患・病態,その他,なし,ケロイド,,JlvnlmM,,,,,,ケロイド,ケロイド,,,,,,●,,,,,,,,,,,
皮膚系,疾患・病態,その他,なし,粉瘤,,JlvnlmU,,,,,,粉瘤,粉瘤,,,,,,●,,,,,,,,,,,
皮膚系,疾患・病態,その他,なし,尋常性白斑,,JlvnlmY,,,,,,尋常性白斑,尋常性白斑,,,,,,●,,,,,,,,,,,
皮膚系,疾患・病態,その他,なし,壊疽性膿皮症,,Jlvnlmg,,,,,,壊疽性膿皮症,壊疽性膿皮症,,,,,,,,,,,,,,,,,
皮膚系,疾患・病態,その他,なし,痒疹,,Jlvnlmk,,,,,,痒疹,痒疹,,,,,,,,,,,,,,,,,
皮膚系,疾患・病態,その他,なし,色素性乾皮症,,Jlvnlms,,,,,,色素性乾皮症,色素性乾皮症,,,,,,,,,,,,,,,,,
皮膚系,疾患・病態,なし,なし,凍傷・電撃傷,,Jlvnlm4,,,,,,凍傷・電撃傷,凍傷・電撃傷,,,,,,●,,,,,,,,,分割すべきか?,,
運動器（筋骨格）系,疾患・病態,なし,なし,四肢・脊椎外傷,,Jlvnlm8,D-04-04-01-01,四肢・脊椎外傷の診断と初期治療を説明できる。,,,,四肢・脊椎外傷,四肢・脊椎外傷,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,関節の脱臼,,JlvnlnE,D-04-04-01-02,関節の脱臼、靱帯損傷の定義、重症度分類、診断と治療を説明できる。,,,,関節の脱臼,関節の脱臼,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,肘内障,,JlvnlnM,D-04-04-01-02,関節の脱臼、靱帯損傷の定義、重症度分類、診断と治療を説明できる。,,,,肘内障,肘内障,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,上腕骨外側上顆炎,,JmpYnGs,,,,,,上腕骨外側上顆炎,上腕骨外側上顆炎,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,腱・靱帯・半月板損傷,,JlvnlnQ,D-04-04-01-02,関節の脱臼、靱帯損傷の定義、重症度分類、診断と治療を説明できる。,,,,腱・靱帯・半月板損傷,腱・靱帯・半月板損傷,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,突き指,,JmpYnGo,,,,,,突き指,突き指,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,関節拘縮,,JlvnlnY,,,,,,関節拘縮,関節拘縮,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,Dupuytren拘縮,,Jlvnlnc,,,,,,Dupuytren拘縮,Dupuytren拘縮,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,骨折,●,Jlvnlnk,D-04-04-01-03,骨折の分類、症候、診断、治療と合併症を説明できる。,,,,骨折,骨折,重要,,●,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,肉離れ,,JmpYuec,,,,,,肉離れ,肉離れ,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,筋損傷・挫滅症候群・コンパートメント症候群,,Jlvnlno,D-04-04-01-04,コンパートメント症候群の病態、症候、診断と治療を説明できる。,,,,筋損傷・挫滅症候群・コンパートメント症候群,筋損傷・挫滅症候群・コンパートメント症候群,,,,,,●,,,,,,,,,分割すべきか?,,
運動器（筋骨格）系,疾患・病態,なし,なし,関節炎,,JlvnloE,D-04-04-01-06,関節炎、腱鞘炎の病態、診断と治療を説明できる。,,,,関節炎,関節炎,重複削除,,,重複あり,●,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,腱鞘炎,,JlvnloI,D-04-04-01-06,関節炎、腱鞘炎の病態、診断と治療を説明できる。,,,,腱鞘炎,腱鞘炎,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,滑液包炎,,JlvnloQ,D-04-04-01-06,関節炎、腱鞘炎の病態、診断と治療を説明できる。,,,,滑液包炎,滑液包炎,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,腱付着部炎,,JlvnloU,D-04-04-01-06,関節炎、腱鞘炎の病態、診断と治療を説明できる。,,,,腱付着部炎,腱付着部炎,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,脊椎症・脊髄症・神経根症（脊柱靭帯骨化症を含む）,,JlvnlpU,D-04-04-01-09,頸椎症性脊髄症（脊柱靭帯骨化症を含む）・頸椎症性神経根症の神経症候を説明できる。,,,,脊椎症・脊髄症・神経根症（脊柱靭帯骨化症を含む）,脊椎症・脊髄症・神経根症（脊柱靭帯骨化症を含む）,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,脊髄損傷,●,Jlvnlpc,D-04-04-01-10,脊髄損傷の診断、治療を説明できる。,,,,脊髄損傷,脊髄損傷,重要,,●,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,脊椎椎間板ヘルニア,●,Jlvnlpg,D-04-04-01-11,腰椎椎間板ヘルニアの症候、診断と治療を説明できる。,,,,脊椎椎間板ヘルニア,脊椎椎間板ヘルニア,重要,,●,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,脊柱管狭窄症,●,Jlvnlpo,D-04-04-01-12,腰部脊柱管狭窄症の病態、症候、診断と治療を説明できる。,,,,脊柱管狭窄症,脊柱管狭窄症,重要,,●,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,脊椎分離・すべり症,,Jlvnlps,D-04-04-01-13,腰椎分離・すべり症の症候、診断と治療を説明できる。,,,,脊椎分離・すべり症,脊椎分離・すべり症,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,なし,なし,椎間板炎・化膿性脊椎炎・脊椎カリエス,,JlvnlqY,D-04-04-02-02,椎間板炎、化膿性脊椎炎、脊椎カリエスの症候、診断と治療を説明できる。,,,,椎間板炎・化膿性脊椎炎・脊椎カリエス,椎間板炎・化膿性脊椎炎・脊椎カリエス,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,代謝性骨疾患,なし,骨粗鬆症,●,Jlvnlnw,D-04-04-01-05,骨粗鬆症の病因と病態を説明し、骨折の好発部位を列挙できる。,,,,骨粗鬆症,骨粗鬆症,重要,,●,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,代謝性骨疾患,なし,くる病,,Jlvnln4,D-04-04-01-05,骨粗鬆症の病因と病態を説明し、骨折の好発部位を列挙できる。,,,,くる病,くる病,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,代謝性骨疾患,なし,骨軟化症,,Jlvnln8,D-04-04-01-05,骨粗鬆症の病因と病態を説明し、骨折の好発部位を列挙できる。,,,,骨軟化症,骨軟化症,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,関節症,なし,変形性関節症,●,Jlvnloc,D-04-04-01-07,変形性関節症の症候、診断と治療を説明できる。,,,,変形性関節症,変形性関節症,重要,,●,重複あり,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,関節症,なし,外反母趾,,Jlvnlok,D-04-04-01-07,変形性関節症の症候、診断と治療を説明できる。,,,,外反母趾,外反母趾,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,関節症,なし,外反膝,,Jlvnloo,D-04-04-01-07,変形性関節症の症候、診断と治療を説明できる。,,,,外反膝,外反膝,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,関節症,なし,内反膝,,Jlvnlow,D-04-04-01-07,変形性関節症の症候、診断と治療を説明できる。,,,,内反膝,内反膝,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,関節症,なし,反張膝,,Jlvnlo0,D-04-04-01-07,変形性関節症の症候、診断と治療を説明できる。,,,,反張膝,反張膝,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,関節症,なし,神経病性関節症,,Jlvnlo8,D-04-04-01-07,変形性関節症の症候、診断と治療を説明できる。,,,,神経病性関節症,神経病性関節症,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,絞扼性末梢神経障害,なし,胸郭出口症候群,,JlvnlpA,D-04-04-01-08,絞扼性末梢神経障害（手根管症候群、肘部管症候群等）を列挙し、その症候を説明できる。,,,,胸郭出口症候群,胸郭出口症候群,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,絞扼性末梢神経障害,なし,手根管症候群,,JlvnlpI,D-04-04-01-08,絞扼性末梢神経障害（手根管症候群、肘部管症候群等）を列挙し、その症候を説明できる。,,,,手根管症候群,手根管症候群,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,絞扼性末梢神経障害,なし,肘部管症候群等,,JlvnlpQ,D-04-04-01-08,絞扼性末梢神経障害（手根管症候群、肘部管症候群等）を列挙し、その症候を説明できる。,,,,肘部管症候群等,肘部管症候群等,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,運動器慢性疼痛,なし,腰背部痛,,Jlvnlp0,D-04-04-01-14,運動器慢性疼痛（腰背部痛、頸部痛、肩こり）の病態、診断と治療を説明できる。,,,,腰背部痛,腰背部痛,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,運動器慢性疼痛,なし,頸部痛,,Jlvnlp8,D-04-04-01-14,運動器慢性疼痛（腰背部痛、頸部痛、肩こり）の病態、診断と治療を説明できる。,,,,頸部痛,頸部痛,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,運動器慢性疼痛,なし,肩こり,,JlvnlqA,D-04-04-01-14,運動器慢性疼痛（腰背部痛、頸部痛、肩こり）の病態、診断と治療を説明できる。,,,,肩こり,肩こり,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,運動器慢性疼痛,なし,肩関節周囲炎,,JlvnlqI,D-04-04-01-14,運動器慢性疼痛（腰背部痛、頸部痛、肩こり）の病態、診断と治療を説明できる。,,,,肩関節周囲炎,肩関節周囲炎,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,感染性疾患,なし,化膿性関節炎,,JlvnlqM,D-04-04-02-01,化膿性関節炎の症候、診断と治療を説明できる。,,,,化膿性関節炎,化膿性関節炎,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,感染性疾患,なし,骨髄炎,,JlvnlqU,D-04-04-02-01,化膿性関節炎の症候、診断と治療を説明できる。,,,,骨髄炎,骨髄炎,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,先天性疾患,なし,斜頸,,Jlvnlqg,,,,,,斜頸,斜頸,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,先天性疾患,なし,側弯症,,Jlvnlqk,,,,,,側弯症,側弯症,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,先天性疾患,なし,先天性股関節脱臼,,Jlvnlqs,,,,,,先天性股関節脱臼,先天性股関節脱臼,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,先天性疾患,なし,内反足,,Jlvnlqw,,,,,,内反足,内反足,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,先天性疾患,なし,骨形成不全症,,Jlvnlq4,,,,,,骨形成不全症,骨形成不全症,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,骨壊死・骨端症・軟骨の障害,なし,特発性大腿骨頭壊死症,,JlvnlrA,,,,,,特発性大腿骨頭壊死症,特発性大腿骨頭壊死症,,,,,,●,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,骨壊死・骨端症・軟骨の障害,なし,Perthes病,,JlvnlrE,,,,,,Perthes病,Perthes病,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,骨壊死・骨端症・軟骨の障害,なし,Osgood-Schlatter病,,JlvnlrM,,,,,,Osgood-Schlatter病,Osgood-Schlatter病,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,骨壊死・骨端症・軟骨の障害,なし,離断性骨軟骨炎,,JlvnlrQ,,,,,,離断性骨軟骨炎,離断性骨軟骨炎,,,,,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,骨壊死・骨端症・軟骨の障害,なし,膝蓋軟骨軟化症,,JlvnlrY,,,,,,膝蓋軟骨軟化症,膝蓋軟骨軟化症,,,,,,,,,,,,,,,,,
循環器系,疾患・病態,心不全,心不全,左心不全,,Jlvnlrk,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","心不全の定義と原因、病態生理（収縮不全、拡張不全）を説明できる。,左心不全と右心不全の徴候、病態、診断と治療を説明できる。,急性心不全と慢性心不全の診断と薬物療法、非薬物療法（心臓リハビリテーションを含む）を説明できる。,,高齢者における心不全の特徴を説明できる。",,,,左心,左心,保留,サブカテゴリをなくし、心不全（左心・右心）とまとめてはどうか（小松）,●,,,,,,,,,,,,統合すべきか?,,
循環器系,疾患・病態,心不全,心不全,右心不全,,Jlvnlro,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","心不全の定義と原因、病態生理（収縮不全、拡張不全）を説明できる。,左心不全と右心不全の徴候、病態、診断と治療を説明できる。,急性心不全と慢性心不全の診断と薬物療法、非薬物療法（心臓リハビリテーションを含む）を説明できる。,,高齢者における心不全の特徴を説明できる。",,,,右心,右心,保留,,●,,,,,,,,,,,,統合すべきか?,,
循環器系,疾患・病態,心不全,心不全,急性心不全,,Jlvnlrw,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","心不全の定義と原因、病態生理（収縮不全、拡張不全）を説明できる。,左心不全と右心不全の徴候、病態、診断と治療を説明できる。,急性心不全と慢性心不全の診断と薬物療法、非薬物療法（心臓リハビリテーションを含む）を説明できる。,,高齢者における心不全の特徴を説明できる。",,,,急性,急性,保留,サブカテゴリをなくし、心不全（急性・慢性）とまとめてはどうか（小松）,●,,,,,,,,,,,,統合すべきか?,,
循環器系,疾患・病態,心不全,心不全,慢性心不全,,Jlvnlr4,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","心不全の定義と原因、病態生理（収縮不全、拡張不全）を説明できる。,左心不全と右心不全の徴候、病態、診断と治療を説明できる。,急性心不全と慢性心不全の診断と薬物療法、非薬物療法（心臓リハビリテーションを含む）を説明できる。,,高齢者における心不全の特徴を説明できる。",,,,慢性,慢性,保留,,●,,,,,,,,,,,,統合すべきか?,,
循環器系,疾患・病態,虚血性心疾患,狭心症,労作性,●,Jlvnlr8,"D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06","安定労作性狭心症の病態、症候、診断、治療を説明できる。,冠攣縮性狭心症の病態、症候、診断、治療を説明できる。,急性冠症候群（不安定狭心症、非ST上昇型心筋梗塞及びST上昇型心筋梗塞）の病態、症候、診断、治療を説明できる。,虚血性心疾患の発症予防、再発予防を説明できる。,陳旧性心筋梗塞の病態、症候、診断、治療を説明できる。,虚血性心疾患の薬物治療、非薬物療法（血行再建術（経皮的冠動脈形成術、ステント留置術、冠動脈バイパス術））、心臓リハビリテーションを説明できる。",,,,労作性,労作性,重要,,●,,,,,,,,,,,,統合すべきか?,,
循環器系,疾患・病態,虚血性心疾患,狭心症,冠攣縮性,●,JlvnlsE,"D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06","安定労作性狭心症の病態、症候、診断、治療を説明できる。,冠攣縮性狭心症の病態、症候、診断、治療を説明できる。,急性冠症候群（不安定狭心症、非ST上昇型心筋梗塞及びST上昇型心筋梗塞）の病態、症候、診断、治療を説明できる。,虚血性心疾患の発症予防、再発予防を説明できる。,陳旧性心筋梗塞の病態、症候、診断、治療を説明できる。,虚血性心疾患の薬物治療、非薬物療法（血行再建術（経皮的冠動脈形成術、ステント留置術、冠動脈バイパス術））、心臓リハビリテーションを説明できる。",,,,冠攣縮性,冠攣縮性,重要,,●,,,,,,,,,,,,統合すべきか?,,
