"臓器","分類","カテゴリ","サブカテゴリ","疾患","重要","Unnamed: 6","UID","H28対応項目","修正案(20220318)","作業用(20220417)","疾患(20220417)","作業予定(20220417)","コメント(20220318)","重要(20220318)","重複(計算列)","重複のため削除する項目に●(20220408)","重要度分類(スリム化チーム作業用)(20220330)","座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)","座長・副座長コメント(20220411)","医学教育課修正案(20220317)","医学教育課からのコメント(20220317)","診断","治療","教育","予防","作成時(20220316コメント)","修正案(20220316)","パフォーマンス"
"皮膚系","疾患・病態","その他","なし","色素性乾皮症","","","Jlvnlms","","","色素性乾皮症","色素性乾皮症","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","腫瘍性疾患","なし","※腫瘍の項目を参照","","","Jlvnlmw","","","※腫瘍の項目を参照","※腫瘍の項目を参照","重複削除","","","重複あり","●","","","","","","","","","","","",""
"皮膚系","疾患・病態","なし","なし","凍傷・電撃傷","","","Jlvnlm4","","","凍傷・電撃傷","凍傷・電撃傷","","","","","","●","","","","","","","","","分割すべきか?","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","四肢・脊椎外傷","","","Jlvnlm8","D-04-04-01-01","","四肢・脊椎外傷","四肢・脊椎外傷","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","関節の脱臼","","","JlvnlnE","D-04-04-01-02","","関節の脱臼","関節の脱臼","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","肘内障","","","JlvnlnM","D-04-04-01-02","","肘内障","肘内障","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","上腕骨外側上顆炎","","","JmpYnGs","","","上腕骨外側上顆炎","上腕骨外側上顆炎","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","腱・靱帯・半月板損傷","","","JlvnlnQ","D-04-04-01-02","","腱・靱帯・半月板損傷","腱・靱帯・半月板損傷","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","突き指","","","JmpYnGo","","","突き指","突き指","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","関節拘縮","","","JlvnlnY","","","関節拘縮","関節拘縮","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","Dupuytren拘縮","","","Jlvnlnc","","","Dupuytren拘縮","Dupuytren拘縮","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","骨折","●","","Jlvnlnk","D-04-04-01-03","","骨折","骨折","重要","","●","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","肉離れ","","","JmpYuec","","","肉離れ","肉離れ","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","筋損傷・挫滅症候群・コンパートメント症候群","","","Jlvnlno","D-04-04-01-04","","筋損傷・挫滅症候群・コンパートメント症候群","筋損傷・挫滅症候群・コンパートメント症候群","","","","","","●","","","","","","","","","分割すべきか?","",""
"運動器（筋骨格）系","疾患・病態","代謝性骨疾患","なし","骨粗鬆症","●","","Jlvnlnw","D-04-04-01-05","","骨粗鬆症","骨粗鬆症","重要","","●","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","代謝性骨疾患","なし","くる病","","","Jlvnln4","D-04-04-01-05","","くる病","くる病","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","代謝性骨疾患","なし","骨軟化症","","","Jlvnln8","D-04-04-01-05","","骨軟化症","骨軟化症","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","関節炎","","","JlvnloE","D-04-04-01-06","","関節炎","関節炎","重複削除","","","重複あり","●","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","腱鞘炎","","","JlvnloI","D-04-04-01-06","","腱鞘炎","腱鞘炎","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","滑液包炎","","","JlvnloQ","D-04-04-01-06","","滑液包炎","滑液包炎","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","腱付着部炎","","","JlvnloU","D-04-04-01-06","","腱付着部炎","腱付着部炎","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","変形性関節症","●","","Jlvnloc","D-04-04-01-07","","変形性関節症","変形性関節症","重要","","●","重複あり","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","外反母趾","","","Jlvnlok","D-04-04-01-07","","外反母趾","外反母趾","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","外反膝","","","Jlvnloo","D-04-04-01-07","","外反膝","外反膝","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","内反膝","","","Jlvnlow","D-04-04-01-07","","内反膝","内反膝","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","反張膝","","","Jlvnlo0","D-04-04-01-07","","反張膝","反張膝","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","神経病性関節症","","","Jlvnlo8","D-04-04-01-07","","神経病性関節症","神経病性関節症","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","絞扼性末梢神経障害","なし","胸郭出口症候群","","","JlvnlpA","D-04-04-01-08","","胸郭出口症候群","胸郭出口症候群","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","絞扼性末梢神経障害","なし","手根管症候群","","","JlvnlpI","D-04-04-01-08","","手根管症候群","手根管症候群","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","絞扼性末梢神経障害","なし","肘部管症候群等","","","JlvnlpQ","D-04-04-01-08","","肘部管症候群等","肘部管症候群等","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","脊椎症・脊髄症・神経根症（脊柱靭帯骨化症を含む）","","","JlvnlpU","D-04-04-01-09","","脊椎症・脊髄症・神経根症（脊柱靭帯骨化症を含む）","脊椎症・脊髄症・神経根症（脊柱靭帯骨化症を含む）","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","脊髄損傷","●","","Jlvnlpc","D-04-04-01-10","","脊髄損傷","脊髄損傷","重要","","●","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","脊椎椎間板ヘルニア","●","","Jlvnlpg","D-04-04-01-11","","脊椎椎間板ヘルニア","脊椎椎間板ヘルニア","重要","","●","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","脊柱管狭窄症","●","","Jlvnlpo","D-04-04-01-12","","脊柱管狭窄症","脊柱管狭窄症","重要","","●","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","脊椎分離・すべり症","","","Jlvnlps","D-04-04-01-13","","脊椎分離・すべり症","脊椎分離・すべり症","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","運動器慢性疼痛","なし","腰背部痛","","","Jlvnlp0","D-04-04-01-14","","腰背部痛","腰背部痛","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","運動器慢性疼痛","なし","頸部痛","","","Jlvnlp8","D-04-04-01-14","","頸部痛","頸部痛","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","運動器慢性疼痛","なし","肩こり","","","JlvnlqA","D-04-04-01-14","","肩こり","肩こり","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","運動器慢性疼痛","なし","肩関節周囲炎","","","JlvnlqI","D-04-04-01-14","","肩関節周囲炎","肩関節周囲炎","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","感染性疾患","なし","化膿性関節炎","","","JlvnlqM","D-04-04-02-01","","化膿性関節炎","化膿性関節炎","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","感染性疾患","なし","骨髄炎","","","JlvnlqU","D-04-04-02-01","","骨髄炎","骨髄炎","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","椎間板炎・化膿性脊椎炎・脊椎カリエス","","","JlvnlqY","D-04-04-02-02","","椎間板炎・化膿性脊椎炎・脊椎カリエス","椎間板炎・化膿性脊椎炎・脊椎カリエス","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","先天性疾患","なし","斜頸","","","Jlvnlqg","","","斜頸","斜頸","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","先天性疾患","なし","側弯症","","","Jlvnlqk","","","側弯症","側弯症","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","先天性疾患","なし","先天性股関節脱臼","","","Jlvnlqs","","","先天性股関節脱臼","先天性股関節脱臼","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","先天性疾患","なし","内反足","","","Jlvnlqw","","","内反足","内反足","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","先天性疾患","なし","骨形成不全症","","","Jlvnlq4","","","骨形成不全症","骨形成不全症","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","骨壊死・骨端症・軟骨の障害","なし","特発性大腿骨頭壊死症","","","JlvnlrA","","","特発性大腿骨頭壊死症","特発性大腿骨頭壊死症","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","骨壊死・骨端症・軟骨の障害","なし","Perthes病","","","JlvnlrE","","","Perthes病","Perthes病","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","骨壊死・骨端症・軟骨の障害","なし","Osgood-Schlatter病","","","JlvnlrM","","","Osgood-Schlatter病","Osgood-Schlatter病","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","骨壊死・骨端症・軟骨の障害","なし","離断性骨軟骨炎","","","JlvnlrQ","","","離断性骨軟骨炎","離断性骨軟骨炎","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","骨壊死・骨端症・軟骨の障害","なし","膝蓋軟骨軟化症","","","JlvnlrY","","","膝蓋軟骨軟化症","膝蓋軟骨軟化症","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","腫瘍性疾患　※腫瘍の項目を参照","","","Jlvnlrc","D-04-04-03-01,　D-04-04-03-02,　D-04-04-03-03","","腫瘍性疾患　※腫瘍の項目を参照","腫瘍性疾患　※腫瘍の項目を参照","重複削除","","","重複あり","●","","","","","","","","","","","",""
"循環器系","疾患・病態","心不全","心不全","左心","","","Jlvnlrk","D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","","左心","左心","保留","サブカテゴリをなくし、心不全（左心・右心）とまとめてはどうか（小松）","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心不全","心不全","右心","","","Jlvnlro","D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","","右心","右心","保留","","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心不全","心不全","急性","","","Jlvnlrw","D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","","急性","急性","保留","サブカテゴリをなくし、心不全（急性・慢性）とまとめてはどうか（小松）","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心不全","心不全","慢性","","","Jlvnlr4","D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","","慢性","慢性","保留","","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","虚血性心疾患","狭心症","労作性","●","","Jlvnlr8","D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06","","労作性","労作性","重要","","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","虚血性心疾患","狭心症","冠攣縮性","●","","JlvnlsE","D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06","","冠攣縮性","冠攣縮性","重要","","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","虚血性心疾患","急性冠症候群","不安定狭心症","●","","JlvnlsI","D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06","","不安定狭心症","不安定狭心症","重要","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","虚血性心疾患","急性冠症候群","急性心筋梗塞","●","","JlvnlsQ","D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06","","急性心筋梗塞","急性心筋梗塞","重要","","●","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","徐脈性不整脈","洞不全症候群","","","JlvnlsU","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","洞不全症候群","洞不全症候群","","","（削除）","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","徐脈性不整脈","房室ブロック","●","","Jlvnlsc","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","房室ブロック","房室ブロック","重要","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","上室性頻脈性不整脈","心房細動","●","","Jlvnlsg","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","心房細動","心房細動","重要","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","上室性頻脈性不整脈","心房粗動","●","","Jlvnlso","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","心房粗動","心房粗動","重要","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","上室性頻脈性不整脈","発作性上室頻拍症","●","","Jlvnlsw","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","発作性上室頻拍症","発作性上室頻拍症","重要","用語修正（岡崎）","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","心室性頻脈性不整脈","心室頻拍","●","","Jlvnls0","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","心室頻拍","心室頻拍","重要","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","心室性頻脈性不整脈","多源性心室頻拍（torsades de pointes)","","","Jlvnls8","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","多源性心室頻拍（torsades de pointes)","多源性心室頻拍（torsades de pointes)","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","なし","心室細動","●","","JlvnltA","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","心室細動","心室細動","重要","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","なし","期外収縮(上室性・心室性)","●","","JlvnltI","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","期外収縮(上室性・心室性)","期外収縮(上室性・心室性)","重要","サブカテゴリをなくし、期外収縮（上室性・心室性）とまとめてはどうか（小松）","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","不整脈","なし","","","","JlvnltQ","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","","","","","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","不整脈","なし","WPW症候群","","","JlvnltU","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","WPW症候群","WPW症候群","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","なし","Brugada症候群","","","Jlvnltc","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","Brugada症候群","Brugada症候群","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","弁膜症","なし","僧帽弁疾患(狭窄・閉鎖不全)","●","","Jlvnltg","D-05-04-04-01","","僧帽弁疾患(狭窄・閉鎖不全)","僧帽弁疾患(狭窄・閉鎖不全)","重要","サブカテゴリをなくし、僧帽弁疾患（狭窄・閉鎖不全）としてはどうか（小松）","●","","","●","","","","","","","","","","",""
"循環器系","疾患・病態","弁膜症","","","","","Jlvnlto","D-05-04-04-01","","","","","","●","","","●","","","","","","","","","","",""
"循環器系","疾患・病態","弁膜症","なし","大動脈弁疾患（狭窄・閉鎖不全）","●","","Jlvnlts","D-05-04-04-01","","大動脈弁疾患（狭窄・閉鎖不全）","大動脈弁疾患（狭窄・閉鎖不全）","重要","サブカテゴリをなくし、大動脈弁疾患（狭窄・閉鎖不全）としてはどうか（小松）","●","","","●","","","","","","","","","","",""
"循環器系","疾患・病態","弁膜症","","","","","Jlvnlt0","D-05-04-04-01","","","","","","●","","","●","","","","","","","","","","",""
"循環器系","疾患・病態","弁膜症","なし","三尖弁閉鎖不全","","","Jlvnlt4","D-05-04-04-01","","三尖弁閉鎖不全","三尖弁閉鎖不全","","","","","","●","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","特発性心筋症（肥大型・拡張型・拘束型）","●","","JlvnluA","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","特発性心筋症（肥大型・拡張型・拘束型）","特発性心筋症（肥大型・拡張型・拘束型）","重要","サブカテゴリをなくし、特発性心筋症（肥大型・拡張型・拘束型）としてはどうか（小松）","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心筋・心膜疾患","","","","","JlvnluE","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","","","","","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心筋・心膜疾患","","","","","JlvnluM","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","","","","","（削除）","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","二次性心筋疾患","","","JlvnluU","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","二次性心筋疾患","二次性心筋疾患","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","急性心筋炎","●","","JlvnluY","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","急性心筋炎","急性心筋炎","重要","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","感染性心内膜炎","●","","Jlvnlug","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","感染性心内膜炎","感染性心内膜炎","重要","","●（追記）","","","","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","急性心膜炎","","","Jlvnluk","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","急性心膜炎","急性心膜炎","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","収縮性心膜炎","","","Jlvnlus","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","収縮性心膜炎","収縮性心膜炎","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","心タンポナーデ","","","Jlvnluw","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","心タンポナーデ","心タンポナーデ","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","先天性心疾患","なし","心房中隔欠損症","","","Jlvnlu4","D-05-04-06-01","","心房中隔欠損症","心房中隔欠損症","","","","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","先天性心疾患","なし","心室中隔欠損症","","","Jlvnlu8","D-05-04-06-01","","心室中隔欠損症","心室中隔欠損症","","","","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","先天性心疾患","なし","動脈管開存","","","JlvnlvE","D-05-04-06-01","","動脈管開存","動脈管開存","","","","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","先天性心疾患","なし","Fallot 四徴症","","","JlvnlvM","D-05-04-06-01","","Fallot 四徴症","Fallot 四徴症","","","","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患","なし","動脈硬化症","","","JlvnlvQ","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","","動脈硬化症","動脈硬化症","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患","なし","急性大動脈解離","●","","JlvnlvY","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","","急性大動脈解離","急性大動脈解離","重要","","●","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患","なし","大動脈瘤（胸部・腹部）","●","","Jlvnlvc","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","","大動脈瘤（胸部・腹部）","大動脈瘤（胸部・腹部）","重要","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患","なし","閉塞性動脈硬化症","●","","Jlvnlvk","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","","閉塞性動脈硬化症","閉塞性動脈硬化症","重要","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患","なし","Buerger病","","","Jlvnlvo","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","","Buerger病","Buerger病","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患","なし","高安動脈炎(大動脈炎症候群)","","","Jlvnlvw","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","","高安動脈炎(大動脈炎症候群)","高安動脈炎(大動脈炎症候群)","重複削除","","","重複あり","●","","","","","","","","","","","",""
"循環器系","疾患・病態","静脈・リンパ管疾患","なし","深部静脈血栓症","●","","Jlvnlv0","D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04","","深部静脈血栓症","深部静脈血栓症","重要","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","静脈・リンパ管疾患","なし","血栓性静脈炎","","","Jlvnlv8","D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04","","血栓性静脈炎","血栓性静脈炎","","","","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","静脈・リンパ管疾患","なし","上大静脈症候群","","","JlvnlwE","D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04","","上大静脈症候群","上大静脈症候群","","","","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","静脈・リンパ管疾患","なし","下肢静脈瘤","●","","JlvnlwI","D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04","","下肢静脈瘤","下肢静脈瘤","重要","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","静脈・リンパ管疾患","なし","リンパ浮腫","","","JlvnlwQ","D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04","","リンパ浮腫","リンパ浮腫","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","高血圧症","なし","高血圧症（本態性・二次性）","","","JlvnlwU","D-05-04-09-01,D-05-04-09-02,D-05-04-09-04","","高血圧症（本態性・二次性）","高血圧症（本態性・二次性）","","サブカテゴリをなくし、高血圧症（本態性・二次性）としてはどうか（小松）","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","高血圧症","","","","","Jlvnlwc","D-05-04-09-01,D-05-04-09-02,D-05-04-09-04","","","","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","高血圧症","なし","高血圧緊急症","","","Jlvnlwg","D-05-04-09-01,D-05-04-09-02,D-05-04-09-04","","高血圧緊急症","高血圧緊急症","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","低血圧症","なし","起立性低血圧","●","","Jlvnlwo","D-05-04-10-02","","起立性低血圧","起立性低血圧","重要","","●（追記）","","","","","","","","","","","","","",""
"循環器系","疾患・病態","低血圧症","なし","神経失調性失神","","","Jlvnlws","D-05-04-10-02","","神経失調性失神","神経失調性失神","","神経調節性失神（反射性失神）へ修正を（岡崎／小松）","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","腫瘍性疾患","なし","※腫瘍の項目を参照","","","Jlvnlw0","D-05-04-11-01","","※腫瘍の項目を参照","※腫瘍の項目を参照","重複削除","","","重複あり","●","","","","","","","","","","","",""
"呼吸器系","疾患・病態","呼吸不全","なし","低酸素血症と高二酸化炭素血症","","","Jlvnlw8","D-06-04-01-01, D-06-04-01-02","","低酸素血症と高二酸化炭素血症","低酸素血症と高二酸化炭素血症","","","","","","","","","","","","","","","","",""
"呼吸器系","疾患・病態","呼吸器感染症","なし","急性上気道感染症（かぜ症候群）","●","","JlvnlxA","D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07","","急性上気道感染症（かぜ症候群）","急性上気道感染症（かぜ症候群）","重要","","●","","","","","","","","","","","","","",""
"呼吸器系","疾患・病態","呼吸器感染症","なし","扁桃炎・急性喉頭蓋炎","●","","JlvnlxI","D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07","","扁桃炎・急性喉頭蓋炎","扁桃炎・急性喉頭蓋炎","重要","","●","","","●","","","","","","","","","","",""
"呼吸器系","疾患・病態","呼吸器感染症","なし","気管支炎","●","","JlvnlxM","D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07","","気管支炎","気管支炎","重要","","●","","","","","","","","","","","","","",""
"呼吸器系","疾患・病態","呼吸器感染症","なし","細気管支炎","","","JlvnlxU","D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07","","細気管支炎","細気管支炎","重複削除","","（削除）","重複あり","●","","","","","","","","","","","",""
"呼吸器系","疾患・病態","呼吸器感染症","なし","肺炎（定型・非定型）","●","","Jlvnlxc","D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07","","肺炎（定型・非定型）","肺炎（定型・非定型）","重要","","●","","","","","","","","","","","","","",""
"呼吸器系","疾患・病態","呼吸器感染症","なし","肺結核症","●","","Jlvnlxg","D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07","","肺結核症","肺結核症","重要","","●","","","","","","","","","","","","","",""
"呼吸器系","疾患・病態","呼吸器感染症","なし","非結核性（非定型）抗酸菌症","","","Jlvnlxo","D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07","","非結核性（非定型）抗酸菌症","非結核性（非定型）抗酸菌症","","","","","","","","","","","","","","","","",""
